clip_idx,video_id,category,tier,gt,model,candidate_id,visual_accuracy,completeness,specificity,concision,listener_utility,overall,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,openai:gpt-4o,A,90.0,90.0,85.0,85.0,90.0,88.0,"Accurately describes the scene with details about the chef, the tomato, and the knife. Provides context and action, enhancing listener understanding."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,openai:gpt-4o,B,0.0,0.0,0.0,0.0,0.0,0.0,"Completely unrelated to the images, describing a skiing scene instead of a kitchen."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,openai:gpt-4o,C,80.0,70.0,75.0,80.0,75.0,76.0,Describes the main action accurately but lacks detail about the setting and the chef's expression.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,openai:gpt-4o,D,70.0,60.0,60.0,85.0,65.0,68.0,"Very brief and lacks detail about the tomato and the specific action, reducing listener utility."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,openai:gpt-4o,A,80.0,70.0,70.0,80.0,75.0,75.0,"Accurately describes the man eating and drinking at Burger King, but lacks detail about the writing on the tray liner."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,openai:gpt-4o,B,50.0,40.0,40.0,70.0,50.0,50.0,"Mentions eating and feeling sick, but lacks detail and accuracy about the setting and actions."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,openai:gpt-4o,C,0.0,0.0,0.0,0.0,0.0,0.0,Completely unrelated to the images provided.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,openai:gpt-4o,D,90.0,90.0,90.0,80.0,90.0,88.0,"Provides a detailed and accurate description of the scene, including the setting, actions, and writing on the tray liner."
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,openai:gpt-4o,A,0.0,0.0,0.0,0.0,0.0,0.0,"Description is unrelated to the images, describing a skiing scene instead of cooking."
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,openai:gpt-4o,B,90.0,80.0,70.0,85.0,85.0,82.0,Accurately describes the main action and setting. Could be more specific about the food.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,openai:gpt-4o,C,85.0,75.0,75.0,90.0,80.0,81.0,Describes the action and tool used. Lacks detail about the setting and specific food items.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,openai:gpt-4o,D,95.0,95.0,95.0,80.0,95.0,92.0,"Provides a detailed and accurate description of the scene, including specific actions and ingredients."
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,openai:gpt-4o,A,90.0,85.0,85.0,80.0,85.0,85.0,"Accurately describes the scene with details about the girl's actions and the kitchen setting. Provides context about the eggs being for her and her mother, which adds to the comple"
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,openai:gpt-4o,B,80.0,60.0,60.0,90.0,70.0,72.0,Accurate but lacks detail. Provides basic information about the girl cooking eggs but misses specifics about the setting and actions.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,openai:gpt-4o,C,0.0,0.0,0.0,0.0,0.0,0.0,Completely unrelated to the images provided.
