clip_idx,duration_s,mean_need,max_need,need_entropy,high_need_windows,high_need_frac,high_need_seconds,high_need_seconds_frac,standard_windows,standard_seconds,extended_windows,extended_seconds,extended_seconds_frac,mean_speech_density,mean_standard_slot_score,mean_extended_need_score,tribe_pressure,video_id,category,tier0_cross_words,tier0_cross_text,tier1_vatex_short_words,tier1_vatex_short_text,tier2_vatex_long_words,tier2_vatex_long_text,tier3_va11y_words,tier3_va11y_text,pro_minus_short_words,pro_minus_long_words,clip_mean_norm_full_order,clip_mean_norm_tier3_margin,clip_mean_norm_tier3_vs_tier0,clip_mean_norm_tier2_vs_tier1,clip_mean_norm_spread,all4_mean_full_order,all4_mean_tier3_margin,all4_mean_tier3_vs_tier0,all4_mean_tier2_vs_tier1,all4_mean_spread,selected3_mean_full_order,selected3_mean_tier3_margin,selected3_mean_tier3_vs_tier0,selected3_mean_tier2_vs_tier1,selected3_mean_spread,strict_all4_80adqa_20clip_full_order,strict_all4_80adqa_20clip_tier3_margin,strict_all4_80adqa_20clip_tier3_vs_tier0,strict_all4_80adqa_20clip_tier2_vs_tier1,strict_all4_80adqa_20clip_spread,claude_vlm_completeness_norm_full_order,claude_vlm_completeness_norm_tier3_margin,claude_vlm_completeness_norm_tier3_vs_tier0,claude_vlm_completeness_norm_tier2_vs_tier1,claude_vlm_completeness_norm_spread,claude_vlm_specificity_norm_full_order,claude_vlm_specificity_norm_tier3_margin,claude_vlm_specificity_norm_tier3_vs_tier0,claude_vlm_specificity_norm_tier2_vs_tier1,claude_vlm_specificity_norm_spread,vlm_best_dims_mean_full_order,vlm_best_dims_mean_tier3_margin,vlm_best_dims_mean_tier3_vs_tier0,vlm_best_dims_mean_tier2_vs_tier1,vlm_best_dims_mean_spread
0,14.9,0.3883963677748515,0.5841811642054016,0.9514706837035559,3,0.6,8.940000000000001,0.6000000000000001,0,0.0,3,8.940000000000001,0.6000000000000001,1.0,0.0,0.3883963677748515,0.6214341884397624,Q76JRCyTnSc_000007_000017,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",11,A chef in a kitchen demonstrates his skill throwing a knife,25,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,40,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",29,15,0.0,-0.14551104822023975,0.8544889517797603,-0.36465658169905657,1.0,1.0,0.1845238095238096,0.5,0.0773809523809523,0.5,1.0,0.24603174603174605,0.6666666666666666,0.10317460317460309,0.6666666666666666,0.0,0.18042159987976164,0.5708977903559521,-0.011026554435049463,0.5708977903559521,1.0,0.0714285714285714,1.0,0.3571428571428572,1.0,1.0,0.19999999999999996,1.0,0.33333333333333337,1.0,1.0,0.16455026455026456,1.0,0.2671957671957671,1.0
1,16.39,0.3472245020802409,0.8527670466409736,0.812201389019194,2,0.3333333333333333,5.96,0.36363636363636365,0,0.0,2,5.96,0.36363636363636365,1.0,0.0,0.3472245020802409,0.4734879573821467,058y9xGmmTQ_000206_000216,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",13,A  man eats a lot of burgers and than starts to get sick.,19,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",62,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",49,43,1.0,0.16627098294278586,1.0,0.12858024807104307,1.0,1.0,0.4361111111111111,1.0,0.4611111111111112,1.0,1.0,0.4481481481481482,1.0,0.44814814814814813,1.0,1.0,0.382143085477446,1.0,0.3946049385030976,1.0,1.0,0.4444444444444444,1.0,0.22222222222222227,1.0,1.0,0.2941176470588235,1.0,0.41176470588235303,1.0,1.0,0.3202614379084966,1.0,0.3224400871459697,1.0
2,26.82,0.4355706961919657,0.8003662052649374,0.928556182349411,4,0.4444444444444444,11.92,0.4444444444444444,3,8.94,1,2.9800000000000004,0.11111111111111113,0.11111111111111113,0.34664111782919493,0.08892957836277082,0.48396744021329524,FtBS6OZSGMI_000028_000038,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",11,A man slowly pours beer from a bottle into a glass,23,A man dressed in a black T-shirt holds a glass and pours some highly viscous content into the glass from a bottle.,27,"A person in a black T-shirt carefully pours a drink from a bottle into a Samuel Adams glass. The liquid flows slowly, filling the tall glass.",16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.39,0.37321728112847846,0.710663123229123,0.8629360990356767,1,0.16666666666666666,2.98,0.18181818181818182,0,0.0,1,2.98,0.18181818181818182,0.8181818181818181,0.11744656485629572,0.25577071627218273,0.4410749686063837,vLGOZvJ_v4Q_000285_000295,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",13,A man is stirring food in a cast iron skillet with a fork.,19,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",54,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",41,35,1.0,0.04914104330263325,1.0,0.06839734587234414,1.0,1.0,0.06666666666666687,0.9166666666666669,0.23333333333333328,0.9166666666666669,1.0,0.20000000000000007,1.0,0.19999999999999996,1.0,1.0,0.06316154199385982,0.9333333333333332,0.20034613584113548,0.9333333333333332,0.0,0.17647058823529416,1.0,-0.11764705882352933,1.0,0.0,0.23529411764705888,1.0,-0.17647058823529405,1.0,0.0,0.2074303405572756,1.0,-0.08049535603715152,1.0
4,19.37,0.19873375150898057,0.5713254998961601,0.7078768016082808,2,0.2857142857142857,5.96,0.30769230769230765,0,0.0,2,5.96,0.30769230769230765,0.3076923076923077,0.12379650147933319,0.07493725002964736,0.25988259812712844,B0EKYDSv_yQ_000002_000012,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",10,A preteen girl is making scrambled eggs on the stove.,18,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,73,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",63,55,0.0,-0.13741984044301714,0.8625801595569829,0.15267791910628947,1.0,1.0,0.5208333333333333,1.0,0.0625,1.0,1.0,0.5694444444444444,1.0,0.08333333333333337,1.0,1.0,0.3891826985780632,0.9725160319113966,0.08053558382125792,0.9725160319113966,1.0,0.2941176470588235,1.0,0.23529411764705893,1.0,1.0,0.375,1.0,0.1875,1.0,1.0,0.3210784313725489,1.0,0.10171568627451,1.0
5,16.39,0.6596447063981404,0.8559741095030897,0.8948127586578454,5,0.8333333333333334,14.9,0.9090909090909091,0,0.0,5,14.9,0.9090909090909091,1.0,0.0,0.6596447063981403,1.2593217122146318,PbGvLf7HvXQ_000063_000073,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",11,A woman is explaining how to mix spinach in a bowl,29,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",60,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",49,31,1.0,0.12698428369074277,1.0,0.06687838558684334,1.0,1.0,0.1339285714285714,1.0,0.5317460317460319,1.0,1.0,0.13690476190476186,1.0,0.5006613756613758,1.0,1.0,0.1325397138810056,1.0,0.4387725025141942,1.0,1.0,0.10526315789473684,1.0,0.6842105263157896,1.0,1.0,0.05555555555555558,1.0,0.6111111111111112,1.0,1.0,0.01656920077972701,0.9629629629629628,0.6910331384015593,0.9629629629629628
6,17.88,0.39760619032736616,0.7646262287500899,0.8855295589780069,3,0.5,8.94,0.5,0,0.0,3,8.94,0.5,1.0,0.0,0.39760619032736616,0.5964092854910492,0HEi6q3bGaw_000011_000021,Travel,53,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",14,a guy is getting off of snow mobile and gets on and rides off.,18,"A person stops on a snowmobile while another person on a snowmobile speaks, then they both start again.",40,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",26,22,0.0,-0.06510047259337337,0.9348995274066266,-0.10057725932826778,1.0,1.0,0.43214285714285705,1.0,0.15714285714285725,1.0,1.0,0.4095238095238095,1.0,0.2095238095238096,1.0,1.0,0.3528096430612645,0.9869799054813254,0.10559883384863233,0.9869799054813254,1.0,0.25,1.0,0.4375,1.0,1.0,0.33333333333333337,1.0,0.4666666666666666,1.0,1.0,0.2420634920634921,1.0,0.3966269841269841,1.0
7,16.39,0.3871231532659878,0.939134955406189,0.8139883327294317,3,0.5,7.450000000000001,0.4545454545454546,0,0.0,3,7.450000000000001,0.4545454545454546,1.0,0.0,0.38712315326598773,0.5630882229323458,09dQut5GJ68_000049_000059,Travel,53,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",11,A man on a motorcycle pulls a sleigh in the snow.,19,A man on a motorbike is pulling a sled through snow and ice before they grind to a halt.,41,"In a snowy landscape, a man rides a motorcycle, pulling a blue sled behind him. The sled glides over the snow, connected by a wire. The scene captures the thrill of the ride as the motorcycle moves through the wintry terrain.",30,22,1.0,0.05759287776905142,1.0,0.06551445509324139,1.0,1.0,0.35416666666666674,1.0,0.04166666666666663,1.0,1.0,0.36111111111111116,1.0,0.05555555555555558,1.0,1.0,0.29485190888714363,1.0,0.04643622435198158,1.0,1.0,0.16666666666666663,1.0,0.05555555555555558,1.0,1.0,0.17647058823529416,1.0,0.11764705882352933,1.0,1.0,0.1514161220043574,1.0,0.09477124183006524,1.0
8,16.39,0.37899456826303657,0.7014957045919514,0.8557803806502187,2,0.3333333333333333,5.96,0.36363636363636365,0,0.0,2,5.96,0.36363636363636365,1.0,0.0,0.37899456826303646,0.5168107749041408,hOirknJr3os_000001_000011,Travel,53,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",10,A group of people are riding horses through the woods.,22,"A horse ranch sign is shown, then horses grazing, and after this people riding horses through woods are seen as music plays.",56,"The video begins with a sign for KOA Ranch, featuring a silhouette of a horse. Horses graze peacefully in a sunlit pasture. The scene shifts to a group of people riding horses along a wooded trail, accompanied by a song about camping. This advertisement highlights the scenic beauty and horse riding experiences offered at KOA campgrounds.",46,34,1.0,0.281182206153198,1.0,0.07915536920224209,1.0,1.0,0.28125,1.0,0.3645833333333334,1.0,1.0,0.25,1.0,0.3194444444444445,1.0,1.0,0.2812364412306395,1.0,0.3074977405071152,1.0,1.0,0.1875,1.0,0.4375,1.0,1.0,0.3571428571428571,1.0,0.5000000000000001,1.0,1.0,0.25562169312169314,1.0,0.38657407407407407,1.0
9,16.39,0.5830793296168879,0.7650085708250683,0.894546983703906,5,0.8333333333333334,14.9,0.9090909090909091,0,0.0,5,14.9,0.9090909090909091,1.0,0.0,0.5830793296168878,1.1131514474504225,TF4q9y0rJoc_000000_000010,Sports,40,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",10,A man is skiing between poles on a snowy hill.,15,Someone is skiing at night around several poles in an alternating left then right pattern.,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",25,20,1.0,0.17710831968315666,1.0,0.03995140724642854,1.0,1.0,0.09999999999999998,1.0,0.24285714285714288,1.0,1.0,0.1333333333333333,1.0,0.22857142857142854,1.0,1.0,0.11542166393663122,1.0,0.2022759957350001,1.0,1.0,0.33333333333333337,1.0,0.11111111111111105,1.0,1.0,0.4117647058823529,1.0,0.1176470588235295,1.0,1.0,0.3009975920192639,1.0,0.0937965829606695,1.0
