tribe_feature,outcome,spearman_rho,p,n
mean_standard_slot_score,all4_mean_full_order,-0.7505278054885973,0.0003327215946383559,18
mean_speech_density,all4_mean_full_order,0.5192815838182321,0.027212385845299746,18
mean_extended_need_score,claude_vlm_specificity_norm_tier3_margin,-0.47776730935305683,0.04493513187890342,18
mean_speech_density,claude_vlm_specificity_norm_tier3_margin,-0.46774110250599754,0.05029852333832753,18
mean_extended_need_score,claude_vlm_completeness_norm_tier3_margin,-0.45788168725673023,0.05603105949351402,18
mean_standard_slot_score,claude_vlm_specificity_norm_tier3_margin,0.42687052073362886,0.07727605882286429,18
mean_speech_density,claude_vlm_completeness_norm_tier3_margin,-0.3160156654774052,0.20141485598618106,18
mean_need,all4_mean_full_order,-0.3142413851140314,0.2040957649155289,18
high_need_seconds_frac,all4_mean_tier3_margin,-0.306578917556839,0.21594195256667464,18
high_need_seconds_frac,strict_all4_80adqa_20clip_tier3_margin,-0.3024359592114763,0.22252919422503498,18
high_need_seconds_frac,all4_mean_full_order,-0.2993396158292803,0.22753616796208004,18
tribe_pressure,all4_mean_tier3_margin,-0.2961816305469556,0.23271685741068457,18
mean_need,all4_mean_tier3_margin,-0.28998968008255926,0.24309228603904504,18
mean_standard_slot_score,strict_all4_80adqa_20clip_full_order,-0.2807420359913214,0.25912565761713946,18
tribe_pressure,strict_all4_80adqa_20clip_tier3_margin,-0.2776057791537668,0.26470972815378374,18
mean_need,strict_all4_80adqa_20clip_tier3_margin,-0.2652218782249742,0.2874842429174512,18
mean_need,claude_vlm_completeness_norm_tier3_margin,-0.2625326152668386,0.2925826866280554,18
mean_standard_slot_score,claude_vlm_completeness_norm_tier3_margin,0.2604150636519372,0.29663554459772473,18
mean_extended_need_score,all4_mean_tier3_margin,-0.2549019607843137,0.307345280412546,18
tribe_pressure,all4_mean_full_order,-0.24331882840112468,0.33058739053625996,18
mean_extended_need_score,pro_minus_long_words,-0.24237877700503863,0.3031921766492265,20
max_need,claude_vlm_specificity_norm_tier3_margin,-0.23578126955085923,0.34624725943493073,18
mean_speech_density,pro_minus_long_words,-0.22988320980114127,0.32955320163288426,20
mean_standard_slot_score,pro_minus_long_words,0.2290592556441479,0.33133766802534403,20
extended_seconds_frac,claude_vlm_specificity_norm_tier3_margin,-0.22901554404145077,0.36065971836206434,18
tribe_pressure,claude_vlm_completeness_norm_tier3_margin,-0.22842404714161937,0.3619356468106184,18
extended_seconds_frac,all4_mean_tier3_margin,-0.2275082425490747,0.36391617264161935,18
mean_extended_need_score,strict_all4_80adqa_20clip_tier3_margin,-0.2260061919504644,0.36717772555501726,18
high_need_seconds_frac,pro_minus_long_words,-0.22377383982794424,0.3429197332051842,20
mean_speech_density,tier3_va11y_words,-0.22238384621411844,0.34600442232378137,20
mean_speech_density,pro_minus_short_words,-0.2219784775885711,0.34690705280921486,20
mean_standard_slot_score,all4_mean_tier3_vs_tier0,-0.2214695598726834,0.37712783205043676,18
