video_id,q_idx,condition,score,matched
0t0DB1B1w8Y_000000_000010,0,baseline,1.0,0
0t0DB1B1w8Y_000000_000010,1,baseline,0.0,1
0t0DB1B1w8Y_000000_000010,2,baseline,0.0,0
0t0DB1B1w8Y_000000_000010,3,baseline,0.0,0
0t0DB1B1w8Y_000000_000010,4,baseline,0.5,0
0t0DB1B1w8Y_000000_000010,0,gap_targeted,1.0,0
0t0DB1B1w8Y_000000_000010,1,gap_targeted,0.5,1
0t0DB1B1w8Y_000000_000010,2,gap_targeted,0.0,0
0t0DB1B1w8Y_000000_000010,3,gap_targeted,0.0,0
0t0DB1B1w8Y_000000_000010,4,gap_targeted,0.5,0
1-jIze6gy0g_000026_000036,0,baseline,0.0,0
1-jIze6gy0g_000026_000036,1,baseline,0.0,1
1-jIze6gy0g_000026_000036,2,baseline,0.0,0
1-jIze6gy0g_000026_000036,3,baseline,0.0,0
1-jIze6gy0g_000026_000036,4,baseline,0.0,0
1-jIze6gy0g_000026_000036,0,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,1,gap_targeted,0.0,1
1-jIze6gy0g_000026_000036,2,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,3,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,4,gap_targeted,0.0,0
N-LZPc27kjM_000229_000239,0,gap_targeted,0.0,0
N-LZPc27kjM_000229_000239,1,gap_targeted,0.0,0
N-LZPc27kjM_000229_000239,2,gap_targeted,0.0,0
N-LZPc27kjM_000229_000239,3,gap_targeted,0.5,1
N-LZPc27kjM_000229_000239,4,gap_targeted,0.0,0
N-LZPc27kjM_000229_000239,0,baseline,0.0,0
N-LZPc27kjM_000229_000239,1,baseline,1.0,0
N-LZPc27kjM_000229_000239,2,baseline,0.0,0
N-LZPc27kjM_000229_000239,3,baseline,0.0,1
N-LZPc27kjM_000229_000239,4,baseline,0.0,0
RjPp0ZPW0yc_000000_000010,0,baseline,1.0,0
RjPp0ZPW0yc_000000_000010,1,baseline,1.0,0
RjPp0ZPW0yc_000000_000010,2,baseline,0.5,1
RjPp0ZPW0yc_000000_000010,3,baseline,0.0,0
RjPp0ZPW0yc_000000_000010,4,baseline,0.0,0
RjPp0ZPW0yc_000000_000010,0,gap_targeted,1.0,0
RjPp0ZPW0yc_000000_000010,1,gap_targeted,1.0,0
RjPp0ZPW0yc_000000_000010,2,gap_targeted,1.0,1
RjPp0ZPW0yc_000000_000010,3,gap_targeted,0.0,0
RjPp0ZPW0yc_000000_000010,4,gap_targeted,0.0,0
RlfVK8z5wJ0_000000_000010,0,baseline,0.0,0
RlfVK8z5wJ0_000000_000010,1,baseline,1.0,0
RlfVK8z5wJ0_000000_000010,2,baseline,0.5,0
RlfVK8z5wJ0_000000_000010,3,baseline,0.0,0
RlfVK8z5wJ0_000000_000010,4,baseline,0.0,1
RlfVK8z5wJ0_000000_000010,0,gap_targeted,1.0,0
RlfVK8z5wJ0_000000_000010,1,gap_targeted,1.0,0
RlfVK8z5wJ0_000000_000010,2,gap_targeted,0.0,0
RlfVK8z5wJ0_000000_000010,3,gap_targeted,1.0,0
RlfVK8z5wJ0_000000_000010,4,gap_targeted,1.0,1
ZcYB6tPK2Eo_000138_000148,0,baseline,1.0,0
ZcYB6tPK2Eo_000138_000148,1,baseline,1.0,0
ZcYB6tPK2Eo_000138_000148,2,baseline,0.5,0
