iteration,timestamp,name,recipe,signature,best_target,best_value,metric_col,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin
6,2026-05-27T19:55:27Z,"ratio(read_s,adqa_t3_minus_t0)",(read_s) / (adqa_t3_minus_t0 + 1e-6),b98da8903c835bd3,auc_critical_miss,1.0,auto_b98da8903c835bd3,0.24179760265335026,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
24,2026-05-27T20:06:20Z,"mut_ext_scale_diff(need_mean,speech_mean)",((need_mean) - (speech_mean)) * extended_seconds_frac,463b7b972e95fb56,auc_judge_disagree,1.0,auto_463b7b972e95fb56,0.0,0.35555555555555557,0.6444444444444445,1.0,0.5625,0.4642857142857143
24,2026-05-27T20:06:20Z,"mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",((read_s) / (adqa_t3_minus_t0 + 1e-6)) * tier_idx,08c76f6285930694,auc_critical_miss,1.0,auto_08c76f6285930694,0.9289881478604493,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
17,2026-05-27T20:05:59Z,"mut_tier_scale_diff(need_mean,speech_mean)",((need_mean) - (speech_mean)) * tier_idx,2b2e9374be42bc37,auc_judge_disagree,1.0,auto_2b2e9374be42bc37,-0.6849876123970944,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714
24,2026-05-27T20:06:20Z,"mut_inv_diff(need_mean,speech_mean)",1.0 / (abs((need_mean) - (speech_mean)) + 0.01),c3da563b5be3c252,auc_judge_disagree,1.0,auto_c3da563b5be3c252,0.0,0.5333333333333333,0.5111111111111111,1.0,0.40625,0.7142857142857143
2,2026-05-27T19:53:23Z,"diff(need_mean,speech_mean)",(need_mean) - (speech_mean),7342398445653aca,auc_judge_disagree,1.0,auto_7342398445653aca,0.0,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714
10,2026-05-27T20:05:43Z,"mut_log_ratio(read_s,adqa_t3_minus_t0)",log1p(abs((read_s) / (adqa_t3_minus_t0 + 1e-6))),6177af117b91bee0,auc_critical_miss,1.0,auto_6177af117b91bee0,0.2418014907934834,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
17,2026-05-27T20:05:59Z,"mut_need_scale_ratio(read_s,adqa_t3_minus_t0)",((read_s) / (adqa_t3_minus_t0 + 1e-6)) * need_mean,4404cebd7fe0dd9b,auc_critical_miss,0.9777777777777777,auto_4404cebd7fe0dd9b,0.1966565489464958,0.5777777777777777,0.9777777777777777,0.875,0.65625,0.6071428571428571
28,2026-05-27T20:24:10Z,spread_x_need(clip_top3),clip_top3_spread * need_mean,7071157bd9a85f4c,auc_low_margin,0.9642857142857143,auto_7071157bd9a85f4c,0.0,0.35555555555555557,0.4888888888888889,0.53125,0.46875,0.9642857142857143
28,2026-05-27T20:24:10Z,"spread_diff(clip_top3,crit_w)",(clip_top3_spread) - (crit_w_spread),19e335621c42c788,auc_critical_miss,0.9555555555555556,auto_19e335621c42c788,0.0,0.35555555555555557,0.9555555555555556,0.5,0.78125,0.7321428571428571
27,2026-05-27T20:14:09Z,"diff(clip_norm,speech_mean)",(clip_norm) - (speech_mean),148bd7e6751aff55,auc_judge_disagree,0.9375,auto_148bd7e6751aff55,0.705725256633748,0.3333333333333333,0.4666666666666667,0.9375,0.5625,0.6428571428571429
26,2026-05-27T20:06:22Z,"diff(need_std,speech_mean)",(need_std) - (speech_mean),f1f7b8d0ca7e91c4,auc_judge_disagree,0.9375,auto_f1f7b8d0ca7e91c4,0.0,0.4,0.5111111111111111,0.9375,0.65625,0.6428571428571429
