clip_key,corpus,category,window,start_s,end_s,need_score,scene_gap,agent_gap,need_q,recommendation
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,0,0.0,4.5,0.406,0.118,0.165,0.6,moderate_ad_need:agent/action
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,1,4.5,7.5,0.161,0.077,0.02,0.4,moderate_ad_need:spatial/scene
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,2,7.5,10.4,0.489,0.307,0.014,0.8,high_ad_need:spatial/scene
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,3,10.4,13.4,0.701,0.433,0.026,1.0,high_ad_need:spatial/scene
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,4,13.4,14.9,0.089,0.03,0.253,0.2,low_ad_need
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,0,0.0,4.5,0.747,0.56,0.129,1.0,high_ad_need:spatial/scene
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,1,4.5,7.5,0.288,0.281,0.05,0.6,moderate_ad_need:spatial/scene
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,2,7.5,10.4,0.082,0.104,0.031,0.4,moderate_ad_need:spatial/scene
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,3,10.4,13.4,0.077,0.028,0.032,0.2,low_ad_need
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,4,13.4,16.4,0.337,0.076,0.131,0.8,high_ad_need:agent/action
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,0,0.0,3.3,0.677,0.247,0.186,1.0,high_ad_need:spatial/scene
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,1,3.3,6.6,0.387,0.073,0.067,0.8,high_ad_need:spatial/scene
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,2,6.6,9.8,0.195,0.062,0.045,0.6,moderate_ad_need:spatial/scene
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,3,9.8,13.1,0.088,0.066,0.044,0.4,moderate_ad_need:spatial/scene
