video_id,window,condition,dominant_type,second_type,ad_text,profile_alignment,dominant_keyword_coverage,weighted_keyword_coverage,specificity_score,word_count
0t0DB1B1w8Y_000000_000010,2,baseline,motion_action,object_body,"She clears hurdles, landing on red pad.",0.2782597561475071,0.0,0.704079514212186,0.2857142857142857,7
0t0DB1B1w8Y_000000_000010,2,gap_targeted,motion_action,object_body,"She clears the hurdle, lands on pad.",0.27798373992756764,0.0,0.49736555370611724,0.14285714285714285,7
0t0DB1B1w8Y_000000_000010,1,baseline,scene_spatial,face_character,"She clears hurdles, landing on red pad.",0.3452016974873999,0.0,0.043812312940099685,0.2857142857142857,7
0t0DB1B1w8Y_000000_000010,1,gap_targeted,scene_spatial,face_character,"Outdoor track, hurdles ahead, red pad waiting",0.23802895283884878,0.0,0.021361809933281795,0.14285714285714285,7
0t0DB1B1w8Y_000000_000010,0,baseline,scene_spatial,visual_form,"Athlete leaps hurdles, lands on red pad.",0.35140191082730343,0.0,0.011807960625018044,0.14285714285714285,7
0t0DB1B1w8Y_000000_000010,0,gap_targeted,scene_spatial,visual_form,"Sunny outdoor track, hurdles ahead, red pad",0.35140191082730343,0.0,0.011807960625018044,0.14285714285714285,7
1-jIze6gy0g_000026_000036,4,baseline,scene_spatial,visual_form,Workers seal bags along the conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,4,gap_targeted,scene_spatial,visual_form,Workers line a conveyor; bags stacked nearby.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,3,baseline,scene_spatial,visual_form,Workers seal bags along factory conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,3,gap_targeted,scene_spatial,visual_form,Workers line a conveyor; bags stacked nearby.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,2,baseline,scene_spatial,face_character,Workers seal bags along factory conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,2,gap_targeted,scene_spatial,face_character,Workers line a conveyor; bags stacked nearby.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,0,baseline,visual_form,motion_action,Workers seal material bags along conveyor line.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,0,gap_targeted,visual_form,motion_action,Bulging bags crowd a humming factory line.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,1,baseline,visual_form,scene_spatial,Workers seal bags along factory assembly line.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,1,gap_targeted,visual_form,scene_spatial,Workers seal bags along the conveyor belt.,,0.0,0.0,0.0,7
3su234u58DA_000172_000182,4,baseline,scene_spatial,visual_form,Snowball fight erupts behind woman in park.,,0.0,0.0,0.0,7
3su234u58DA_000172_000182,4,gap_targeted,scene_spatial,visual_form,"Snowy park, crowd hurling snowballs behind her.",0.6460712544543218,1.5,0.6276607797765009,0.2857142857142857,7
3su234u58DA_000172_000182,0,baseline,scene_spatial,object_body,Snowy park; crowd hurls snowballs behind woman.,0.6017878074145224,1.5,0.3609730882412476,0.14285714285714285,7
3su234u58DA_000172_000182,0,gap_targeted,scene_spatial,object_body,Snowy park; crowd hurls snowballs behind woman.,0.6017878074145224,1.5,0.3609730882412476,0.14285714285714285,7
3su234u58DA_000172_000182,1,baseline,scene_spatial,visual_form,"Behind her, crowds hurl snowballs in snow.",0.04270765461349519,0.0,0.018227995434462796,0.14285714285714285,7
3su234u58DA_000172_000182,1,gap_targeted,scene_spatial,visual_form,Snowy park; crowd hurls snowballs behind her.,0.6590701397698518,1.5,0.4872203869356518,0.2857142857142857,7
3su234u58DA_000172_000182,3,baseline,scene_spatial,visual_form,"Behind her, crowds hurl snowballs in snow.",0.08014716978877513,0.0,0.037529031815108804,0.14285714285714285,7
3su234u58DA_000172_000182,3,gap_targeted,scene_spatial,visual_form,Snowy park; crowd hurls snowballs behind her.,0.4817379523932577,1.5,0.39070652061740413,0.2857142857142857,7
3su234u58DA_000172_000182,2,baseline,scene_spatial,visual_form,"Behind her, crowds hurl snowballs in snow.",0.04010863743342453,0.0,0.014688885192318812,0.14285714285714285,7
