video_id,category,adqa_full_order,ensemble_full_order,clip_full_order,adqa_fail,ensemble_fail,clip_fail,mean_visual_gap,max_visual_gap,top1_vs_uniform,top1_share,scene_agent_time_rho,scene_agent_peak_apart
0m0-Q0zz_-c_000112_000122,How-to & Instructional,1,1,0,0,0,1,0.26749466598269644,1.0014171641982383,3.7436902172210695,0.3403354742928245,0.9308049893233223,0.0
0t0DB1B1w8Y_000000_000010,Sports,1,1,1,0,0,0,0.03272520589509773,0.05543514813754713,1.6939587275706451,0.2823264545951075,0.09728044500500976,1.0
1-jIze6gy0g_000026_000036,How-to & Instructional,0,1,1,1,0,0,0.19188481341365787,0.595758704526796,3.1047725660419117,0.3104772566041912,0.35629823908829106,1.0
1HUWWCLza0w_000000_000010,Sports,1,1,0,0,0,1,0.3700086369131312,1.368165970638435,3.6976595520921487,0.4108510613435721,0.32331664380558506,1.0
1YemrpNBpf4_000001_000011,Entertainment,0,1,0,1,0,1,0.2593689352602941,0.7834556265811858,3.02062244190861,0.30206224419086103,-0.002188518573726862,1.0
1kLhK8KfIEw_000020_000030,How-to & Instructional,0,1,1,1,0,0,0.29248868425036373,0.38394841934619484,1.3126949520465674,0.13126949520465675,0.7605862173856002,0.0
21T1JDdJgsM_000047_000057,Entertainment,1,1,0,0,0,1,0.19655998774942185,0.6462093690891746,3.2875936577335043,0.29887215070304585,0.2856588600746781,1.0
2kJxrcNRS9w_000047_000057,Sports,1,1,1,0,0,0,0.42775132100150925,0.7995618815521248,1.8692213028824372,0.16992920935294883,0.5928614645681023,1.0
3su234u58DA_000172_000182,Entertainment,1,1,1,0,0,0,0.19330331968007142,0.7563181075466374,3.912597614973138,0.35569069227028527,-0.18717795982587704,1.0
3ufJNSez5Is_000008_000018,How-to & Instructional,1,1,0,0,0,1,0.10754064404636283,0.28478637695885756,2.6481743668568756,0.2648174366856876,0.6822960228603615,0.0
750QhTe9Z4U_000000_000010,People & Vlogs,1,1,1,0,0,0,0.1550594798400192,0.4508565683102179,2.907636274643665,0.2907636274643665,0.8580088292566509,0.0
8vkNr_eysXY_000002_000012,How-to & Instructional,0,1,0,1,0,1,0.4790613306121493,1.2667515246909897,2.6442366430876856,0.26442366430876857,0.8918033014839208,0.0
9eBhetL8n5Q_000222_000232,People & Vlogs,1,1,1,0,0,0,0.14147990362291418,0.34703246003305044,2.4528745860471792,0.22298859873156174,0.691321356000156,1.0
9fuIpQgnNEQ_000049_000059,Event,1,1,1,0,0,0,0.08256238289820637,0.43344505795107424,5.249909737773455,0.4772645216157687,0.5756360918577281,1.0
A0e7Z55s8pE_000008_000018,How-to & Instructional,1,1,1,0,0,0,0.15554551796359717,0.3003551588281119,1.9309791934885905,0.32182986558143173,0.6827256446166394,0.0
AEkLDauJVi0_000069_000079,Food & Cooking,1,1,1,0,0,0,0.2749336523151358,0.41823743215332343,1.5212304082511126,0.13829367347737387,0.5352979133285164,0.0
BHxn3qfPAl4_000018_000028,Health & Wellness,1,1,0,0,0,1,0.3167171812470297,1.0809082613645236,3.4128500926555296,0.341285009265553,0.8027700759805307,1.0
BcW6Y7eufQE_000239_000249,People & Vlogs,1,1,1,0,0,0,0.3297555207931808,0.9195952474135034,2.788718275895868,0.25351984326326077,0.703112277445401,1.0
Bss3WwpDdS8_000041_000051,People & Vlogs,1,1,1,0,0,0,0.1799310506735872,0.24062910494528467,1.337340631561196,0.12157642105101782,-0.33536353265273433,1.0
Ccgwurislg8_000082_000092,How-to & Instructional,0,1,0,1,0,1,0.1984037632041385,0.6006253530729058,3.027288108718582,0.3027288108718582,0.9530458741314773,1.0
D297atE3gag_000203_000213,How-to & Instructional,1,1,1,0,0,0,0.1299239569883623,0.39717339339819524,3.0569681112296423,0.30569681112296426,0.9330263337494256,0.0
EA3HCx0yTIY_000281_000291,Music,1,1,1,0,0,0,0.7485097452540056,1.1738605590729794,1.5682635617184006,0.14256941470167278,-0.25593430186127986,1.0
