video_id,window,condition,dominant_type,second_type,ad_text,profile_alignment,dominant_keyword_coverage,weighted_keyword_coverage,specificity_score,word_count
0m0-Q0zz_-c_000112_000122,0,baseline,visual_form,face_character,Man in suit demonstrates bow tie tying using knee.,0.5232631101578629,0.0,1.6815827915759138,0.2222222222222222,9
0m0-Q0zz_-c_000112_000122,0,gap_targeted,visual_form,face_character,White bow tie contrasts sharply against dark suit fabric.,,0.0,0.0,0.0,9
0m0-Q0zz_-c_000112_000122,1,baseline,visual_form,face_character,Man in suit demonstrates tying white bow tie on knee.,0.44859182936374725,0.0,0.1644624420855056,0.2,10
0m0-Q0zz_-c_000112_000122,1,gap_targeted,visual_form,face_character,White bow tie gleams against dark suit fabric.,,0.0,0.0,0.0,8
0m0-Q0zz_-c_000112_000122,2,baseline,visual_form,face_character,Man demonstrates bow tie tying using his knee.,0.3813388814341996,0.0,0.3902253206637622,0.375,8
0m0-Q0zz_-c_000112_000122,2,gap_targeted,visual_form,face_character,White bow tie gleams against dark suit fabric.,,0.0,0.0,0.0,8
0m0-Q0zz_-c_000112_000122,4,baseline,visual_form,face_character,Man demonstrates bow tie tying using his knee.,0.22397361948328978,0.0,0.29052108209668787,0.375,8
0m0-Q0zz_-c_000112_000122,4,gap_targeted,visual_form,face_character,White bow tie contrasts sharply against dark suit fabric.,,0.0,0.0,0.0,9
0m0-Q0zz_-c_000112_000122,5,baseline,face_character,visual_form,Bow tie rests completed on thigh.,,0.0,0.0,0.0,6
0m0-Q0zz_-c_000112_000122,5,gap_targeted,face_character,visual_form,Man's focused expression concentrating intently.,,0.0,0.0,0.0,5
0m0-Q0zz_-c_000112_000122,3,baseline,visual_form,face_character,Man demonstrates tying white bow tie against his knee.,0.39754789878696856,0.0,0.3242976205882245,0.3333333333333333,9
0m0-Q0zz_-c_000112_000122,3,gap_targeted,visual_form,face_character,White bow tie gleams against dark suit fabric.,,0.0,0.0,0.0,8
0t0DB1B1w8Y_000000_000010,2,baseline,motion_action,object_body,Athlete lands gracefully on red foam pad after hurdles.,0.11553498107886707,0.0,0.20671396050606872,0.1111111111111111,9
0t0DB1B1w8Y_000000_000010,2,gap_targeted,motion_action,object_body,"She leaps over hurdles, landing gracefully on the red pad.",0.2782597561475071,0.0,0.704079514212186,0.2,10
0t0DB1B1w8Y_000000_000010,1,baseline,scene_spatial,face_character,Athlete lands gracefully on red foam pad after hurdles.,0.23802895283884878,0.0,0.021361809933281795,0.1111111111111111,9
0t0DB1B1w8Y_000000_000010,1,gap_targeted,scene_spatial,face_character,"Outdoor track with hurdles lined up, spectators watching in background.",,0.0,0.0,0.0,10
0t0DB1B1w8Y_000000_000010,0,baseline,scene_spatial,visual_form,"Athlete leaps hurdles, lands gracefully on red foam pad.",0.35140191082730343,0.0,0.011807960625018044,0.1111111111111111,9
0t0DB1B1w8Y_000000_000010,0,gap_targeted,scene_spatial,visual_form,"Outdoor track setting with hurdles arranged in a line, spectators watching in background.",0.6841122803588799,1.5,0.022987839908300556,0.07692307692307693,13
1-jIze6gy0g_000026_000036,4,baseline,scene_spatial,visual_form,Workers seal bags on a moving conveyor belt.,,0.0,0.0,0.0,8
1-jIze6gy0g_000026_000036,4,gap_targeted,scene_spatial,visual_form,"Workers line the conveyor belt, bags stacked behind them.",,0.0,0.0,0.0,9
1-jIze6gy0g_000026_000036,3,baseline,scene_spatial,visual_form,Workers seal bags on moving conveyor belt efficiently.,,0.0,0.0,0.0,8
1-jIze6gy0g_000026_000036,3,gap_targeted,scene_spatial,visual_form,"Workers positioned along conveyor belt, stacked bags nearby.",,0.0,0.0,0.0,8
1-jIze6gy0g_000026_000036,2,baseline,scene_spatial,face_character,Workers seal bags on a moving conveyor belt.,,0.0,0.0,0.0,8
1-jIze6gy0g_000026_000036,2,gap_targeted,scene_spatial,face_character,Factory assembly line stretches forward; workers positioned along conveyor belt.,,0.0,0.0,0.0,10
1-jIze6gy0g_000026_000036,0,baseline,visual_form,motion_action,Factory assembly line: workers seal bags on conveyor belt.,,0.0,0.0,0.0,9
1-jIze6gy0g_000026_000036,0,gap_targeted,visual_form,motion_action,Large industrial bags move steadily down the conveyor belt.,,0.0,0.0,0.0,9
1-jIze6gy0g_000026_000036,1,baseline,visual_form,scene_spatial,Workers seal bags on moving conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,1,gap_targeted,visual_form,scene_spatial,Large industrial bags move steadily down the conveyor line.,,0.0,0.0,0.0,9
1HUWWCLza0w_000000_000010,0,baseline,scene_spatial,visual_form,Young man shoots basketball from hopscotch court successfully.,0.3916031060171917,0.0,0.3054227038091244,0.125,8
1HUWWCLza0w_000000_000010,0,gap_targeted,scene_spatial,visual_form,"Schoolyard with painted hopscotch court, basketball hoop in background.",,0.0,0.0,0.0,9
1HUWWCLza0w_000000_000010,2,baseline,visual_form,face_character,"Basketball arcs through air, swishes net successfully.",,0.0,0.0,0.0,7
1HUWWCLza0w_000000_000010,2,gap_targeted,visual_form,face_character,"Basketball arcs through air, swishes cleanly through net.",,0.0,0.0,0.0,8
1HUWWCLza0w_000000_000010,4,baseline,motion_action,object_body,Ball swishes through hoop.,,0.0,0.0,0.0,4
