clip_idx,video_id,category,question_model,q_idx,question,answer_key,required_visual_evidence,importance,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Throwing a small object at a board.,subject holding object; object hitting board,critical,Describes the main action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,1,What is the setting of the scene?,A kitchen with industrial equipment.,kitchen equipment; industrial mixers,useful,Provides context for the action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,2,What object does the main subject throw?,A small red object.,subject holding red object; object in air,useful,Identifies the key object in action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,3,What is visible on the board where the object hits?,A piece of paper with text.,board with paper; object hitting paper,useful,Describes key interaction with the board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,4,What is the main subject's reaction after throwing the object?,The subject is smiling and laughing.,subject smiling; subject laughing,critical,Shows the subject's emotional response.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Eating a burger.,subject eating; burger in hand,critical,Main action of the subject.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,1,What is the setting of the scene?,Inside a fast-food restaurant.,restaurant interior; fast-food branding,critical,Establishes location context.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,2,What brand is prominently featured?,Burger King.,Burger King logo; branding on tray,critical,Identifies the brand context.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,3,What is written on the tray liner?,BURGER EATING.,text on tray liner,useful,Highlights key on-screen text.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,4,What is the main subject wearing?,A gray hoodie.,subject's clothing,useful,Describes the subject's appearance.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Cooking an omelette in a pan.,holding a pan; stirring with a fork,critical,Describes the main action.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,1,What kitchen appliance is visible in the background?,A stove.,stove knobs; stove surface,useful,Sets the location context.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,2,What container is near the stove?,A bottle of cooking oil.,bottle of oil; near stove,useful,Indicates cooking ingredients.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,3,What is the main ingredient being cooked?,Noodles and vegetables.,noodles in pan; vegetables visible,critical,Identifies the dish being prepared.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,4,What brand is visible on the salt container?,Morton.,Morton salt container,useful,Provides detail about ingredients.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Cooking scrambled eggs in a pan.,holding a spatula; scrambled eggs in a pan,critical,Describes the main action.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,1,Where is the main subject located?,In a kitchen.,kitchen counter; refrigerator,useful,Sets the scene.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,2,What key object is the main subject using?,A spatula.,holding a spatula,critical,Identifies a key object in use.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,3,What is on the counter next to the main subject?,A pink bowl and a plate.,pink bowl; plate,useful,Describes key objects in the setting.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,4,What is visible on the subject's shirt?,A cartoon character.,cartoon character on shirt,useful,Describes the subject's appearance.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Mixing greens in a wooden bowl.,hands mixing; greens in bowl,critical,Describes the main action.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,1,What type of bowl is being used?,A wooden bowl.,wooden texture; bowl shape,useful,Identifies key object.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,2,What is on the cutting board?,A ball of cheese.,cutting board; ball of cheese,useful,Describes a key object.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,3,How many hands are involved in the action?,Four hands.,two pairs of hands; mixing action,critical,Indicates multiple participants.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,4,What is the setting of the activity?,A kitchen or dining area.,wooden table; cutting board,useful,Provides context for the action.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,0,What is the main subject doing?,Riding a snowmobile.,person on snowmobile; snowy terrain,critical,Main action of the scene.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,1,What type of terrain is the scene set in?,Snow-covered landscape.,snow on ground; snow on trees,critical,Describes the setting.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,2,What is the main object being used?,Snowmobile.,snowmobile; person operating snowmobile,critical,Key object in the scene.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,3,What is visible on the snowmobile?,Crossfire text.,text on snowmobile,useful,Identifies the snowmobile model.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,4,What is the weather condition in the scene?,Clear and sunny.,clear sky; sunlight on snow,useful,Provides context for the setting.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,0,What is the main subject doing?,Pulling a sled through the snow.,person pulling; sled in snow,critical,Describes the main action.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,1,What is the setting of the scene?,Snowy outdoor environment.,snow on ground; outdoor setting,critical,Provides context for the action.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,2,What key object is visible in the frames?,A blue sled.,blue sled; sled being pulled,useful,Identifies a significant object.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,3,What is the main subject wearing?,Dark clothing.,dark clothing; person in snow,useful,Describes the appearance of the subject.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,4,Is there any visible text on screen?,No visible text.,absence of text,useful,Confirms lack of on-screen text.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,0,What is depicted on the sign in the first frame?,A horse and the text 'K-Hill Ranch'.,horse; K-Hill Ranch,critical,Identifies the location.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,1,What animals are shown in the third and fourth frames?,Two horses grazing.,two horses; grazing,critical,Main subjects of these frames.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,2,What flags are visible in the second frame?,"KOA, American, Canadian, and another flag.",flags; KOA; American; Canadian,useful,Indicates international presence.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,3,What activity is happening in the fifth to seventh frames?,Horseback riding through a forest.,horseback riding; forest,critical,Describes main action.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,4,What logo is present in all frames?,KOA logo.,KOA logo,useful,Indicates branding.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,0,What is the main subject doing?,Skiing down a slope.,subject skiing; downhill movement,critical,Main action of the video.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,1,What is the setting of the scene?,A snowy ski slope at night.,snowy slope; nighttime lighting,critical,Establishes location and time.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,2,What key objects are visible on the slope?,Poles marking the path.,poles; path markers,useful,Indicates course layout.
