clip_idx,video_id,category,tier,gt,description,provider,model,q_idx,score,label,evidence_quote,grade_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,0,0.0,no,,"Cross-category description about skiing, not food/cooking."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,1,0.0,no,,"Cross-category description about skiing, not food/cooking."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,2,0.0,no,,"Cross-category description about skiing, not food/cooking."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic,claude-haiku-4-5-20251001,0,0.0,no,demonstrates his skill throwing a knife,"Missing tomato, wall target, and knife pinning action details."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic,claude-haiku-4-5-20251001,1,0.0,no,,No mention of countdown or Spanish language.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic,claude-haiku-4-5-20251001,2,0.0,no,,No facial expression or emotional response described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic,claude-haiku-4-5-20251001,0,0.5,partial,pins a cherry tomato to the wall by throwing a knife,"Has tomato and knife pinning, but unclear sequence and actor roles."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic,claude-haiku-4-5-20251001,1,1.0,yes,counting backward in spanish,Clearly states Spanish countdown.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic,claude-haiku-4-5-20251001,2,0.0,no,,No facial expression or emotional response described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,0,1.0,yes,"throws the tomato at a wall, followed by a knife, which pins the tomato in place","Complete sequence: cherry tomato, wall target, knife pins it."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,1,1.0,yes,counts down in Spanish,Clearly identifies Spanish language and countdown action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,2,1.0,yes,"The chef smiles, showcasing his skill",Describes smile and skill/confidence after pinning.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,0,0.0,no,,"Cross-category description about skiing, not food/cooking."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,1,0.0,no,,"Cross-category description about skiing, not food/cooking."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,2,0.0,no,,"Cross-category description about skiing, not food/cooking."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,anthropic,claude-haiku-4-5-20251001,0,0.5,partial,eats a lot of burgers and than starts to get sick,"Mentions eating and difficulty but lacks gray hoodie, rapid/quick bites, coughing details."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,anthropic,claude-haiku-4-5-20251001,1,0.0,no,,"No mention of people's reactions, laughing, clapping, or encouragement."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,anthropic,claude-haiku-4-5-20251001,2,0.0,no,,"No mention of tray liner, ketchup, or 'BURGER EATING' text."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic,claude-haiku-4-5-20251001,0,0.5,partial,eating a hamburger very fast,"Mentions fast eating but missing gray hoodie, coughing, struggling details."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic,claude-haiku-4-5-20251001,1,0.0,no,,"No mention of people's reactions, laughing, clapping, or encouragement."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic,claude-haiku-4-5-20251001,2,0.0,no,,"No mention of tray liner, ketchup, or 'BURGER EATING' text."
