video_id,category,dominant_clip_type,top_window_route,top_window_type,top_case_id,clip_halluc_drop,clip_para_drop,clip_specific_margin,adqa_halluc_drop,adqa_para_drop,adqa_specific_margin,clip_halluc_detect,clip_specific_detect,adqa_detect,adqa_blind,expert_words,halluc_words,para_words,mean_scene_spatial_gap,mean_agent_action_gap,mean_control_gap,mean_visual_gap,max_visual_gap,top1_share,top1_vs_uniform,scene_agent_peak_apart,route_window_count,top_window_peak_visual_gap,top_window_visual_minus_control,top_case_priority_score,route_peak_action_state_or_agent_cue,route_mean_action_state_or_agent_cue,route_share_action_state_or_agent_cue,top_route_is_action_state_or_agent_cue,route_peak_layout_replay_or_scene_cue,route_mean_layout_replay_or_scene_cue,route_share_layout_replay_or_scene_cue,top_route_is_layout_replay_or_scene_cue,route_peak_static_ad_ok_low_gap,route_mean_static_ad_ok_low_gap,route_share_static_ad_ok_low_gap,top_route_is_static_ad_ok_low_gap,relation_action_probe_count
3ufJNSez5Is_000008_000018,How-to & Instructional,scene_spatial,static_ad_ok_low_gap,agent_action,low_gap_skip,0.002201557159,-0.005227476358,0.007429033518,0,0.1,-0.1,1,1,0,1,61,61,59,0.0994568059,0.04119598666,0.1503129763,0.107540644,0.284786377,0.2648174367,2.648174367,0,4,0.284786377,0.04422477437,0.1131897089,0,0,0,0,0,0,0,0,0.284786377,0.1207923378,1,1,0
_oAKCHh_Av4_000003_000013,People & Vlogs,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.04933744669,-0.003636538982,0.05297398567,0,0,0,1,1,0,1,48,48,53,0.3295330498,0.1552194544,0.1594429758,0.3309372605,0.6540700964,0.1976417208,1.976417208,1,4,0.6540700964,0.4786614838,0.6540700964,0,0,0,0,0.6540700964,0.4626130073,0.5,1,0.18172131,0.1213101781,0.5,0,0
BHxn3qfPAl4_000018_000028,Health & Wellness,agent_action,action_state_or_agent_cue,agent_action,moment_level_authoring,0.05778616667,0.007425576448,0.05036059022,0,0,0,1,1,0,1,37,37,38,0.1913578916,0.2518849311,0.1790407628,0.3167171812,1.080908261,0.3412850093,3.412850093,1,4,1.080908261,0.1968120402,3.412850093,1.080908261,0.6284264506,0.5,1,0,0,0,0,0.1794016267,0.1509560258,0.5,0,0
BcW6Y7eufQE_000239_000249,People & Vlogs,scene_spatial,action_state_or_agent_cue,agent_action,scene_layout_replay,0.07757228613,0.02556464076,0.05200764537,0.2,0,0.2,1,1,1,0,52,52,52,0.2456306057,0.2373552513,0.1814278239,0.3297555208,0.9195952474,0.2535198433,2.788718276,1,4,0.9195952474,0.336976861,0.9195952474,0.9195952474,0.596184507,0.5,1,0,0,0,0,0.2569736865,0.1405703186,0.5,0,0
EA3HCx0yTIY_000281_000291,Music,agent_action,action_state_or_agent_cue,agent_action,dynamic_type_shift,0.05767589808,-0.006961166859,0.06463706493,0.4,0,0.4,1,1,1,0,37,38,38,0.4101038013,0.6210217692,0.03255026484,0.7485097453,1.173860559,0.1425694147,1.568263562,1,4,1.173860559,1.028862678,1.255934302,1.173860559,0.8965196079,0.5,1,0.6904098241,0.597910051,0.25,0,0.004533446219,0.004533446219,0.25,0,0
j6CgiNeWQwM_000842_000852,Food & Cooking,scene_spatial,static_ad_ok_low_gap,scene_spatial,dynamic_type_shift,0.003479510546,-0.001323759556,0.004803270102,0,-0.2,0.2,1,1,0,1,57,57,60,0.1311089363,0.05251030158,0.3323446141,0.1312230357,0.214393195,0.1633807615,1.633807615,1,4,0.214393195,0.1077450279,0.7959830323,0,0,0,0,0,0,0,0,0.214393195,0.1334402641,1,1,0
9fuIpQgnNEQ_000049_000059,Event,scene_spatial,layout_replay_or_scene_cue,scene_spatial,moment_level_authoring,0.04505968094,-0.001986414194,0.04704609513,0,0.1,-0.1,1,1,0,1,52,55,49,0.05882426491,0.05752106516,0.07752184254,0.0825623829,0.433445058,0.4772645216,5.249909738,1,4,0.433445058,0.07815104029,5.249909738,0,0,0,0,0.433445058,0.2006124608,0.25,1,0.02691479894,0.01557750339,0.75,0,0
u-olDM7oGGM_000012_000022,Health & Wellness,scene_spatial,action_state_or_agent_cue,agent_action,low_gap_skip,0.01959615946,0.004604041576,0.01499211788,0.1,-0.1,0.2,1,1,1,0,54,54,58,0.1060574993,0.04819647036,0.1418205375,0.1198731951,0.3219531003,0.2685780587,2.685780587,0,4,0.3219531003,-0.03852108369,0.07602298547,0.3219531003,0.1590525801,0.25,1,0,0,0,0,0.1779999222,0.1035392908,0.75,0,0
eb-ufaFcUas_000008_000018,Entertainment,scene_spatial,static_ad_ok_low_gap,scene_spatial,moment_level_authoring,0.03397333622,0.03374257684,0.0002307593822,0,0,0,1,1,0,1,61,63,59,0.04576062006,0.03936731039,0.07256834991,0.04980872642,0.1956893439,0.3571651321,3.928816453,0,4,0.1956893439,0.006881869844,3.928816453,0,0,0,0,0,0,0,0,0.1956893439,0.04475704643,1,1,0
heWD9j45Emw_000225_000235,Music,scene_spatial,static_ad_ok_low_gap,scene_spatial,dynamic_type_shift,0.07370363176,-0.002531349659,0.07623498142,0.2,0,0.2,1,1,1,0,58,58,58,0.04655586857,0.03805528124,0.09135911191,0.05110901615,0.100126168,0.1959070542,1.959070542,1,4,0.100126168,-0.06641386556,0.630963562,0,0,0,0,0,0,0,0,0.100126168,0.05088503706,1,1,0
