clip_idx,video_id,category,question_model,q_idx,question,answer_key,required_visual_evidence,importance,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the man in the white shirt holding and demonstrating?,"A small insect or specimen, appears to be a fly or similar bug",man in white shirt; holding small object in hand; gesturing toward it,critical,Main action and object throughout most frames
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What type of setting or location is shown in the video?,A laboratory or research facility with scientific equipment and storage,lab equipment on tables; specimen containers; organized workspace,critical,Setting establishes context for the demonstration
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,What is visible on the wooden board or surface in the background?,"Papers, documents, and sticky notes posted on a wooden board",wooden board; white papers; yellow and pink sticky notes,useful,Visible organizational elements in the workspace
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,Describe the man's appearance and attire.,Bald man with facial hair wearing a white collared shirt,bald head; goatee or facial hair; white shirt,critical,Primary subject identification for listener
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What is the man's primary action throughout the video frames?,Speaking and gesturing while holding up a specimen to show the camera,hand gestures; holding specimen; speaking expression,critical,Core action that defines the video's purpose
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the man in the gray hoodie doing?,"Eating food, appearing to eat a burger or sandwich",man in gray hoodie; eating motion; food in hands,critical,Main action visible across multiple frames showing eating behavior
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What fast food restaurant is referenced in the video?,Burger King,Burger King logo; on-screen text,critical,Clear on-screen text and branding visible in final frames
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,What is the setting or location where this takes place?,Indoor institutional or commercial building with glass windows,glass windows; ceiling lights; interior walls,useful,Background environment consistent across frames shows indoor setting
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,What text appears on the promotional material shown?,Burger King Burger Eating,on-screen text; promotional material,useful,Visible text on poster/material in final frames
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What is the man wearing?,Gray or blue hoodie sweatshirt,gray hoodie; clothing visible throughout,useful,Consistent identifying clothing visible in all frames
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the person cooking in the skillet?,An omelet with red peppers or tomatoes,yellow omelet; red ingredients mixed in; black skillet on stovetop,critical,Main subject and primary action visible throughout frames
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What cooking ingredient is being added to the omelet?,Oil or liquid from a bottle,bottle being held; liquid pouring; stream into pan,useful,Clear pouring action shown in multiple frames
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,Where is this cooking taking place?,A kitchen with an electric stovetop,electric stove; kitchen counter; microwave in background,critical,Setting clearly visible with appliances and countertop
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,What utensil is the person using to cook the omelet?,A spatula or cooking utensil,utensil in hand; stirring/flipping motion; contact with food,useful,Cooking tool visible in multiple frames during preparation
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What beverage bottle is visible on the counter?,"A bottle with a dark label, possibly oil or sauce",dark labeled bottle; left side of counter; near glass,useful,Prominent object on counter visible in all frames
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the child doing in the kitchen?,Cooking or preparing food in a skillet on the stovetop,child at counter; skillet with food; cooking utensil,critical,Main action visible across all frames
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What type of food is visible in the skillet?,Scrambled eggs or chopped vegetables being cooked,yellow food in skillet; cooked mixture,useful,Key object and cooking content
