source,clip_idx,video_id,q_idx,question_type,is_scene_model,question,tribe_route,tribe_mean_need
generic_claude,0,Q76JRCyTnSc_000007_000017,0,who_role,1,What is the man in the white shirt holding and demonstrating?,,
generic_claude,0,Q76JRCyTnSc_000007_000017,1,spatial_relation,1,Where is this demonstration taking place?,,
generic_claude,0,Q76JRCyTnSc_000007_000017,2,spatial_relation,1,What is visible on the wooden board or surface in the background?,,
generic_claude,0,Q76JRCyTnSc_000007_000017,3,who_role,1,What is the man's apparent role or profession based on the setting?,,
generic_claude,0,Q76JRCyTnSc_000007_000017,4,who_role,1,What containers or equipment are visible on the shelves behind the man?,,
generic_claude,1,058y9xGmmTQ_000206_000216,0,who_role,1,What is the man in the gray hoodie doing?,,
generic_claude,1,058y9xGmmTQ_000206_000216,1,other,0,What fast food restaurant is referenced in the video?,,
generic_claude,1,058y9xGmmTQ_000206_000216,2,object_attr,0,What text appears on the food packaging shown?,,
generic_claude,1,058y9xGmmTQ_000206_000216,3,spatial_relation,1,Where does this video appear to take place?,,
generic_claude,1,058y9xGmmTQ_000206_000216,4,who_role,1,What is the man wearing?,,
generic_claude,3,vLGOZvJ_v4Q_000285_000295,0,who_role,1,What is the person cooking in the skillet?,,
generic_claude,3,vLGOZvJ_v4Q_000285_000295,1,other,0,What cooking ingredient is being added to the omelet?,,
generic_claude,3,vLGOZvJ_v4Q_000285_000295,2,spatial_relation,1,Where is this cooking taking place?,,
generic_claude,3,vLGOZvJ_v4Q_000285_000295,3,who_role,1,What utensil is the person using to cook the omelet?,,
generic_claude,3,vLGOZvJ_v4Q_000285_000295,4,object_attr,0,What beverage bottle is visible on the counter?,,
generic_claude,4,B0EKYDSv_yQ_000002_000012,0,who_role,1,What is the child doing in the kitchen?,,
generic_claude,4,B0EKYDSv_yQ_000002_000012,1,other,0,What type of food is being cooked in the pan?,,
generic_claude,4,B0EKYDSv_yQ_000002_000012,2,spatial_relation,1,Where is this scene taking place?,,
generic_claude,4,B0EKYDSv_yQ_000002_000012,3,who_role,1,What utensil is the child using to cook?,,
generic_claude,4,B0EKYDSv_yQ_000002_000012,4,spatial_relation,1,What is on the counter next to the stove?,,
generic_claude,5,PbGvLf7HvXQ_000063_000073,0,action_relation,1,What is the main subject doing?,,
generic_claude,5,PbGvLf7HvXQ_000063_000073,1,other,0,What type of container holds the greens?,,
generic_claude,5,PbGvLf7HvXQ_000063_000073,2,other,0,What is the primary ingredient being prepared?,,
generic_claude,5,PbGvLf7HvXQ_000063_000073,3,count,1,How many hands are visible performing the action?,,
generic_claude,5,PbGvLf7HvXQ_000063_000073,4,object_attr,0,What is visible on the work surface to the right of the bowl?,,
generic_claude,6,0HEi6q3bGaw_000011_000021,0,who_role,1,What winter sport activity is the person in the center engaged in?,,
generic_claude,6,0HEi6q3bGaw_000011_000021,1,spatial_relation,1,What is the terrain like where the snowmobiler is riding?,,
generic_claude,6,0HEi6q3bGaw_000011_000021,2,object_attr,0,What other snowmobiles are visible in the frames?,,
generic_claude,6,0HEi6q3bGaw_000011_000021,3,spatial_relation,1,What is visible on the left side of the frames in the foreground?,,
generic_claude,6,0HEi6q3bGaw_000011_000021,4,object_attr,0,What time of day does the lighting suggest in these frames?,,
generic_claude,7,09dQut5GJ68_000049_000059,0,action_relation,1,What is the main subject doing in these frames?,,
generic_claude,7,09dQut5GJ68_000049_000059,1,object_attr,0,What is the setting or environment shown?,,
generic_claude,7,09dQut5GJ68_000049_000059,2,object_attr,0,What blue object is visible in the later frames?,,
generic_claude,7,09dQut5GJ68_000049_000059,3,who_role,1,What is the person wearing that stands out visually?,,
generic_claude,7,09dQut5GJ68_000049_000059,4,who_role,1,Is the person in control or losing control during this action?,,
generic_claude,8,hOirknJr3os_000001_000011,0,object_attr,0,What type of facility or venue is shown in the middle frames?,,
generic_claude,8,hOirknJr3os_000001_000011,1,object_attr,0,What animals are visible in the pasture scenes?,,
generic_claude,8,hOirknJr3os_000001_000011,2,object_attr,0,What is displayed on the entrance sign in the first frame?,,
generic_claude,8,hOirknJr3os_000001_000011,3,object_attr,0,What is visible in the wooded area shown in the final frames?,,
generic_claude,8,hOirknJr3os_000001_000011,4,other,0,What logo appears consistently throughout the video frames?,,
generic_claude,9,TF4q9y0rJoc_000000_000010,0,who_role,1,What sport or activity is the person performing?,,
generic_claude,9,TF4q9y0rJoc_000000_000010,1,object_attr,0,What type of course markers are visible on the slope?,,
generic_claude,9,TF4q9y0rJoc_000000_000010,2,object_attr,0,What is the lighting condition during this skiing activity?,,
generic_claude,9,TF4q9y0rJoc_000000_000010,3,object_attr,0,What is visible on the snow surface in the early frames?,,
generic_claude,9,TF4q9y0rJoc_000000_000010,4,who_role,1,What color is the skier's clothing?,,
generic_claude,11,z8Q-s8AthrA_000002_000012,0,who_role,1,What is the young person in the yellow shirt doing in these video clips?,,
generic_claude,11,z8Q-s8AthrA_000002_000012,1,spatial_relation,1,What type of athletic facility is shown in the background?,,
generic_claude,11,z8Q-s8AthrA_000002_000012,2,object_attr,0,What equipment is visible on the track field?,,
generic_claude,11,z8Q-s8AthrA_000002_000012,3,other,0,What is the surface of the running area made of?,,
generic_claude,11,z8Q-s8AthrA_000002_000012,4,other,0,What time of day are these training activities taking place?,,
generic_claude,12,abaLFY_GI8k_000295_000305,0,who_role,1,What sport or activity are the people playing?,,
generic_claude,12,abaLFY_GI8k_000295_000305,1,other,0,What type of surface is the playing area made of?,,
generic_claude,12,abaLFY_GI8k_000295_000305,2,object_attr,0,What structures or barriers are visible around the court?,,
generic_claude,12,abaLFY_GI8k_000295_000305,3,other,0,What is dividing the two sides of the playing area?,,
generic_claude,12,abaLFY_GI8k_000295_000305,4,object_attr,0,What natural features are present in the setting?,,
generic_claude,13,KFcH6BYZWhc_000011_000021,0,other,0,What sport is being played in this video?,,
generic_claude,13,KFcH6BYZWhc_000011_000021,1,spatial_relation,1,What is the setting where this activity takes place?,,
generic_claude,13,KFcH6BYZWhc_000011_000021,2,other,0,What equipment do the players have in their hands?,,
generic_claude,13,KFcH6BYZWhc_000011_000021,3,count,1,How many players are visible on the ice during gameplay?,,
generic_claude,13,KFcH6BYZWhc_000011_000021,4,action_relation,1,What is the primary action occurring on the ice?,,
generic_claude,14,UDD6YcChywc_000000_000010,0,other,0,What sport is being played in this video?,,
generic_claude,14,UDD6YcChywc_000000_000010,1,action_relation,1,What is the player doing in the first frames?,,
generic_claude,14,UDD6YcChywc_000000_000010,2,spatial_relation,1,Where does this curling match take place?,,
generic_claude,14,UDD6YcChywc_000000_000010,3,action_relation,1,What happens to the player after releasing the stone?,,
generic_claude,14,UDD6YcChywc_000000_000010,4,count,1,How many other people are visible on or near the rink?,,
generic_claude,15,OGWuj_FtaQc_000010_000020,0,action_relation,1,What is the main subject doing in these frames?,,
generic_claude,15,OGWuj_FtaQc_000010_000020,1,object_attr,0,What type of setting or location is shown?,,
generic_claude,15,OGWuj_FtaQc_000010_000020,2,who_role,1,What is the man wearing on his upper body?,,
generic_claude,15,OGWuj_FtaQc_000010_000020,3,object_attr,0,What key objects are visible in the immediate area?,,
generic_claude,15,OGWuj_FtaQc_000010_000020,4,spatial_relation,1,What is visible on the fence in the background?,,
generic_claude,16,kOf-vl-GmVI_000115_000125,0,action_relation,1,What is the main subject doing in these frames?,,
generic_claude,16,kOf-vl-GmVI_000115_000125,1,object_attr,0,What type of setting or location is shown?,,
generic_claude,16,kOf-vl-GmVI_000115_000125,2,object_attr,0,What color is the horse in these frames?,,
generic_claude,16,kOf-vl-GmVI_000115_000125,3,who_role,1,What is the person wearing on their head?,,
generic_claude,16,kOf-vl-GmVI_000115_000125,4,who_role,1,What key object separates the person from the horse's body?,,
generic_claude,17,gjoZic4WjiQ_000012_000022,0,other,0,What is the main activity taking place in these video frames?,,
generic_claude,17,gjoZic4WjiQ_000012_000022,1,spatial_relation,1,What is the setting or location where this activity occurs?,,
generic_claude,17,gjoZic4WjiQ_000012_000022,2,other,0,What equipment or structure is used for the main activity?,,
generic_claude,17,gjoZic4WjiQ_000012_000022,3,count,1,How many people are visible participating in this activity?,,
generic_claude,17,gjoZic4WjiQ_000012_000022,4,who_role,1,What is the person wearing on their head?,,
generic_claude,18,q2ZBVyR1k-U_000021_000031,0,who_role,1,What is the person wearing on their head and upper body?,,
generic_claude,18,q2ZBVyR1k-U_000021_000031,1,action_relation,1,What is the primary action being performed in these clips?,,
generic_claude,18,q2ZBVyR1k-U_000021_000031,2,spatial_relation,1,What is the setting or location where this activity takes place?,,
generic_claude,18,q2ZBVyR1k-U_000021_000031,3,object_attr,0,What color is the large cylindrical object being examined?,,
generic_claude,18,q2ZBVyR1k-U_000021_000031,4,count,1,How many people are visible in these video frames?,,
generic_claude,19,qIWQHyOIpEY_000003_000013,0,object_attr,0,What animals are visible in this video clip?,,
