name,kind,best_target,best_auc,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin,metric_a,metric_b,blend
"pair:disc:lex_spread_proxy|disc:mut_ext_scale_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,0.08075078389702418,0.5111111111111111,0.4666666666666667,1.0,0.4375,0.5803571428571429,disc:lex_spread_proxy,"disc:mut_ext_scale_diff(need_mean,speech_mean)",max
"pair:disc:diff(adqa_norm,speech_mean)|disc:skew_per_ext|abs_diff",pair,auc_judge_disagree,1.0,0.0523094229980992,0.6,0.4444444444444444,1.0,0.21875,0.75,"disc:diff(adqa_norm,speech_mean)",disc:skew_per_ext,abs_diff
pair:disc:mut_ext_scale_peak_over_words|disc:lex_minus_clip|harmonic,pair,auc_ensemble_violation,1.0,-0.3873388090582364,1.0,0.5111111111111111,0.6875,0.40625,0.48214285714285715,disc:mut_ext_scale_peak_over_words,disc:lex_minus_clip,harmonic
pair:disc:mut_ext_scale_peak_over_words|disc:lex_minus_clip|product,pair,auc_ensemble_violation,1.0,-0.6091022321455909,1.0,0.5333333333333333,0.65625,0.40625,0.5,disc:mut_ext_scale_peak_over_words,disc:lex_minus_clip,product
pair:disc:mut_ext_scale_peak_over_words|disc:lex_minus_clip|mean_mm,pair,auc_ensemble_violation,1.0,-0.8147199884926254,1.0,0.4888888888888889,0.5625,0.40625,0.39285714285714285,disc:mut_ext_scale_peak_over_words,disc:lex_minus_clip,mean_mm
"pair:disc:product(read_s,extended_seconds_frac)|disc:ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.24089126550998344,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857,"disc:product(read_s,extended_seconds_frac)","disc:ratio(read_s,adqa_t3_minus_t0)",harmonic
"pair:disc:diff(need_mean,speech_mean)|disc:product(need_mean,n_ext)|harmonic",pair,auc_judge_disagree,1.0,0.0,0.6888888888888889,0.6,1.0,0.28125,0.6785714285714286,"disc:diff(need_mean,speech_mean)","disc:product(need_mean,n_ext)",harmonic
"pair:disc:std_ratio(clip_top3,crit_w)|disc:mut_inv_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,0.0,0.6444444444444445,0.8444444444444444,1.0,0.75,0.6964285714285714,"disc:std_ratio(clip_top3,crit_w)","disc:mut_inv_diff(need_mean,speech_mean)",max
"pair:disc:lex_spread_proxy|disc:diff(adqa_v4_score,n_ext)|abs_diff",pair,auc_gt_dispute,1.0,-0.009564690169805073,0.4,0.5333333333333333,0.125,1.0,0.4375,disc:lex_spread_proxy,"disc:diff(adqa_v4_score,n_ext)",abs_diff
"pair:disc:std_ratio(clip_top3,crit_w)|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.0,0.6444444444444445,0.8444444444444444,1.0,0.75,0.7142857142857143,"disc:std_ratio(clip_top3,crit_w)","disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
