claim,status,evidence,primary_sources,allowed_wording,avoid_wording
TRIBE is not an AD ranker / rho booster when represented as a clip-level gap.,confirmed structural guardrail,Per-clip constants cannot reorder candidate ADs within a clip; calibration/gating attempts failed externally.,cursor/findings/tribe-clip-level-triage.md; output/reports/paper-scenetwin-audit-framework.md,"TRIBE is a clip-level triage/router side-car, not part of the AD-level score.",TRIBE improves rho / TRIBE calibrates continuous AD quality.
In-benchmark TRIBE failure queue catches both all4_fail clips.,pilot/supporting evidence,"AUC=1.00, recall@2=100%; family-wise max-stat p=0.0915 across 14 plausible features in local run #1.",output/reports/tribe-new-findings-local-run.md; output/scenetwin_timing_20clip/tribe_native/tribe_failure_forecast.csv,Pilot evidence that TRIBE can prioritize severe benchmark failures.,Definitive AUC=1.00 proof without n=2/post-hoc caveat.
External AV-vs-A mean visual gap provides moderate review triage for ADQA failures.,moderately supported external result,Mean visual gap AUC=0.672 vs ADQA failure; top 10/20/30% review catches 2/3/4 of 10 failures.,output/reports/tribe-new-findings-round2.md; cursor/research/output/new_findings_round2/external_triage_budget_curves.csv,"Useful review-budget signal, not a replacement scorer.",High-recall automatic failure detector.
Gap-targeted AD improves matched questions across judges.,strong supported mechanism claim,"Video-cluster bootstrap: Haiku matched +0.167 CI [0.093,0.243], GPT-5 +0.113 CI [0.055,0.183], Opus17 +0.167 CI [0.036,0.333].",output/reports/tribe-new-findings-round2.md; cursor/research/output/new_findings_round2/crossjudge_meta.csv,TRIBE-targeted generation improves the specific questions it targets.,TRIBE globally improves all AD quality dimensions.
Gap-targeted full-window AD gain is not explained by length alone.,supported guardrail,Word-delta vs ADQA-delta Spearman=0.049; non-longer cases still +0.050 ADQA.,output/reports/tribe-new-findings-round2.md; cursor/research/output/new_findings_round2/length_control_full_adqa.csv,Word count is a confound checked in cached data; gains persist in low/no-length-increase cases.,Length is irrelevant / fully ruled out.
Current surgical target evidence is mostly scene/spatial.,supported limitation,"Scene/spatial matched n=50, +0.150, p=0.0007; other route types have n<=4 in surgical cache.",output/reports/tribe-new-findings-local-run.md; cursor/research/output/new_findings_local/surgical_matched_delta_by_tribe_type.csv,Scene/spatial route is best validated; other types are pending/underpowered.,All route types are equally validated.
ROI/profile evidence is scene/spatial-heavy.,supported limitation/interpretability,"External dominant ROI counts: retrosplenial 30, V1 17, scene PPA 9; object/body/motion sparse.",output/reports/tribe-new-findings-round3.md; cursor/research/output/new_findings_round3/roi_dominant_failure_rates.csv,TRIBE mainly supports scene/spatial blind-spot routing in current corpus.,Robust body/face/motion/object specialization across corpus.
"TRIBE is competitive/different from transcript-armed VLM targeting, not decisively superior.",supported conservative finding,"TRIBE-vs-VLM all-question +0.020 CI [-0.002,0.043]; matched +0.065 CI [0.017,0.113]; type disagreement 90.9%.",output/reports/tribe-new-findings-round3.md; cursor/research/output/new_findings_round3/necessity_rematch_bootstrap.csv,Brain-grounded signal picks different targets and is competitive on matched questions.,TRIBE beats VLM / TRIBE is necessary.
Cheap-baseline gauntlet supports external TRIBE triage.,strongest current external triage support,"For corrected external ADQA failures, accessibility_gap AUC=0.794 and category-shuffle p=0.003; category/transcript/duration baselines are weaker or unstable.",output/reports/parallel-research-cheap-baseline-gauntlet.md; cursor/research/output/parallel_research/cheap_baselines/auc_summary.csv,"TRIBE/gap-route features provide confound-checked review triage beyond category, transcript/speech, and duration baselines in cached external data.",TRIBE is a high-recall automatic failure detector / beats every possible cheap proxy.
Low-gap clips may be lower review priority.,"supported hypothesis, not deployable skip policy","Bottom third max-gap: ADQA fail 0.050, ensemble fail 0.000; CLIP-only remains weak.",output/reports/parallel-research-access-surface-triage.md; cursor/research/output/parallel_research/access_surface/low_gap_early_exit.csv,Low-gap can reduce review pressure after normal scoring.,Low-gap means no AD needed / skip scoring.
Route-specific hallucination gate is a stratified appendix result.,modest descriptive support,TRIBE route/high-gap modestly stratifies cached hallucination-gate behavior; best simple AUC for top-quartile CLIP drop is about 0.659.,output/reports/parallel-research-route-hallucination-gate.md; cursor/research/output/parallel_research/hallucination_gate/tribe_predictor_auc.csv,TRIBE route can contextualize hallucination review sensitivity.,TRIBE detects hallucinations / route alone is a hallucination-risk score.
TRIBE-guided frame sampling is not yet validated as a temporal-action fix.,mixed/negative guardrail,"High-need coverage improves, but action-route coverage is lower than uniform and cached ADQA rho is lower (0.782 vs 0.801).",output/reports/parallel-research-tribe-frame-sampling.md; cursor/research/output/parallel_research/frame_sampling/summary.json,Current TRIBE frame sampling is a plausible coverage experiment that needs budget parity and rescoring.,TRIBE frame sampling solves temporal blind spots / improves ADQA globally.
Type-swapped prompt control remains pending.,blocked experiment,No cached same-clip/same-question generic/matched/swapped result exists; a frozen JSONL candidate batch has 15 records.,output/reports/parallel-research-type-swapped.md; cursor/research/output/parallel_research/type_swapped_prompt_batch.jsonl,Type-swapped control is staged for approved future scoring.,Swapped controls already prove route specificity.
P_AD / NCR future claims must quarantine low-alignment rows.,data-quality guardrail,23 rows have alignment_cosine<=0.5; 35 AV/A temporal-length mismatches in tensor manifest audit. The 60-clip TTS-audio NCR run is near-null globally.,output/reports/tribe-new-findings-local-run.md; output/reports/tribe-ncr-results.md; cursor/research/output/new_findings_local/tensor_health_rows.csv,Future AD-dependent TRIBE scores need alignment quarantine/sensitivity; current TTS-audio NCR is negative/guardrail evidence.,NCR is a working brain-grounded AD scorer / all tensor-derived AD-response scores are equally reliable.
