video_id,swap_class,is_relation_action_count,n_swaps,clip_gate_caught,truth_ad,hallucinated_ad
3ufJNSez5Is_000008_000018,object_scene,0,3,1,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.","In a pottery workshop, a woman is shaping a clay jar on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A woman nearby stands at the wheel, reaching for a wooden rib tool handed to her by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere."
_oAKCHh_Av4_000003_000013,object_scene,0,3,0,"In a cozy living room, a man sits on a couch, holding an electronic smoking device. He inhales and then exhales a cloud of vapor, smiling as he does so. A woman sits nearby, and they both share a moment of laughter. The atmosphere is relaxed and friendly.","In a cozy living room, a man sits alone on a couch, holding a cigar. He inhales and then puffs smoke upward, smiling as he does so. No one else is in the room. The atmosphere is relaxed and friendly."
BHxn3qfPAl4_000018_000028,object_scene,0,3,1,"A woman lies on a massage table, her eyes closed, as a massage therapist gently stretches and massages her neck. The therapist uses their arm to carefully tilt her head to the side, providing a relaxing experience.","A man lies face down on a massage table as a massage therapist gently stretches and massages his shoulders. The therapist uses their hands to carefully press along his upper back, providing a relaxing experience."
BcW6Y7eufQE_000239_000249,object_scene,0,3,0,"In a cozy room, a young woman in a pink hoodie sits across from an older woman with short hair. They engage in a lively conversation. The young woman adjusts her hair, prompting laughter from the older woman. Their interaction is light-hearted and filled with giggles, creating a warm and friendly atmosphere.","In a cozy room, a young woman in a green hoodie sits across from a younger woman with a ponytail. They engage in a lively conversation. The young woman writes in a notebook, prompting laughter from the other woman. Their interaction is light-hearted and filled with giggles, creating a warm and friendly atmosphere."
EA3HCx0yTIY_000281_000291,object_scene,0,3,1,"A bearded, bald man sits at a drum set in a recording studio. He rhythmically strikes a cymbal with a drumstick, creating a steady beat. The focus remains on his deliberate and repeated motion as he plays.","A woman with long hair sits at a drum set in a practice room. She rhythmically strikes a hi-hat with a drumstick, creating a steady beat. The focus remains on her deliberate and repeated motion as she plays."
j6CgiNeWQwM_000842_000852,object_scene,0,3,1,"In a kitchen, a chef and an assistant are preparing a cake. The assistant holds a large mixing bowl filled with batter, while the chef uses a spatula to transfer the batter into a round cake pan lined with parchment paper. They work together efficiently, ensuring all the batter is scraped from the bowl into the pan.","In a kitchen, a chef and an assistant are preparing cupcakes. The assistant holds a large mixing bowl filled with batter, while the chef uses a whisk to transfer the batter into a muffin tin lined with paper cups. They work together efficiently, ensuring all the batter is scraped from the bowl into the tin."
9fuIpQgnNEQ_000049_000059,object_scene,0,3,1,"Outside a bustling convention center, a large crowd forms a line along the sidewalk. People are dressed in various outfits, some in cosplay. A man with a camera captures photos of the scene, focusing on individuals in costume. The atmosphere is lively as attendees chat and move slowly forward in the line.","Outside an empty plaza, a small group of scattered tourists wander along the sidewalk. People are dressed in casual summer clothes. A photographer on a bicycle captures photos of the scene, focusing on a nearby fountain. The atmosphere is quiet as attendees stroll slowly in different directions."
u-olDM7oGGM_000012_000022,object_scene,0,3,1,"On a residential street, a young boy with a backpack walks alongside a group of people, including an adult with a dog on a leash. The boy playfully drapes a jacket over his head and runs across the road, laughing. The scene captures a lighthearted moment, but also highlights the importance of road safety.","On a residential street, a young girl with an umbrella walks alongside a group of people, including an adult pushing a stroller. The girl playfully opens her umbrella and skips across the road at a crosswalk, laughing. The scene captures a lighthearted moment, but also highlights the importance of road safety."
eb-ufaFcUas_000008_000018,object_scene,0,3,1,"In a bustling shopping mall, a young boy is harnessed to elastic cords, bouncing energetically on a trampoline. The setup allows him to soar high into the air, suspended by the bungee cords. Surrounding him are various store signs, including a prominent advertisement for watches. The scene captures the lively atmosphere of the mall as the boy enjoys his thrilling jumps.","In a brightly lit indoor gymnasium, a young boy runs toward a springboard and launches into the air. He lands on a padded mat below, bouncing once before standing up. Surrounding him are bleachers and a large scoreboard on the wall. The scene captures the energetic atmosphere of a school gym as the boy enjoys his jump."
heWD9j45Emw_000225_000235,object_scene,0,3,1,"On a brightly lit stage, a lively band performs a vibrant Latino music piece. At the center, a man energetically plays the accordion, surrounded by fellow musicians who dance and play various instruments, including a saxophone and trumpet. The stage is illuminated with colorful, flashing lights, enhancing the festive atmosphere as the musicians move rhythmically to the music.","On a dimly lit stage, a solo musician performs a slow ballad. At the center, a man quietly strums an acoustic guitar while seated on a stool. Blue stage lights wash over him, creating a calm atmosphere as he plays alone without other instruments."
