video_id,q_idx,condition,score,matched
0m0-Q0zz_-c_000112_000122,0,baseline,1.0,0
0m0-Q0zz_-c_000112_000122,1,baseline,0.5,0
0m0-Q0zz_-c_000112_000122,2,baseline,1.0,0
0m0-Q0zz_-c_000112_000122,3,baseline,0.0,0
0m0-Q0zz_-c_000112_000122,4,baseline,0.0,0
0m0-Q0zz_-c_000112_000122,0,gap_targeted,0.0,0
0m0-Q0zz_-c_000112_000122,1,gap_targeted,0.5,0
0m0-Q0zz_-c_000112_000122,2,gap_targeted,1.0,0
0m0-Q0zz_-c_000112_000122,3,gap_targeted,0.0,0
0m0-Q0zz_-c_000112_000122,4,gap_targeted,0.0,0
0t0DB1B1w8Y_000000_000010,0,baseline,1.0,0
0t0DB1B1w8Y_000000_000010,1,baseline,0.0,1
0t0DB1B1w8Y_000000_000010,2,baseline,0.0,0
0t0DB1B1w8Y_000000_000010,3,baseline,0.0,0
0t0DB1B1w8Y_000000_000010,4,baseline,0.5,0
0t0DB1B1w8Y_000000_000010,0,gap_targeted,1.0,0
0t0DB1B1w8Y_000000_000010,1,gap_targeted,0.5,1
0t0DB1B1w8Y_000000_000010,2,gap_targeted,0.5,0
0t0DB1B1w8Y_000000_000010,3,gap_targeted,0.0,0
0t0DB1B1w8Y_000000_000010,4,gap_targeted,0.5,0
1-jIze6gy0g_000026_000036,0,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,1,gap_targeted,0.0,1
1-jIze6gy0g_000026_000036,2,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,3,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,4,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,0,baseline,0.0,0
1-jIze6gy0g_000026_000036,1,baseline,0.0,1
1-jIze6gy0g_000026_000036,2,baseline,0.0,0
1-jIze6gy0g_000026_000036,3,baseline,0.0,0
1-jIze6gy0g_000026_000036,4,baseline,0.0,0
1HUWWCLza0w_000000_000010,0,baseline,1.0,0
1HUWWCLza0w_000000_000010,1,baseline,0.5,0
1HUWWCLza0w_000000_000010,2,baseline,0.5,0
1HUWWCLza0w_000000_000010,3,baseline,0.0,0
