video_id,cand,ad,n_words,adqa,clip,expert_sim
3ufJNSez5Is_000008_000018,c0,"In a bright pottery studio, a person in a purple shirt meticulously shapes a flared clay piece on a spinning pottery wheel. Nearby, another person in a dark shirt observes, then kneels to press wooden boards. The studio features large windows, many pottery tools, and several finished clay objects.",49,0.7,0.34260132908821106,0.7573632001876831
3ufJNSez5Is_000008_000018,c1,"A young woman in a purple shirt molds a flared clay vase on a spinning potter's wheel in a workshop. Another person leans in, holding a small object. Pottery tools, finished pots, and a lamp are on shelves behind them. A large window shows green trees outside.",47,0.8,0.3735283613204956,0.7433907985687256
3ufJNSez5Is_000008_000018,c2,"A woman in a purple shirt shapes a clay pot on a spinning potter's wheel in a sunlit workshop. Another person briefly kneels, pressing wooden boards, then returns to observing. The room has large windows revealing green trees, with many pottery tools and ceramic vessels around.",46,0.8,0.3531145751476288,0.7601087689399719
3ufJNSez5Is_000008_000018,c3,"Inside a bright pottery workshop, a person in a purple shirt molds a flared clay piece on a spinning pottery wheel. Another person in a dark shirt observes closely. The studio is filled with pottery tools, various clay creations, and light streams in through large windows revealing green trees outside.",50,0.8,0.3407200276851654,0.7549232244491577
_oAKCHh_Av4_000003_000013,c0,"A bearded man in a brown t-shirt sits on a light sofa, holding a black vape device to his mouth. He inhales, then exhales a cloud of white vapor upwards, smiling slightly. A woman in a grey hoodie sits on an adjacent sofa to his right, looking down at her hands. They are in a room with a white and red wall.",62,0.6,0.3313358724117279,0.6551616191864014
_oAKCHh_Av4_000003_000013,c1,"A bearded man in a brown t-shirt sits on a light-colored couch, holding a black vape device to his mouth. He inhales, then exhales a cloud of white vapor upwards, smiling. In the background, a woman sits on another couch. The room has white walls with a red stripe along the middle.",52,0.3,0.3463906943798065,0.6967771053314209
_oAKCHh_Av4_000003_000013,c2,"A bearded man in a dark t-shirt sits on a light couch indoors, holding a black vaping device. He takes a puff, then exhales a cloud of white vapor upwards while smiling. A woman sits on a darker couch behind him, looking down. The room features a white wall with a red stripe.",53,0.3,0.3431142270565033,0.6907356977462769
_oAKCHh_Av4_000003_000013,c3,"A bearded man in a dark t-shirt sits on a beige sofa, inhaling from a vape pen. He exhales a large cloud of white vapor upwards with a smile. In the background, a woman sits on another sofa looking down. The room features a wall painted white over red.",49,0.3,0.34857502579689026,0.6652358770370483
BcW6Y7eufQE_000239_000249,c0,"Two women talk in a plain room with a light wall. The blonde woman in pink faces the dark-haired woman, who holds a pen. The dark-haired woman briefly claps her hands, then covers her face, laughing. The blonde woman watches, then smiles slightly towards the camera.",46,0.8,0.32241731882095337,0.6160867214202881
BcW6Y7eufQE_000239_000249,c1,"In a plain room, two women are seated and conversing. One woman with blonde hair in a pink hoodie watches as the other, with dark hair, suddenly splashes water from a cup onto her own face. She then laughs heartily as the first woman observes.",45,0.8,0.3161466121673584,0.6962432861328125
BcW6Y7eufQE_000239_000249,c2,"Two women sit facing each other against a light wall. A younger woman in a pink hoodie watches as an older woman in a black jacket, holding a pen, gestures. The older woman then laughs heartily, covering her face with both hands, while the younger woman looks on.",48,1.0,0.28982117772102356,0.6163504123687744
BcW6Y7eufQE_000239_000249,c3,"Two women are seated, facing each other in a plain room with light-colored walls. A blonde woman in a pink hoodie leans towards a dark-haired woman in a black jacket. The dark-haired woman, holding a pen, reacts with a big smile, then heartily laughs and covers her face with her hands in amusement, as the blonde woman also smiles.",59,1.0,0.3018031716346741,0.679363489151001
EA3HCx0yTIY_000281_000291,c0,"A bearded man in a dark shirt sits behind a large black and silver drum kit. He holds drumsticks, striking a cymbal with his left hand and preparing to hit a drum with his right. The setting is a recording studio, featuring acoustic foam panels and wooden beams on the walls.",51,0.8,0.3238373100757599,0.7847838401794434
EA3HCx0yTIY_000281_000291,c1,"A bearded man in a grey shirt plays a black drum kit in a recording studio. He strikes a large cymbal with his left drumstick and prepares to hit a tom with his right. The studio walls feature sound-absorbing panels, and microphones surround the kit.",45,0.8,0.3299045264720917,0.7466252446174622
EA3HCx0yTIY_000281_000291,c2,"A bearded man in a dark shirt plays a drum kit in a recording studio. He holds drumsticks, his left hand striking a large cymbal while his right is poised over a tom. The studio features acoustic panels on the walls around the black and silver drums.",47,0.8,0.3285061717033386,0.7794134616851807
EA3HCx0yTIY_000281_000291,c3,"A balding man with a beard plays a black drum kit in a recording studio. He actively hits a large ride cymbal with his right drumstick while his left hand moves towards a drum. The studio walls feature sound-dampening acoustic panels, and several microphones are positioned around the various drums and cymbals.",52,0.8,0.34287703037261963,0.8624299168586731
j6CgiNeWQwM_000842_000852,c0,"Two people are in a bright kitchen. One in a chef's uniform uses a spatula to scrape pale cake batter from a clear mixing bowl into a round metal baking pan. The other person, wearing an apron, holds the bowl steady. The pan sits on a white paper-lined dark countertop.",50,0.3,0.2535499632358551,0.8029861450195312
j6CgiNeWQwM_000842_000852,c1,"Two people are baking in a bright kitchen. A chef in a white uniform uses a wooden spatula to scrape light batter from a clear mixing bowl into a round metal baking pan, which sits on white parchment paper. The other person helps hold the bowl as the batter is transferred.",51,0.2,0.2724279463291168,0.7442212700843811
j6CgiNeWQwM_000842_000852,c2,"In a well-lit kitchen, two people are preparing to bake. A person in a chef's uniform uses a spatula to scrape light-colored cake batter with dark streaks from a clear bowl into a round metal baking pan. The second person, wearing an apron, assists by holding the bowl.",48,0.3,0.2455018013715744,0.782970130443573
j6CgiNeWQwM_000842_000852,c3,"Two people are baking in a modern kitchen. A chef in a white uniform uses a wooden spatula to scrape light-colored cake batter from a large glass bowl into a round metal baking pan lined with parchment paper. Another person, wearing an apron, holds the bowl steady as the batter is transferred.",52,0.3,0.26801538467407227,0.7788010835647583
9fuIpQgnNEQ_000049_000059,c0,"A diverse crowd of people moves and gathers along a busy outdoor concourse next to a building. Many individuals wear casual clothing, some carry backpacks, and a few are looking at phones or conversing. The urban setting is bustling with activity as people navigate the wide pedestrian area.",48,0.3,0.2458466738462448,0.604401171207428
9fuIpQgnNEQ_000049_000059,c1,"A diverse crowd of people walks and stands along a busy outdoor concourse next to a building with large display windows. Many individuals wear casual clothing and backpacks. In the foreground, a person in a white shirt actively takes photos with a camera while others mill about, some forming a loose line.",52,0.3,0.27135351300239563,0.6696029901504517
9fuIpQgnNEQ_000049_000059,c2,"A large, diverse crowd of people moves and stands on a tiled outdoor walkway alongside a building with glass doors and promotional posters. Many wear casual clothes and backpacks, with some individuals dressed in military camouflage or a festive green Christmas hat.",42,0.4,0.2743154466152191,0.5873928070068359
9fuIpQgnNEQ_000049_000059,c3,"A diverse crowd of people walks and lines up on a covered outdoor walkway next to a building. Many carry backpacks; some individuals smile and interact. A person in camouflage walks past, while another in a white shirt and backpack checks a phone. A child wears a green and white striped holiday-themed hat.",53,0.5,0.2904365360736847,0.5310263633728027
