clip_idx,video_id,category,tier,gt,model,candidate_id,visual_accuracy,completeness,specificity,concision,listener_utility,overall,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,A,45.0,70.0,75.0,70.0,65.0,65.0,"Describes the main action (throwing knife at tomato on wall) and setting (kitchen) with reasonable specificity. However, hallucination: no evidence of Spanish countdown or the chef"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,B,0.0,0.0,0.0,0.0,0.0,0.0,Complete hallucination. Describes skiing and a slalom course with no connection to the actual frames showing a man in a kitchen with a tomato and knife. Entirely inaccurate and mis
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,70.0,65.0,60.0,85.0,70.0,70.0,Accurately identifies the main action (knife pinning tomato to wall) and mentions Spanish countdown. Correctly notes two people and the kitchen setting. Concise and useful. Minor i
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,D,85.0,40.0,35.0,95.0,35.0,45.0,"Accurate but severely incomplete. Identifies the chef, kitchen, and knife-throwing action, but omits the tomato, the wall, the second person, and the Spanish countdown. Too vague a"
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,A,70.0,50.0,60.0,85.0,55.0,64.0,"Accurately identifies the man, setting (Burger King), and main action (eating hamburger fast). However, misses the competitive/challenge context, the writing on the tray liner, and"
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,20.0,30.0,25.0,90.0,15.0,16.0,Contains significant hallucinations: no clear evidence he 'gets sick' in the frames shown. Vague and inaccurate ('eats a lot of burgers' is not clearly shown). Misses the Burger Ki
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,C,0.0,0.0,0.0,85.0,0.0,0.0,Completely hallucinated content with no connection to the actual video frames. Describes skiing and a slalom course when the frames clearly show a man eating at Burger King. This i
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,85.0,90.0,85.0,75.0,88.0,85.0,"Accurately describes the setting (Burger King restaurant), the man's appearance (bald, gray hoodie), his actions (rapidly eating, drinking), and visible reactions (coughing, strugg"
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,A,0.0,0.0,0.0,100.0,0.0,0.0,Completely hallucinated content. Describes skiing and slalom poles when the frames show cooking an omelette at a stove. No connection to actual visual content.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,B,85.0,60.0,50.0,95.0,65.0,71.0,"Accurate basic description of the cooking action and pan. Correctly identifies man, frying pan, stove, and fork stirring. Missing details: cast iron skillet material, omelette with"
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,C,90.0,70.0,65.0,100.0,75.0,80.0,"Accurate and concise. Correctly identifies cast iron skillet, stirring with fork, and cooking action. Specifies the pan type. Missing: man's appearance, kitchen setting, what speci"
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,75.0,85.0,85.0,60.0,80.0,77.0,"Good detail and specificity about the cooking demonstration, omelette with spaghetti/eggs, cast iron skillet, and man's appearance. Correctly describes stirring and pan movement. H"
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,A,75.0,85.0,80.0,60.0,78.0,76.0,"Accurately describes the main action (stirring eggs in pan with spatula) and setting (kitchen with granite countertop, wooden cabinets). Includes relevant details about the girl's "
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,B,95.0,60.0,50.0,95.0,55.0,61.0,"Highly accurate and concise, correctly identifying the core action (cooking eggs, talking about who it's for). However, lacks important contextual details about the setting, the gi"
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,C,0.0,0.0,0.0,0.0,0.0,0.0,"Completely hallucinated content. The frames show a kitchen scene with a girl cooking eggs, not a nighttime skiing scene with slalom poles. This is a fundamental failure of visual a"
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,D,95.0,40.0,35.0,98.0,35.0,41.0,"Accurate but extremely minimal. Correctly identifies the girl, the action (making scrambled eggs), and the location (stove). However, omits nearly all useful details: setting descr"
