video_id,swap_class,is_relation_action_count,probe_idx,probe_type,question,true_answer,hallucinated_foil,truth_ad_mentions_true,truth_ad_mentions_foil,halluc_ad_mentions_true,halluc_ad_mentions_foil,swap_text
3ufJNSez5Is_000008_000018,object_scene,0,0,action_relation,What action or interaction actually happens: vase?,vase,clay jar,1,0,0,1,vase->clay jar
3ufJNSez5Is_000008_000018,object_scene,0,1,who_role,Who is involved or in that role: man kneels on plank?,man kneels on plank,woman stands at wheel,0,0,0,0,man kneels on plank->woman stands at wheel
3ufJNSez5Is_000008_000018,object_scene,0,2,count,What number/count should the AD convey for: phone?,phone,wooden rib tool,1,0,0,1,phone->wooden rib tool
_oAKCHh_Av4_000003_000013,object_scene,0,0,action_relation,What action or interaction actually happens: vape?,vape,cigar,0,0,0,1,vape->cigar
_oAKCHh_Av4_000003_000013,object_scene,0,1,count,What number/count should the AD convey for: woman nearby?,woman nearby,man alone,0,0,0,0,woman nearby->man alone
_oAKCHh_Av4_000003_000013,object_scene,0,2,action_relation,What action or interaction actually happens: exhales vapor?,exhales vapor,puffs smoke,0,0,0,1,exhales vapor->puffs smoke
BHxn3qfPAl4_000018_000028,object_scene,0,0,who_role,Who is involved or in that role: woman?,woman,man,1,1,0,1,woman->man
BHxn3qfPAl4_000018_000028,object_scene,0,1,action_relation,What action or interaction actually happens: neck massage?,neck massage,shoulder massage,0,0,0,0,neck massage->shoulder massage
BHxn3qfPAl4_000018_000028,object_scene,0,2,spatial_relation,What is the correct spatial/relational fact: eyes closed on back?,eyes closed on back,face down,0,0,0,1,eyes closed on back->face down
BcW6Y7eufQE_000239_000249,object_scene,0,0,action_relation,What action or interaction actually happens: pink hoodie?,pink hoodie,green hoodie,1,0,0,1,pink hoodie->green hoodie
BcW6Y7eufQE_000239_000249,object_scene,0,1,action_relation,What action or interaction actually happens: adjusts hair?,adjusts hair,writes in notebook,0,0,0,0,adjusts hair->writes in notebook
BcW6Y7eufQE_000239_000249,object_scene,0,2,who_role,Who is involved or in that role: older woman short hair?,older woman short hair,younger woman ponytail,0,0,0,0,older woman short hair->younger woman ponytail
EA3HCx0yTIY_000281_000291,object_scene,0,0,who_role,Who is involved or in that role: bald man?,bald man,woman,1,0,0,1,bald man->woman
EA3HCx0yTIY_000281_000291,object_scene,0,1,action_relation,What action or interaction actually happens: cymbal?,cymbal,hi-hat,1,0,0,1,cymbal->hi-hat
EA3HCx0yTIY_000281_000291,object_scene,0,2,action_relation,What action or interaction actually happens: recording studio?,recording studio,practice room,1,0,0,1,recording studio->practice room
j6CgiNeWQwM_000842_000852,object_scene,0,0,action_relation,What action or interaction actually happens: cake?,cake,cupcake tray,1,0,1,0,cake->cupcake tray
j6CgiNeWQwM_000842_000852,object_scene,0,1,action_relation,What action or interaction actually happens: spatula?,spatula,whisk,1,0,0,1,spatula->whisk
j6CgiNeWQwM_000842_000852,object_scene,0,2,action_relation,What action or interaction actually happens: round pan?,round pan,muffin tin,0,0,0,1,round pan->muffin tin
