name,kind,best_target,best_auc,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin
"disc:mut_inv_diff(need_mean,speech_mean)",single,auc_judge_disagree,1.0,0.0,0.5333333333333333,0.5111111111111111,1.0,0.40625,0.7142857142857143
"disc:mut_log_ratio(read_s,adqa_t3_minus_t0)",single,auc_critical_miss,1.0,0.2418014907934834,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
"disc:ratio(read_s,adqa_t3_minus_t0)",single,auc_critical_miss,1.0,0.24179760265335026,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
"disc:mut_tier_scale_diff(need_mean,speech_mean)",single,auc_judge_disagree,1.0,-0.6849876123970944,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714
"disc:diff(need_mean,speech_mean)",single,auc_judge_disagree,1.0,0.0,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714
"disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",single,auc_critical_miss,1.0,0.9289881478604493,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
"disc:mut_ext_scale_diff(need_mean,speech_mean)",single,auc_judge_disagree,1.0,0.0,0.35555555555555557,0.6444444444444445,1.0,0.5625,0.4642857142857143
"disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)",single,auc_critical_miss,0.9777777777777777,0.1966565489464958,0.5777777777777777,0.9777777777777777,0.875,0.65625,0.6071428571428571
disc:spread_x_need(clip_top3),single,auc_low_margin,0.9642857142857143,0.0,0.35555555555555557,0.4888888888888889,0.53125,0.46875,0.9642857142857143
"disc:spread_diff(clip_top3,crit_w)",single,auc_critical_miss,0.9555555555555556,0.0,0.35555555555555557,0.9555555555555556,0.5,0.78125,0.7321428571428571
clip_top3,single,auc_low_margin,0.9464285714285714,0.7346227922651773,0.3333333333333333,0.4666666666666667,0.46875,0.5,0.9464285714285714
"disc:diff(clip_norm,speech_mean)",single,auc_judge_disagree,0.9375,0.705725256633748,0.3333333333333333,0.4666666666666667,0.9375,0.5625,0.6428571428571429
"disc:diff(adqa_norm,speech_mean)",single,auc_judge_disagree,0.9375,0.7562349778477815,0.6333333333333333,0.3888888888888889,0.9375,0.34375,0.5625
"disc:diff(need_std,speech_mean)",single,auc_judge_disagree,0.9375,0.0,0.4,0.5111111111111111,0.9375,0.65625,0.6428571428571429
"disc:ratio(adqa_v4_score,crit_w)",single,auc_gt_dispute,0.921875,0.5930447563352979,0.2111111111111111,0.4666666666666667,0.171875,0.921875,0.41964285714285715
"disc:spread_diff(clip_top3,gain_vs_cross)",single,auc_critical_miss,0.9111111111111111,0.0,0.4666666666666667,0.9111111111111111,0.625,0.8125,0.7142857142857143
novel:inversion_mass_adqa,single,auc_ensemble_violation,0.9111111111111111,0.0,0.9111111111111111,0.3333333333333333,0.671875,0.34375,0.32142857142857145
novel:visual_lexicon_purity,single,auc_ensemble_violation,0.9,0.44734353895794976,0.9,0.6,0.65625,0.53125,0.14285714285714285
"disc:std_ratio(clip_top3,crit_w)",single,auc_critical_miss,0.8888888888888888,0.0,0.3333333333333333,0.8888888888888888,0.5,0.8125,0.75
disc:mut_tier_scale_lex_minus_clip,single,auc_ensemble_violation,0.8888888888888888,-0.9452544772976944,0.8888888888888888,0.4222222222222222,0.5,0.375,0.25892857142857145
"disc:mut_need_scale_std_ratio(clip_top3,gain_vs_cr",single,auc_critical_miss,0.8888888888888888,0.0,0.4666666666666667,0.8888888888888888,0.5625,0.78125,0.8392857142857143
disc:lex_minus_clip,single,auc_ensemble_violation,0.8888888888888888,-0.7213360234927774,0.8888888888888888,0.4222222222222222,0.5,0.375,0.25892857142857145
disc:spread_over_read(clip_top3),single,auc_low_margin,0.875,-0.22714130273455438,0.4,0.4666666666666667,0.375,0.5625,0.875
disc:clip_spread_x_tier,single,auc_low_margin,0.8571428571428571,0.9253658510483175,0.28888888888888886,0.4666666666666667,0.4375,0.5,0.8571428571428571
disc:cond_ext_crit,single,auc_critical_miss,0.8444444444444444,-0.6776312110668051,0.4666666666666667,0.8444444444444444,0.78125,0.59375,0.7857142857142857
disc:tier3_clip_diverge,single,auc_gt_dispute,0.84375,-0.011128680511624894,0.1111111111111111,0.6,0.46875,0.84375,0.6785714285714286
disc:cond_clip_adqa,single,auc_gt_dispute,0.84375,-0.036967061081384193,0.1111111111111111,0.6,0.46875,0.84375,0.6785714285714286
novel:false_grounding_gap,single,auc_gt_dispute,0.84375,-0.036967061081384193,0.1111111111111111,0.6,0.46875,0.84375,0.6785714285714286
"disc:std_ratio(clip_top3,gain_vs_cross)",single,auc_critical_miss,0.8222222222222222,0.0,0.4,0.8222222222222222,0.46875,0.75,0.7321428571428571
"disc:product(clip_norm,need_peak_t)",single,auc_judge_disagree,0.8125,0.6849876123970944,0.6666666666666666,0.6888888888888889,0.8125,0.65625,0.48214285714285715
disc:peak_minus_lex,single,auc_judge_disagree,0.8125,-0.31830181172628114,0.6888888888888889,0.6888888888888889,0.8125,0.625,0.4642857142857143
"disc:diff(need_peak_t,lex_purity)",single,auc_judge_disagree,0.8125,-0.31830181172628114,0.6888888888888889,0.6888888888888889,0.8125,0.625,0.4642857142857143
disc:peak_over_words,single,auc_ensemble_violation,0.8,-0.22235938057172172,0.8,0.6222222222222222,0.65625,0.59375,0.48214285714285715
"disc:product(read_s,extended_seconds_frac)",single,auc_judge_disagree,0.78125,0.20174058489693875,0.6666666666666666,0.5333333333333333,0.78125,0.09375,0.6607142857142857
disc:sq(need_std),single,auc_judge_disagree,0.78125,0.0,0.35555555555555557,0.6222222222222222,0.78125,0.75,0.6607142857142857
"disc:product(n_ext,need_skew)",single,auc_gt_dispute,0.78125,0.0,0.35555555555555557,0.6,0.1875,0.78125,0.125
"disc:diff(clip_top3,story_recall)",single,auc_gt_dispute,0.78125,-0.5786125817027596,0.5777777777777777,0.7555555555555555,0.71875,0.78125,0.6785714285714286
"disc:spread_diff(crit_w,gain_vs_cross)",single,auc_ensemble_violation,0.7777777777777778,0.0,0.7777777777777778,0.4888888888888889,0.421875,0.546875,0.4017857142857143
"disc:std_ratio(crit_w,gain_vs_cross)",single,auc_critical_miss,0.7777777777777778,0.0,0.6,0.7777777777777778,0.6875,0.5625,0.5178571428571429
tribe_pressure,single,auc_low_margin,0.7678571428571429,0.0,0.6444444444444445,0.5111111111111111,0.75,0.28125,0.7678571428571429
"disc:ratio(adqa_v4_score,vt_consistency)",single,auc_ensemble_violation,0.7555555555555555,0.4219882506777165,0.7555555555555555,0.3333333333333333,0.625,0.65625,0.48214285714285715
"disc:product(need_mean,n_ext)",single,auc_judge_disagree,0.75,0.0,0.6444444444444445,0.5555555555555556,0.75,0.3125,0.6964285714285714
disc:skew_x_crit_spread,single,auc_gt_dispute,0.75,0.0,0.3333333333333333,0.5111111111111111,0.1875,0.75,0.19642857142857142
disc:log1p(need_mean),single,auc_judge_disagree,0.75,0.0,0.5555555555555556,0.5555555555555556,0.75,0.40625,0.75
novel:temporal_misalign,single,auc_gt_dispute,0.75,-0.3697053293248753,0.6666666666666666,0.3111111111111111,0.65625,0.75,0.35714285714285715
"disc:product(need_max,need_mean)",single,auc_judge_disagree,0.75,0.0,0.4,0.5555555555555556,0.75,0.53125,0.7142857142857143
disc:need_skew_x_clip,single,auc_gt_dispute,0.75,0.004217162081600405,0.3333333333333333,0.5111111111111111,0.15625,0.75,0.16071428571428573
disc:skew_per_ext,single,auc_gt_dispute,0.75,0.0,0.3111111111111111,0.4888888888888889,0.125,0.75,0.16071428571428573
ensemble_v4_minmax50,single,auc_low_margin,0.75,0.8785614005262268,0.17777777777777778,0.26666666666666666,0.53125,0.34375,0.75
"disc:diff(adqa_v4_score,gain_vs_cross)",single,auc_gt_dispute,0.734375,-0.0032878020318813524,0.43333333333333335,0.6444444444444445,0.4375,0.734375,0.42857142857142855
disc:mut_ext_scale_peak_over_words,single,auc_ensemble_violation,0.7111111111111111,-0.16138987299560445,0.7111111111111111,0.6222222222222222,0.53125,0.46875,0.6071428571428571
"disc:diff(adqa_v4_score,n_ext)",single,auc_gt_dispute,0.703125,0.18755750548976,0.34444444444444444,0.43333333333333335,0.25,0.703125,0.2857142857142857
"disc:product(crit_w,extended_seconds_frac)",single,auc_ensemble_violation,0.6888888888888889,0.7255317021948546,0.6888888888888889,0.17777777777777778,0.46875,0.0625,0.5178571428571429
"disc:diff(clip_mean,read_s)",single,auc_gt_dispute,0.6875,-0.290501771392088,0.6,0.5333333333333333,0.40625,0.6875,0.6428571428571429
"disc:diff(clip_mean,words)",single,auc_gt_dispute,0.6875,-0.290501771392088,0.6,0.5333333333333333,0.40625,0.6875,0.6428571428571429
novel:rank_chaos,single,auc_ensemble_violation,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.46875,0.65625,0.17857142857142858
