corpus,case_id,access_surface,surface_family,cases
all,agent_action_cue,action_state_or_agent_cue,concise_cue,15
all,audio_language_confound_check,evidence_sidecar_qc,creator_qc,15
all,dynamic_type_shift,segmented_scene_action_surface,defer_replay,20
all,low_gap_skip,static_ad_low_pressure,static_ad,26
all,moment_level_authoring,peak_window_review_card,creator_qc,20
all,scene_layout_replay,layout_replay_or_keyframe,defer_replay,37
external,agent_action_cue,action_state_or_agent_cue,concise_cue,11
external,audio_language_confound_check,evidence_sidecar_qc,creator_qc,13
external,dynamic_type_shift,segmented_scene_action_surface,defer_replay,16
external,low_gap_skip,static_ad_low_pressure,static_ad,22
external,moment_level_authoring,peak_window_review_card,creator_qc,14
external,scene_layout_replay,layout_replay_or_keyframe,defer_replay,27
inbench,agent_action_cue,action_state_or_agent_cue,concise_cue,4
inbench,audio_language_confound_check,evidence_sidecar_qc,creator_qc,2
inbench,dynamic_type_shift,segmented_scene_action_surface,defer_replay,4
inbench,low_gap_skip,static_ad_low_pressure,static_ad,4
inbench,moment_level_authoring,peak_window_review_card,creator_qc,6
inbench,scene_layout_replay,layout_replay_or_keyframe,defer_replay,10
