rank,clip_key,corpus,video_id,category,case_id,priority_score,window,why,adqa_fail,ensemble_fail
1,external_iGmGQxox43I_000000_000010,external,iGmGQxox43I_000000_000010,How-to & Instructional,moment_level_authoring,5.964753580129161,0.0-3.6s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
2,inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,moment_level_authoring,5.3599434913284565,13.4-16.4s,Gap is temporally concentrated; spend AD/review budget on the peak window.,,
3,external_9fuIpQgnNEQ_000049_000059,external,9fuIpQgnNEQ_000049_000059,Event,moment_level_authoring,5.249909737773455,0.0-3.6s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
4,inbench_clip_07_09dQut5GJ68_000049_000059,inbench,09dQut5GJ68_000049_000059,Travel,moment_level_authoring,4.92126428930703,10.4-13.4s,Gap is temporally concentrated; spend AD/review budget on the peak window.,,
5,external_S-C86j0keqc_000217_000227,external,S-C86j0keqc_000217_000227,Event,moment_level_authoring,4.668160517398154,6.4-9.1s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
6,inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,0HEi6q3bGaw_000011_000021,Travel,moment_level_authoring,4.491110622917129,16.3-17.9s,Gap is temporally concentrated; spend AD/review budget on the peak window.,,
7,external_dlBeUWrse3I_000019_000029,external,dlBeUWrse3I_000019_000029,How-to & Instructional,moment_level_authoring,4.246835801555369,0.0-3.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
8,external_iEAWgsSvJAE_000023_000033,external,iEAWgsSvJAE_000023_000033,Film & Animation,moment_level_authoring,4.060358103979609,6.4-9.1s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
9,external_F-mRnL_XmJU_000000_000010,external,F-mRnL_XmJU_000000_000010,Entertainment,moment_level_authoring,3.976979746909298,0.0-3.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
10,external_eb-ufaFcUas_000008_000018,external,eb-ufaFcUas_000008_000018,Entertainment,moment_level_authoring,3.9288164532640506,0.0-3.6s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
11,external_3su234u58DA_000172_000182,external,3su234u58DA_000172_000182,Entertainment,moment_level_authoring,3.912597614973138,9.1-10.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
12,inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,moment_level_authoring,3.9124128892748224,0.0-4.5s,Gap is temporally concentrated; spend AD/review budget on the peak window.,,
13,external_v2Hr1CH-yb0_000076_000086,external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,moment_level_authoring,3.8712684110916915,9.0-10.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
14,external_d7_SY48r__8_000060_000070,external,d7_SY48r__8_000060_000070,How-to & Instructional,moment_level_authoring,3.841891835108596,9.0-10.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,1,1
15,external_0m0-Q0zz_-c_000112_000122,external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,moment_level_authoring,3.7436902172210695,0.0-3.6s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
16,external_1HUWWCLza0w_000000_000010,external,1HUWWCLza0w_000000_000010,Sports,moment_level_authoring,3.6976595520921487,6.7-10.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
17,external_BHxn3qfPAl4_000018_000028,external,BHxn3qfPAl4_000018_000028,Health & Wellness,moment_level_authoring,3.4128500926555296,6.0-9.0s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
18,inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,moment_level_authoring,3.347209300081378,13.6-15.5s,Gap is temporally concentrated; spend AD/review budget on the peak window.,,
19,external_21T1JDdJgsM_000047_000057,external,21T1JDdJgsM_000047_000057,Entertainment,moment_level_authoring,3.2875936577335043,6.4-9.1s,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0
20,inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,z8Q-s8AthrA_000002_000012,Sports,moment_level_authoring,3.277652957736548,0.0-3.3s,Gap is temporally concentrated; spend AD/review budget on the peak window.,,
21,external_GOH6fBhoi2o_000010_000020,external,GOH6fBhoi2o_000010_000020,Entertainment,dynamic_type_shift,1.8238916692308274,"3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=1.008); 0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.910); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.740)",Scene/spatial and agent/action losses peak at different moments; one global AD prompt is under-specified.,1,1
22,external_v2Hr1CH-yb0_000076_000086,external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,scene_layout_replay,1.6433004227278163,9.0-10.0s,"Audio drops scene/spatial cortex most; route to layout cue, keyframe, or replay surface.",0,0
23,inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,dynamic_type_shift,1.5082166652744777,"10.4-13.4s scene_spatial (layout_replay_or_scene_cue, peak=0.504); 7.5-10.4s scene_spatial (layout_replay_or_scene_cue, peak=0.385); 13.4-14.9s agent_action (static_ad_ok_low_gap, peak=0.253)",Scene/spatial and agent/action losses peak at different moments; one global AD prompt is under-specified.,,
24,external_F-mRnL_XmJU_000000_000010,external,F-mRnL_XmJU_000000_000010,Entertainment,scene_layout_replay,1.4402525697364772,0.0-3.0s,"Audio drops scene/spatial cortex most; route to layout cue, keyframe, or replay surface.",0,0
25,external_dlBeUWrse3I_000019_000029,external,dlBeUWrse3I_000019_000029,How-to & Instructional,agent_action_cue,1.3775210861939686,0.0-3.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.,0,0
