clip_idx,video_id,category,provider,model,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,0,"What object does the chef throw at the wall, and what happens to it?","The chef throws a cherry tomato at the wall, and a knife pins it in place.",cherry tomato; throws at wall; knife pins tomato,critical,Core action sequence central to the clip's narrative.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,1,What language does the chef use when counting down before throwing?,Spanish,counts down; Spanish,useful,Adds cultural context and auditory detail to the scene.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,2,What does the chef's facial expression convey after the tomato is pinned?,"The chef smiles, showcasing his skill and confidence.",smiles; skill; precision,useful,Reveals character emotion and attitude toward the demonstration.
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,0,"What is the man in the gray hoodie doing, and what physical signs of difficulty does he show?","He is rapidly eating a hamburger and taking quick bites, but he appears to struggle and coughs at times.",bald man; gray hoodie; rapidly eating; quick bites; coughing; struggling,critical,Core action and character behavior essential to understanding the scene
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,1,How are the people around the man reacting to what he is doing?,"People are laughing and clapping, encouraging him to finish.",laughing; clapping; encouraging,critical,Social context and atmosphere crucial to scene comprehension
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,2,"What text is written on the tray liner, and what is used to write it?",The text 'BURGER EATING' is written on a tray liner using ketchup.,ketchup; tray liner; BURGER EATING; writing,useful,Readable text and concluding action provide narrative closure
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,0,What color is the man's shirt and what type of cookware is he using?,The man wears a grey shirt and uses a black cast iron skillet,grey shirt; black cast iron skillet,critical,Establishes scene setup and identifies key cooking equipment
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,1,What ingredients are being cooked together in the skillet?,Spaghetti and eggs are being cooked together in an omelette,spaghetti; eggs; omelette,critical,Core content of the cooking demonstration being shown
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,2,"What utensil does the man use to cook, and what cooking technique does he demonstrate?",He uses a fork to stir the mixture and moves the pan back and forth for even cooking,fork; stirs; moves pan back and forth; even cooking,useful,Describes cooking method and technique being demonstrated
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,0,"What is the girl doing with the eggs, and what utensil is she using?",She is stirring scrambled eggs in a frying pan with a spatula.,stirring; scrambled eggs; frying pan; spatula,critical,Core action and primary cooking activity in the clip.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,1,Who does the girl say the eggs are for?,"The eggs are for her and her mother, if her mother wants some.",eggs for her; mother; conditional offer,useful,Captures the girl's spoken intent and relationship context.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,2,Describe the kitchen setting and the girl's demeanor while cooking.,"The kitchen is cozy and warm with granite countertop and wooden cabinets. The girl is focused, enjoys the process, and occasionally glances at the camera with a smile.",cozy kitchen; granite countertop; wooden cabinets; focused; smiling; glancing at camera,useful,Establishes atmosphere and character engagement with the viewer.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,0,"What ingredient is being dropped into the bowl, and what tool is used to drop it?",Chopped garlic is dropped from a knife into the bowl,chopped garlic; knife; dropping action,critical,Core action demonstrating the first preparation step
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,1,"What type of bowl is used, and what ingredient is already in it?",A large wooden bowl filled with fresh spinach leaves,large wooden bowl; fresh spinach leaves,critical,Establishes the base ingredient and cooking vessel
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,2,How does the second person combine the garlic and spinach together?,They use their hands to thoroughly mix the ingredients,hands; mixing; combining garlic and spinach,useful,Describes the mixing technique essential to the recipe
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,0,"What are the two people riding on, and what is the landscape like?",They are riding snowmobiles in a snowy landscape.,snowmobiles; snowy landscape; snow-covered terrain,critical,Establishes the primary setting and vehicles essential to understanding the scene.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,1,What does one of the riders do while they are paused and conversing?,One rider wearing a helmet gestures while speaking.,gestures; speaking; helmet; paused,useful,Describes specific character behavior and body language during the interaction.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,2,What happens after the riders finish their conversation?,"They both rev their engines and ride off across the snow, leaving tracks behind.",rev engines; ride off; tracks; snow-covered terrain,critical,Captures the concluding action and visual consequence of their departure.
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,0,What is the man doing on the motorcycle?,He is riding a motorcycle and pulling a blue sled behind him,man rides motorcycle; pulling blue sled,critical,Core action that defines the scene's primary activity
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,1,What connects the sled to the motorcycle?,A wire connects the sled to the motorcycle,wire; connected,useful,Clarifies the mechanical relationship between objects
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,2,What color is the sled being pulled?,The sled is blue,blue sled,useful,Specific visual detail that aids scene visualization
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,0,What animal is featured on the KOA Ranch sign?,A horse silhouette,KOA Ranch sign; horse silhouette,critical,Identifies key branding element and opening visual
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,1,Describe what the horses are doing in the pasture scene.,Horses are grazing peacefully in sunlit pasture,horses grazing; sunlit pasture; peaceful,critical,Core visual action establishing the campground experience
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,2,What activity are the people shown doing on the wooded trail?,Riding horses along a wooded trail,people riding horses; wooded trail,useful,Describes main recreational activity promoted by KOA
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,0,What type of winter sport is being performed in this clip?,Slalom skiing,skier; snowy hill; flexible poles; slalom course,critical,Identifies the core sport activity being described
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,1,Describe the skier's movement pattern as they descend the slope.,"The skier weaves between poles, alternating left and right while moving swiftly downhill",weaving; alternating left and right; descending; poles,critical,Captures essential spatial movement and technique of the performance
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,2,What time of day is this skiing event taking place?,At night,night; dark conditions,useful,Establishes the environmental context and lighting conditions
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,0,What color clothing is the girl wearing during the track and field event?,A yellow shirt and black pants,yellow shirt; black pants,critical,Basic character identification essential for following the narrative
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,1,What two athletic activities does the girl perform in this clip?,"She runs and leaps over hurdles, and performs a high jump",runs and leaps over hurdles; high jump; cushioned surface,critical,Core actions that define the sports content and clip structure
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,2,What is the girl doing when she stands on the track speaking?,She is speaking confidently about her experience while other children play in the background,stands on the track; speaking confidently; other children play in background,useful,Describes a key narrative moment showing her reflection and social context
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,0,What sport are the boys playing and where does it take place?,They are playing volleyball on an outdoor dirt court.,volleyball; outdoor dirt court,critical,Establishes the core activity and setting of the scene.
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,1,Describe the two main actions that occur during the game.,"One boy serves the ball, and another boy jumps to spike it over the net.",serves the ball; jumps; spikes; over the net,critical,Captures the key volleyball movements that define the gameplay.
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,2,What is the condition of the net and what is the overall tone of the game?,"The net is slightly broken, and the setting is casual with lively, energetic play.",net is slightly broken; casual; lively; energetic,useful,Conveys the informal atmosphere and physical energy of the scene.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,0,"What sport are the players practicing, and where does this take place?",Hockey players practice in an indoor ice rink,hockey; ice rink; indoor,critical,Establishes the fundamental setting and sport activity
