name,kind,best_target,best_auc,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,-0.38972665627086706,0.8222222222222222,0.6888888888888889,1.0,0.5625,0.6071428571428571
"triple:disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.41662496843680114,0.3333333333333333,0.6666666666666666,1.0,0.6875,0.5535714285714286
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.600728971705861,0.7333333333333333,0.8888888888888888,1.0,0.6875,0.6428571428571429
"triple:disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.05140648978114588,0.5333333333333333,0.6222222222222222,1.0,0.625,0.6428571428571429
"triple:disc:mut_inv_diff(need_mean,speech_mean)|novel:inversion_mass_adqa|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.8222222222222222,0.7333333333333333,1.0,0.59375,0.5892857142857143
"triple:disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.026898744652925168,0.4444444444444444,0.7111111111111111,1.0,0.71875,0.6607142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|novel:visual_lexicon_purity|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.2639065725392547,0.7555555555555555,0.9111111111111111,1.0,0.6875,0.5357142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|novel:visual_lexicon_purity|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.462053228983712,0.8444444444444444,0.6888888888888889,1.0,0.3125,0.35714285714285715
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:std_ratio(clip_top3,crit_w)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.7107131814510137,0.7555555555555555,0.8666666666666667,1.0,0.625,0.5714285714285714
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.026898312165934076,0.4444444444444444,0.7111111111111111,1.0,0.71875,0.6607142857142857
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|mean_mm",triple,auc_critical_miss,1.0,0.24448952929613915,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.05140566325045179,0.5333333333333333,0.6222222222222222,1.0,0.625,0.6428571428571429
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|mean_mm",triple,auc_critical_miss,1.0,0.23849836787128212,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857
"triple:disc:spread_x_need(clip_top3)|clip_top3|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_low_margin,1.0,0.6312137254939196,0.24444444444444444,0.5111111111111111,0.5,0.53125,1.0
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.43515491681777796,0.4666666666666667,0.6444444444444445,1.0,0.71875,0.6607142857142857
"triple:disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(need_mean,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.40227920194830297,0.5333333333333333,0.6222222222222222,1.0,0.5625,0.6428571428571429
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.1993495853722343,0.7555555555555555,0.8888888888888888,1.0,0.625,0.5714285714285714
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:spread_x_need(clip_top3)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.3849447341080343,0.4666666666666667,0.5333333333333333,1.0,0.5,0.7857142857142857
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|novel:inversion_mass_adqa|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.6888888888888889,0.7333333333333333,1.0,0.6875,0.44642857142857145
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,crit_w)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,-0.37598165261980043,0.8222222222222222,0.6888888888888889,1.0,0.5625,0.6071428571428571
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(need_mean,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.3807605522155557,0.5333333333333333,0.6888888888888889,1.0,0.59375,0.6607142857142857
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|clip_top3|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.4399368389806107,0.4666666666666667,0.4666666666666667,1.0,0.4375,0.75
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.4118430462739684,0.3111111111111111,0.8,1.0,0.71875,0.5714285714285714
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|clip_top3|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.4704215927686693,0.5111111111111111,0.4,1.0,0.28125,0.75
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|clip_top3|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.09623618352700858,0.4666666666666667,0.5111111111111111,1.0,0.5,0.75
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|clip_top3|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.25105091354871806,0.4888888888888889,0.5111111111111111,1.0,0.46875,0.75
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|clip_top3|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.23849836787128212,0.6,0.5333333333333333,1.0,0.40625,0.6785714285714286
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.01374824726705064,0.4666666666666667,0.7555555555555555,1.0,0.71875,0.6607142857142857
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.04184249168232804,0.5333333333333333,0.6666666666666666,1.0,0.625,0.6607142857142857
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.4088543449221979,0.4666666666666667,0.6444444444444445,1.0,0.71875,0.6607142857142857
"triple:disc:ratio(read_s,adqa_t3_minus_t0)|disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.43515491681777796,0.4666666666666667,0.6444444444444445,1.0,0.71875,0.6607142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.8888888888888888,0.7333333333333333,1.0,0.5625,0.5714285714285714
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.39967947062747844,0.4888888888888889,0.4,1.0,0.34375,0.7321428571428571
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.5813538243834647,0.5333333333333333,0.4,1.0,0.34375,0.6071428571428571
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,-0.4202114100589257,0.3333333333333333,0.7333333333333333,1.0,0.6875,0.6071428571428571
"triple:disc:mut_inv_diff(need_mean,speech_mean)|clip_top3|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.4805831773646888,0.6666666666666666,0.6444444444444445,1.0,0.34375,0.6071428571428571
"triple:disc:mut_inv_diff(need_mean,speech_mean)|clip_top3|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.49492894385318703,0.5777777777777777,0.7777777777777778,1.0,0.78125,0.8214285714285714
"triple:disc:mut_inv_diff(need_mean,speech_mean)|clip_top3|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.28631758949960934,0.6666666666666666,0.5777777777777777,1.0,0.3125,0.6964285714285714
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.6479504530638341,0.5333333333333333,0.35555555555555557,1.0,0.34375,0.6964285714285714
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.42917751411423705,0.4,0.5555555555555556,1.0,0.65625,0.6964285714285714
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.49373346331247875,0.4444444444444444,0.6444444444444445,1.0,0.53125,0.5357142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|mean_mm",triple,auc_judge_disagree,1.0,0.41662496843680114,0.6222222222222222,0.8444444444444444,1.0,0.75,0.6964285714285714
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,0.44591424168415156,0.8666666666666667,0.4,1.0,0.4375,0.6071428571428571
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.4578690470912333,0.6888888888888889,0.6444444444444445,1.0,0.5,0.42857142857142855
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.4650419303354824,0.5777777777777777,0.7111111111111111,1.0,0.71875,0.7142857142857143
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.27197182301111117,0.6888888888888889,0.6,1.0,0.4375,0.5357142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.4540457916235011,0.5111111111111111,0.35555555555555557,1.0,0.34375,0.7142857142857143
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|mean_mm",triple,auc_judge_disagree,1.0,0.4235568707903233,0.6444444444444445,0.8222222222222222,1.0,0.65625,0.6785714285714286
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.5104701908823933,0.7111111111111111,0.6666666666666666,1.0,0.34375,0.4642857142857143
