video_id,window,condition,dominant_type,second_type,ad_text,profile_alignment,dominant_keyword_coverage,weighted_keyword_coverage,specificity_score,word_count
0t0DB1B1w8Y_000000_000010,2,baseline,motion_action,object_body,"She clears hurdles, landing on red pad.",0.2782597561475071,0.0,0.704079514212186,0.2857142857142857,7
0t0DB1B1w8Y_000000_000010,2,gap_targeted,motion_action,object_body,"She clears the hurdle, landing on pad.",0.27798373992756764,0.0,0.49736555370611724,0.14285714285714285,7
0t0DB1B1w8Y_000000_000010,1,baseline,scene_spatial,face_character,"She clears hurdles, landing on red pad.",0.3452016974873999,0.0,0.043812312940099685,0.2857142857142857,7
0t0DB1B1w8Y_000000_000010,1,gap_targeted,scene_spatial,face_character,"On an outdoor track, onlookers watch her.",0.25015996950204655,0.0,0.02245050300681789,0.14285714285714285,7
0t0DB1B1w8Y_000000_000010,0,baseline,scene_spatial,visual_form,"Athlete leaps hurdles, lands on red pad.",0.35140191082730343,0.0,0.011807960625018044,0.14285714285714285,7
0t0DB1B1w8Y_000000_000010,0,gap_targeted,scene_spatial,visual_form,"Sunny outdoor track, hurdles ahead, spectators watching.",,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,4,baseline,scene_spatial,visual_form,Workers seal bags along the conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,4,gap_targeted,scene_spatial,visual_form,Workers line a conveyor; bags stacked nearby.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,3,baseline,scene_spatial,visual_form,Workers seal bags along busy conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,3,gap_targeted,scene_spatial,visual_form,Workers line a conveyor; bags stacked nearby.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,2,baseline,scene_spatial,face_character,Workers seal bags along a conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,2,gap_targeted,scene_spatial,face_character,"Workers line a conveyor belt, bags stacked nearby.",,0.0,0.0,0.0,8
1-jIze6gy0g_000026_000036,0,baseline,visual_form,motion_action,Workers seal material bags along conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,0,gap_targeted,visual_form,motion_action,Bulging bags stacked beside a humming conveyor.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,1,baseline,visual_form,scene_spatial,Workers seal bags along the conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,1,gap_targeted,visual_form,scene_spatial,Bulging bags line the long conveyor belt.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,2,baseline,scene_spatial,visual_form,A needle scratches grooves into blue mittens.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,2,gap_targeted,scene_spatial,visual_form,Tiny blue clay mittens rest on workspace.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,3,baseline,scene_spatial,visual_form,A needle texturizes tiny blue clay mittens.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,3,gap_targeted,scene_spatial,visual_form,Tiny blue mittens rest on the workspace.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,0,baseline,scene_spatial,visual_form,Needle texturizes tiny blue clay mittens.,,0.0,0.0,0.0,6
N-LZPc27kjM_000229_000239,0,gap_targeted,scene_spatial,visual_form,Tiny blue clay mittens rest on workspace.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,1,baseline,scene_spatial,visual_form,A needle textures tiny blue clay mittens.,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,1,gap_targeted,scene_spatial,visual_form,Two small blue clay mittens on table,,0.0,0.0,0.0,7
N-LZPc27kjM_000229_000239,4,baseline,scene_spatial,visual_form,A needle texturizes the small blue clay mittens.,,0.0,0.0,0.0,8
N-LZPc27kjM_000229_000239,4,gap_targeted,scene_spatial,visual_form,Tiny blue mittens rest on her workspace.,0.04094499483545017,0.0,0.023526847318078414,0.14285714285714285,7
RjPp0ZPW0yc_000000_000010,0,baseline,scene_spatial,face_character,Worker guides orange saw cutting metal pipe.,,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,0,gap_targeted,scene_spatial,face_character,"In a workshop, an orange stationary saw.",,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,4,baseline,visual_form,scene_spatial,"Person pulls lever on orange saw, cutting pipe.",,0.0,0.0,0.0,8
RjPp0ZPW0yc_000000_000010,4,gap_targeted,visual_form,scene_spatial,Orange saw blade descends onto metal pipe.,,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,2,baseline,scene_spatial,visual_form,A person guides an orange saw cutting pipe.,,0.0,0.0,0.0,8
RjPp0ZPW0yc_000000_000010,2,gap_targeted,scene_spatial,visual_form,Workshop saw bay; orange machine grips pipe.,,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,3,baseline,visual_form,scene_spatial,Worker pulls orange saw's lever down.,,0.0,0.0,0.0,6
RjPp0ZPW0yc_000000_000010,3,gap_targeted,visual_form,scene_spatial,Orange saw clamps a metal pipe steady.,,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,1,baseline,scene_spatial,visual_form,Orange stationary saw cuts through metal pipe.,,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,1,gap_targeted,scene_spatial,visual_form,"In a workshop, an orange stationary saw.",,0.0,0.0,0.0,7
RjPp0ZPW0yc_000000_000010,5,baseline,object_body,visual_form,Orange saw cuts pipe,,0.0,0.0,0.0,4
RjPp0ZPW0yc_000000_000010,5,gap_targeted,object_body,visual_form,Hands grip saw lever,,0.0,0.0,0.0,4
RlfVK8z5wJ0_000000_000010,4,baseline,scene_spatial,visual_form,"She kneels, lifting a device from ice.",0.04912338855986395,0.0,0.07251243498454041,0.14285714285714285,7
RlfVK8z5wJ0_000000_000010,4,gap_targeted,scene_spatial,visual_form,"On the frozen lake, a yellow marker.",,0.0,0.0,0.0,7
RlfVK8z5wJ0_000000_000010,3,baseline,scene_spatial,visual_form,"She kneels, lifting a device from ice.",0.10244208299609077,0.0,0.066443765063809,0.14285714285714285,7
RlfVK8z5wJ0_000000_000010,3,gap_targeted,scene_spatial,visual_form,"Across the frozen lake, a yellow marker.",,0.0,0.0,0.0,7
RlfVK8z5wJ0_000000_000010,0,baseline,visual_form,scene_spatial,Woman kneels at frozen lake's ice hole.,,0.0,0.0,0.0,7
RlfVK8z5wJ0_000000_000010,0,gap_targeted,visual_form,scene_spatial,"Pink jacket, gray overalls beside yellow marker.",0.9844287950229498,1.5,0.8102885341483722,0.14285714285714285,7
RlfVK8z5wJ0_000000_000010,2,baseline,visual_form,scene_spatial,"She kneels, lifting a device from ice.",0.1729894968709761,0.0,0.06556399452760053,0.14285714285714285,7
RlfVK8z5wJ0_000000_000010,2,gap_targeted,visual_form,scene_spatial,"Pink jacket, gray overalls, yellow marker ahead.",0.831071164474316,1.5,0.3149806564284113,0.14285714285714285,7
RlfVK8z5wJ0_000000_000010,1,baseline,visual_form,scene_spatial,"She kneels, lifting a device from ice.",0.14671780947670796,0.0,0.05582603072559156,0.14285714285714285,7
RlfVK8z5wJ0_000000_000010,1,gap_targeted,visual_form,scene_spatial,"Pink jacket, gray overalls; yellow marker ahead.",0.9600186663370772,1.5,0.3652864758220329,0.14285714285714285,7
ZcYB6tPK2Eo_000138_000148,0,baseline,scene_spatial,visual_form,Hands turn a brightly colored Rubik's cube.,,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,0,gap_targeted,scene_spatial,visual_form,"Hands hold a vibrant cube, fingers turning blocks.",,0.0,0.0,0.0,8
ZcYB6tPK2Eo_000138_000148,4,baseline,visual_form,scene_spatial,Hands swiftly turn a colorful Rubik's cube.,,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,4,gap_targeted,visual_form,scene_spatial,"Bright orange, green, pink, blue cube turns",,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,3,baseline,visual_form,scene_spatial,Hands swiftly turn a colorful Rubik's cube.,,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,3,gap_targeted,visual_form,scene_spatial,"Bright cube: orange, green, pink, blue squares.",,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,2,baseline,scene_spatial,visual_form,Hands twist a brightly colored Rubik's cube.,,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,2,gap_targeted,scene_spatial,visual_form,"Hands grip a vivid orange-green cube, turning.",,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,1,baseline,scene_spatial,visual_form,"Hands turn a colorful cube, pointing carefully.",,0.0,0.0,0.0,7
ZcYB6tPK2Eo_000138_000148,1,gap_targeted,scene_spatial,visual_form,Hands turn a vivid multicolored cube close.,,0.0,0.0,0.0,7
c_gQ9CSaZY4_000000_000010,4,baseline,scene_spatial,visual_form,"Kneeling, they pack folded clothes into bag.",,0.0,0.0,0.0,7
c_gQ9CSaZY4_000000_000010,4,gap_targeted,scene_spatial,visual_form,"Clothes piled on wooden floor, green bag.",0.9259723423296411,1.5,1.3690400984786888,0.14285714285714285,7
c_gQ9CSaZY4_000000_000010,0,baseline,scene_spatial,face_character,Capped person packs folded clothes into bag.,,0.0,0.0,0.0,7
c_gQ9CSaZY4_000000_000010,0,gap_targeted,scene_spatial,face_character,Clothes piled on wooden floor; green bag.,0.6335523513889724,1.5,0.20028853608457414,0.14285714285714285,7
c_gQ9CSaZY4_000000_000010,1,baseline,scene_spatial,motion_action,Capped person packs folded clothes into bag.,,0.0,0.0,0.0,7
