clip_idx,video_id,category,tier,gt,description,grader_model,candidate_id,q_idx,score,label,evidence_quote,grade_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,A,0,0.0,no,chef holds a cherry tomato,Incorrect setting and object.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,A,1,0.0,no,bustling kitchen,"Describes a kitchen, not a lab."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,A,2,0.0,no,,No mention of a wooden board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,A,3,0.0,no,a chef,"Focus is on a chef, not a scientist."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,A,4,0.0,no,chef holds a cherry tomato,"Describes a chef, not a scientist."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,B,0,0.0,no,skier navigates a snowy hill,"Describes skiing, not a lab."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,B,1,0.0,no,slalom course,"Describes a ski course, not a lab."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,B,2,0.0,no,,No mention of a wooden board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,B,3,0.0,no,skier,"Focus is on a skier, not a scientist."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,B,4,0.0,no,skier navigates a snowy hill,"Describes skiing, not a lab."
