clip_idx,video_id,category,tier,gt,description,question_model,grader_model,candidate_id,q_idx,score,label,evidence_quote,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,0,0.5,partial,"throws the tomato at a wall, followed by a knife, which pins the tomato","Describes throwing knife but at tomato, not board as answer key states."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,1,1.0,yes,In a bustling kitchen,Directly identifies kitchen setting with equipment implied.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,2,1.0,yes,"he throws the tomato at a wall, followed by a knife",Clearly states subject holding and throwing knife.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,3,0.0,no,pins the tomato in place,"Describes tomato on board, not paper with text."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,4,0.5,partial,"The chef smiles, showcasing his skill",Mentions smiling but not laughing; incomplete emotional response.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,0,0.0,no,a skier navigates a snowy hill,"Describes skiing, completely unrelated to knife throwing."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,1,0.0,no,"At night, a skier navigates a snowy hill","Describes outdoor ski slope, not kitchen setting."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,2,0.0,no,weaving between flexible poles,No mention of knife; describes ski poles instead.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,3,0.0,no,alternating left and right,No board or paper mentioned; irrelevant content.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,4,0.0,no,,No emotional reaction described; wrong scene entirely.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,C,0,1.0,yes,pins a cherry tomato to the wall by throwing a knife,Directly states knife throwing action pinning object.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,C,1,0.5,partial,pins a cherry tomato to the wall,Implies kitchen but no explicit kitchen equipment or shelves mentioned.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,C,2,1.0,yes,throwing a knife,Clearly identifies knife as key object being thrown.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,C,3,0.0,no,cherry tomato to the wall,"Describes tomato, not paper with text on board."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,C,4,0.0,no,,No reaction or emotion described after throwing.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,D,0,0.5,partial,throwing a knife,Mentions knife throwing but lacks target/board detail.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,D,1,0.5,partial,A chef in a kitchen,Identifies kitchen but no equipment or shelves specified.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,D,2,1.0,yes,throwing a knife,Directly identifies knife as object being thrown.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,D,3,0.0,no,,No description of board contents or paper.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,D,4,0.0,no,,No reaction or emotional response described.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,0,1.0,yes,eating a hamburger very fast,Directly states eating action with food type.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,1,1.0,yes,at Burger King,Explicitly names the location.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,2,1.0,yes,going to take a drink of soda,Identifies drink cup and drinking motion.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,3,0.0,no,,No mention of tray text.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,A,4,0.0,no,,No clothing description provided.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,0,0.5,partial,eats a lot of burgers,Mentions eating but contradicts with sickness outcome.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,1,0.0,no,,No location mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,2,0.0,no,,No drink cup mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,3,0.0,no,,No tray text mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,openai:gpt-4o,anthropic:claude-haiku-4-5-20251001,B,4,0.0,no,,No clothing description provided.
