clip_idx,video_id,category,question_model,q_idx,question,answer_key,required_visual_evidence,importance,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Throwing a knife at a board.,subject holding knife; knife in board,critical,Describes the main action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,1,Where is the setting of the scene?,A kitchen with equipment and shelves.,kitchen equipment; shelves,critical,Identifies the location.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,2,What key object is the subject holding?,A knife.,subject holding knife,useful,Highlights a key object.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,3,What is visible on the board?,A piece of paper with text.,paper on board,useful,Describes visible text.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,openai:gpt-4o,4,What is the subject's reaction after throwing the knife?,The subject is smiling and laughing.,subject smiling; subject laughing,useful,Conveys the subject's emotion.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Eating a burger.,holding food; eating motion,critical,Main action of the subject.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,1,What is the setting or location?,Inside a Burger King.,Burger King logo; indoor setting,critical,Establishes the location.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,2,What key object is the subject holding?,A drink cup.,holding cup; drinking motion,useful,Describes interaction with objects.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,3,What text is visible on the tray?,BURGER EATING,text on tray; Burger King logo,critical,Key on-screen text.
1,058y9xGmmTQ_000206_000216,Food & Cooking,openai:gpt-4o,4,What is the subject wearing?,A gray hoodie.,gray hoodie; subject's clothing,useful,Describes the subject's appearance.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Cooking an omelette in a pan.,holding a pan; stirring with a fork,critical,Describes the main action.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,1,What kitchen appliance is visible in the background?,A stove.,stove knobs; stove surface,useful,Sets the location context.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,2,What ingredient is visible next to the stove?,A bottle of cooking oil.,bottle of oil; next to stove,useful,Indicates cooking ingredients used.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,3,What brand of salt is visible on the counter?,Morton Salt.,Morton Salt container; on the counter,useful,Identifies a key object.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,openai:gpt-4o,4,What is the main ingredient in the pan?,Eggs with vegetables.,omelette appearance; vegetables visible,critical,Describes the main subject of cooking.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Cooking scrambled eggs in a pan.,holding a spatula; stirring eggs in a pan,critical,Describes the main action.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,1,What kitchen appliance is visible in the background?,A refrigerator.,refrigerator in the background,useful,Sets the scene in a kitchen.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,2,What is the main subject wearing?,A gray t-shirt with a cartoon character.,gray t-shirt; cartoon character,useful,Describes the subject's appearance.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,3,What is on the counter next to the stove?,A pink bowl and a plate.,pink bowl; plate,useful,Identifies key objects in the setting.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,openai:gpt-4o,4,What is the main subject's expression?,Smiling.,smiling face,useful,Conveys the subject's mood.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,0,What is the main subject doing?,Mixing spinach leaves in a bowl.,hands mixing; spinach leaves,critical,Describes the main action.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,1,What is the main object being used?,A large wooden bowl.,wooden bowl; spinach inside,critical,Identifies the key object in use.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,2,What is on the cutting board?,A ball of mozzarella cheese.,cutting board; mozzarella cheese,useful,Highlights a key object nearby.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,3,How many hands are involved in the action?,Two pairs of hands.,two pairs of hands; mixing,useful,Indicates collaboration in the action.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,openai:gpt-4o,4,What type of leaves are being mixed?,Spinach leaves.,spinach leaves; green leaves,critical,Specifies the main ingredient.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,0,What is the main subject doing?,Riding a snowmobile.,person on snowmobile; snowy terrain,critical,Main action of the scene.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,1,What type of terrain is visible?,Snow-covered ground.,snow; tracks in snow,critical,Describes the setting.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,2,What is the setting of the scene?,A snowy outdoor area with trees.,trees; snow,useful,Provides context for the action.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,3,What key objects are visible besides the snowmobile?,Another snowmobile and tracks.,second snowmobile; tracks,useful,Indicates presence of multiple vehicles.
6,0HEi6q3bGaw_000011_000021,Travel,openai:gpt-4o,4,What text is visible on the snowmobile?,CROSSTREK.,text on snowmobile,useful,Identifies the snowmobile model.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,0,What is the main subject doing?,Pulling a sled through snow.,person pulling; sled in snow,critical,Describes the main action.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,1,What is the setting of the scene?,Snowy outdoor area.,snow on ground; outdoor environment,useful,Provides context for the action.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,2,What key object is visible in the frames?,A blue sled.,blue sled; sled being pulled,critical,Identifies a central object in the scene.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,3,What is the main subject wearing?,Dark clothing.,dark clothing; person in snow,useful,Describes the appearance of the subject.
7,09dQut5GJ68_000049_000059,Travel,openai:gpt-4o,4,Is there any visible text on screen?,No visible text.,absence of text,useful,Confirms lack of on-screen text.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,0,What animals are prominently featured in the frames?,Horses,horses grazing; horses in the forest,critical,Main subject of the frames.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,1,What is the setting of the video?,A ranch with a forested area,ranch sign; trees and forest,critical,Establishes location context.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,2,What text is visible on the sign in the first frame?,Kohl Ranch,sign with text,useful,Identifies the location.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,3,What flags are visible in the frames?,"KOA, American, Canadian",flags in the background,useful,Indicates international presence.
8,hOirknJr3os_000001_000011,Travel,openai:gpt-4o,4,What activity are the horses engaged in?,Grazing and walking,horses grazing; horses walking in forest,critical,Describes main action.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,0,What is the main subject doing?,Skiing down a slope.,subject skiing; downhill movement,critical,Describes the main action.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,1,What is the setting of the scene?,A snowy ski slope at night.,snowy slope; nighttime lighting,critical,Establishes the location and time.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,2,What equipment is the main subject using?,Skis and poles.,skis; poles,useful,Identifies key objects used by the subject.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,3,What is visible in the background?,Lights and distant slopes.,background lights; distant slopes,useful,Provides context for the setting.
9,TF4q9y0rJoc_000000_000010,Sports,openai:gpt-4o,4,What is the main subject wearing?,A jacket and helmet.,jacket; helmet,useful,Describes the subject's attire.
11,z8Q-s8AthrA_000002_000012,Sports,openai:gpt-4o,0,What is the main subject doing?,Running and attempting a high jump.,running; jumping over bar,critical,Describes the main action.
11,z8Q-s8AthrA_000002_000012,Sports,openai:gpt-4o,1,Where is the scene taking place?,On a track and field area.,track; field,critical,Identifies the setting.
11,z8Q-s8AthrA_000002_000012,Sports,openai:gpt-4o,2,What key object is involved in the action?,A high jump bar and mat.,bar; mat,useful,Highlights objects related to the action.
11,z8Q-s8AthrA_000002_000012,Sports,openai:gpt-4o,3,What is visible in the background?,People and sports equipment.,people; equipment,useful,Provides context for the scene.
11,z8Q-s8AthrA_000002_000012,Sports,openai:gpt-4o,4,What is the main subject wearing?,A yellow shirt.,yellow shirt,useful,Describes the main subject's appearance.
12,abaLFY_GI8k_000295_000305,Sports,openai:gpt-4o,0,What activity are the people engaged in?,Playing volleyball.,volleyball net; ball in the air,critical,Main action of the scene.
12,abaLFY_GI8k_000295_000305,Sports,openai:gpt-4o,1,What is the setting of the activity?,An outdoor area with trees and buildings.,trees; buildings in the background,useful,Provides context for the location.
12,abaLFY_GI8k_000295_000305,Sports,openai:gpt-4o,2,What key object is used in the activity?,A volleyball.,ball in the air; players interacting with the ball,critical,Essential for understanding the activity.
12,abaLFY_GI8k_000295_000305,Sports,openai:gpt-4o,3,How many people are visible in the frames?,At least four people.,multiple players; interaction around the net,useful,Indicates the number of participants.
12,abaLFY_GI8k_000295_000305,Sports,openai:gpt-4o,4,What is visible in the background?,Trees and a building.,trees; building,useful,Describes the environment.
13,KFcH6BYZWhc_000011_000021,Sports,openai:gpt-4o,0,What activity is taking place in the images?,Ice hockey practice,ice rink; hockey sticks,critical,Identifies the main activity.
13,KFcH6BYZWhc_000011_000021,Sports,openai:gpt-4o,1,What is the main action happening in the images?,Players are skating and shooting pucks.,skating; shooting pucks,critical,Describes the primary action.
13,KFcH6BYZWhc_000011_000021,Sports,openai:gpt-4o,2,What is the setting of the images?,Indoor ice rink,indoor setting; ice rink,useful,Provides context for the activity.
13,KFcH6BYZWhc_000011_000021,Sports,openai:gpt-4o,3,What key objects are visible in the images?,Hockey sticks and pucks,hockey sticks; pucks,useful,Identifies important objects.
13,KFcH6BYZWhc_000011_000021,Sports,openai:gpt-4o,4,What on-screen text is visible in the images?,No visible text,absence of text,useful,Confirms lack of text.
14,UDD6YcChywc_000000_000010,Sports,openai:gpt-4o,0,What is the main subject doing?,Sliding a stone on ice.,subject sliding; stone on ice,critical,Describes the main action.
14,UDD6YcChywc_000000_000010,Sports,openai:gpt-4o,1,What is the setting of the activity?,An indoor ice rink.,indoor setting; ice rink,critical,Identifies the location.
14,UDD6YcChywc_000000_000010,Sports,openai:gpt-4o,2,What happens to the main subject after sliding the stone?,Falls onto the ice.,subject falling; lying on ice,critical,Describes the outcome of the action.
14,UDD6YcChywc_000000_000010,Sports,openai:gpt-4o,3,What key object is involved in the activity?,A curling stone.,curling stone; stone being slid,useful,Identifies the main object.
14,UDD6YcChywc_000000_000010,Sports,openai:gpt-4o,4,How many people are visible in the frames?,At least four people.,multiple people; people standing,useful,Gives context about the scene.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,openai:gpt-4o,0,What is the main subject doing?,Walking along a fenced area.,walking; fence,critical,Describes the main action.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,openai:gpt-4o,1,What type of fence is visible?,Chain-link fence with wooden posts.,chain-link; wooden posts,useful,Describes the setting.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,openai:gpt-4o,2,What is the setting of the scene?,An outdoor area with grass and trees.,grass; trees,critical,Provides context for the location.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,openai:gpt-4o,3,What is the main subject wearing?,Green shirt and dark shorts.,green shirt; dark shorts,useful,Identifies the main subject.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,openai:gpt-4o,4,What text is visible on signs?,Warning and information signs.,signs; text,useful,Indicates presence of signs.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,openai:gpt-4o,0,What is the main subject doing?,Riding a horse in a fenced area.,person on horse; fenced area,critical,Describes the main action.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,openai:gpt-4o,1,What type of setting is shown?,A stable or barn area.,barn; fence,useful,Provides context for the location.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,openai:gpt-4o,2,What is the main object involved in the action?,A horse.,horse,critical,Identifies the key object in the scene.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,openai:gpt-4o,3,What is the main subject wearing?,A pink cap and a hoodie.,pink cap; hoodie,useful,Describes the main subject's appearance.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,openai:gpt-4o,4,What is visible in the background?,Additional stable buildings.,stable buildings,useful,Provides additional context for the setting.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,openai:gpt-4o,0,What is the main subject doing?,Climbing and sliding down a snowy hill.,climbing the hill; sliding down,critical,Describes the main action.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,openai:gpt-4o,1,What is the setting of the scene?,A snowy playground with slides.,snowy playground; slides,critical,Identifies the location.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,openai:gpt-4o,2,What key object is prominently featured?,A large blue slide.,blue slide,useful,Highlights a significant object.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,openai:gpt-4o,3,How many people are visible in the frames?,Three people.,three individuals,useful,Gives context about participants.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,openai:gpt-4o,4,What type of clothing is the main subject wearing?,A red hat and white jacket.,red hat; white jacket,useful,Describes the main subject's appearance.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,openai:gpt-4o,0,What is the main subject doing?,Removing a protective hood.,removing hood; protective suit,critical,Main action of the subject.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,openai:gpt-4o,1,What is the setting of the video?,A wooded area.,trees; outdoors,useful,Provides context for the location.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,openai:gpt-4o,2,What is the second person doing?,Drinking from a cup.,drinking; holding cup,useful,Describes the action of another person.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,openai:gpt-4o,3,What key object is the second person holding?,A blue container.,blue container; holding,useful,Identifies a significant object in the scene.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,openai:gpt-4o,4,What is visible on the vehicle's window?,A sticker with text.,sticker; text on window,useful,Indicates presence of on-screen text.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,openai:gpt-4o,0,What are the two animals doing?,"One cat is sitting, another is lying down.",cat sitting; cat lying down,critical,Main action involving the animals.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,openai:gpt-4o,1,What is the setting of the scene?,A living room with a staircase.,living room; staircase,critical,Provides context for the location.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,openai:gpt-4o,2,What furniture is visible in the scene?,A table and a television.,table; television,useful,Key objects in the setting.
