clip_idx,video_id,category,tier,gt,description,question_model,grader_model,candidate_id,q_idx,score,label,evidence_quote,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,0,0.0,no,chef holds a cherry tomato,"Describes tomato, not insect or specimen"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,1,0.0,no,In a bustling kitchen,Kitchen setting contradicts laboratory setting
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,2,0.0,no,,No mention of wooden board or papers
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,3,0.0,no,a chef,"Identifies chef, not scientist or researcher"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,4,0.0,no,,"No mention of shelves, tanks, or equipment"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,B,0,0.0,no,a skier navigates a snowy hill,"Describes skiing, not insect demonstration"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,B,1,0.0,no,"At night, a skier navigates a snowy hill",Outdoor skiing contradicts laboratory setting
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,B,2,0.0,no,,No mention of wooden board or papers
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,B,3,0.0,no,a skier,"Identifies skier, not scientist or researcher"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,B,4,0.0,no,,"No mention of shelves, tanks, or equipment"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,C,0,0.0,no,pins a cherry tomato to the wall,"Describes tomato, not insect or specimen"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,C,1,0.0,no,,No mention of laboratory or research facility
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,C,2,0.0,no,,No mention of wooden board or papers
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,C,3,0.0,no,,No indication of scientist or researcher role
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,C,4,0.0,no,,"No mention of shelves, tanks, or equipment"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,D,0,0.0,no,chef in a kitchen demonstrates his skill throwing a knife,"Describes knife throwing, not insect demonstration"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,D,1,0.0,no,A chef in a kitchen,Kitchen contradicts laboratory setting
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,D,2,0.0,no,,No mention of wooden board or papers
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,D,3,0.0,no,A chef,"Identifies chef, not scientist or researcher"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,D,4,0.0,no,,"No mention of shelves, tanks, or equipment"
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,0,1.0,yes,eating a hamburger very fast,Directly states eating action and food type.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,1,1.0,yes,at Burger King,Explicitly names the restaurant.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,2,0.0,no,,No mention of packaging text or branding details.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,A,3,0.5,partial,at Burger King,Implies indoor restaurant but lacks specific setting details.
