query_vid,tier,ref_vid,cos
0m0-Q0zz_-c_000112_000122,tier0_cross,0m0-Q0zz_-c_000112_000122,0.650725603
0m0-Q0zz_-c_000112_000122,tier0_cross,0t0DB1B1w8Y_000000_000010,-0.107616432
0m0-Q0zz_-c_000112_000122,tier0_cross,1-jIze6gy0g_000026_000036,0.033067591
0m0-Q0zz_-c_000112_000122,tier0_cross,1HUWWCLza0w_000000_000010,-0.161780864
0m0-Q0zz_-c_000112_000122,tier0_cross,1YemrpNBpf4_000001_000011,0.114011474
0m0-Q0zz_-c_000112_000122,tier0_cross,1kLhK8KfIEw_000020_000030,-0.090147056
0m0-Q0zz_-c_000112_000122,tier0_cross,21T1JDdJgsM_000047_000057,-0.083734348
0m0-Q0zz_-c_000112_000122,tier0_cross,2kJxrcNRS9w_000047_000057,0.186201662
0m0-Q0zz_-c_000112_000122,tier0_cross,3su234u58DA_000172_000182,-0.284583360
0m0-Q0zz_-c_000112_000122,tier0_cross,3ufJNSez5Is_000008_000018,-0.131904408
0m0-Q0zz_-c_000112_000122,tier0_cross,750QhTe9Z4U_000000_000010,-0.039266437
0m0-Q0zz_-c_000112_000122,tier0_cross,8vkNr_eysXY_000002_000012,0.199242607
0m0-Q0zz_-c_000112_000122,tier0_cross,9eBhetL8n5Q_000222_000232,0.006574187
0m0-Q0zz_-c_000112_000122,tier0_cross,9fuIpQgnNEQ_000049_000059,-0.268295228
0m0-Q0zz_-c_000112_000122,tier0_cross,A0e7Z55s8pE_000008_000018,-0.057209518
0m0-Q0zz_-c_000112_000122,tier0_cross,AEkLDauJVi0_000069_000079,0.021078449
0m0-Q0zz_-c_000112_000122,tier0_cross,BHxn3qfPAl4_000018_000028,0.169265792
0m0-Q0zz_-c_000112_000122,tier0_cross,BcW6Y7eufQE_000239_000249,-0.205213785
0m0-Q0zz_-c_000112_000122,tier0_cross,Bss3WwpDdS8_000041_000051,-0.078046888
0m0-Q0zz_-c_000112_000122,tier0_cross,Ccgwurislg8_000082_000092,-0.040641051
0m0-Q0zz_-c_000112_000122,tier0_cross,D297atE3gag_000203_000213,0.088622428
0m0-Q0zz_-c_000112_000122,tier0_cross,EA3HCx0yTIY_000281_000291,0.480602235
0m0-Q0zz_-c_000112_000122,tier0_cross,F-mRnL_XmJU_000000_000010,0.039253015
0m0-Q0zz_-c_000112_000122,tier0_cross,GOH6fBhoi2o_000010_000020,0.372623086
0m0-Q0zz_-c_000112_000122,tier0_cross,HpRmj5ce32c_000001_000011,-0.085103475
0m0-Q0zz_-c_000112_000122,tier0_cross,N-LZPc27kjM_000229_000239,0.167083904
0m0-Q0zz_-c_000112_000122,tier0_cross,OASCPKazLIM_000132_000142,0.163810611
0m0-Q0zz_-c_000112_000122,tier0_cross,RjPp0ZPW0yc_000000_000010,0.322563022
0m0-Q0zz_-c_000112_000122,tier0_cross,RlfVK8z5wJ0_000000_000010,-0.036088057
0m0-Q0zz_-c_000112_000122,tier0_cross,S-C86j0keqc_000217_000227,0.395704389
0m0-Q0zz_-c_000112_000122,tier0_cross,ShSSAEfnyDs_000000_000010,0.043167021
0m0-Q0zz_-c_000112_000122,tier0_cross,Xdz1cxEjLYc_000007_000017,0.179869056
0m0-Q0zz_-c_000112_000122,tier0_cross,Z5w-wkrjHuw_000345_000355,-0.265112221
0m0-Q0zz_-c_000112_000122,tier0_cross,ZcYB6tPK2Eo_000138_000148,0.215159222
0m0-Q0zz_-c_000112_000122,tier0_cross,_TKzyWZHjm8_000002_000012,0.437361538
0m0-Q0zz_-c_000112_000122,tier0_cross,_oAKCHh_Av4_000003_000013,0.111265369
0m0-Q0zz_-c_000112_000122,tier0_cross,bgt29znHCzs_000343_000353,-0.114815123
0m0-Q0zz_-c_000112_000122,tier0_cross,c_gQ9CSaZY4_000000_000010,0.133746520
0m0-Q0zz_-c_000112_000122,tier0_cross,crjesEwF0Ks_000197_000207,0.004943039
0m0-Q0zz_-c_000112_000122,tier0_cross,d7_SY48r__8_000060_000070,0.074623145
0m0-Q0zz_-c_000112_000122,tier0_cross,dlBeUWrse3I_000019_000029,0.118746437
0m0-Q0zz_-c_000112_000122,tier0_cross,eb-ufaFcUas_000008_000018,-0.056888461
0m0-Q0zz_-c_000112_000122,tier0_cross,g8Idd47kGqo_000037_000047,-0.183804736
0m0-Q0zz_-c_000112_000122,tier0_cross,gFBO3zrod9Y_000005_000015,0.035851635
0m0-Q0zz_-c_000112_000122,tier0_cross,h8wsO9A9v_c_000016_000026,-0.187852949
0m0-Q0zz_-c_000112_000122,tier0_cross,heWD9j45Emw_000225_000235,-0.025666393
0m0-Q0zz_-c_000112_000122,tier0_cross,iEAWgsSvJAE_000023_000033,0.157761768
0m0-Q0zz_-c_000112_000122,tier0_cross,iGmGQxox43I_000000_000010,0.052324802
0m0-Q0zz_-c_000112_000122,tier0_cross,iZP6gjlr_nM_000113_000123,-0.154416442
0m0-Q0zz_-c_000112_000122,tier0_cross,j4CKRgv3jUg_000000_000010,-0.127691314
0m0-Q0zz_-c_000112_000122,tier0_cross,j6CgiNeWQwM_000842_000852,0.025456918
0m0-Q0zz_-c_000112_000122,tier0_cross,jeweRSnAJeo_000050_000060,0.429542392
