video_id,category,model,n_frames,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
3ufJNSez5Is_000008_000018,How-to & Instructional,claude-haiku-4-5-20251001,8,0,What is the primary activity being demonstrated in this video?,Pottery making or clay wheel throwing on a pottery wheel,pottery wheel; clay vessel being shaped; hands working with clay,critical,Identifies the main action and craft being performed throughout the clip
3ufJNSez5Is_000008_000018,How-to & Instructional,claude-haiku-4-5-20251001,8,1,What is the setting or location where this activity takes place?,A pottery studio or workshop with large windows overlooking trees,pottery wheel and tools; large windows; forest/trees visible outside,critical,Establishes the environment and context for the demonstration
3ufJNSez5Is_000008_000018,How-to & Instructional,claude-haiku-4-5-20251001,8,2,What key equipment or objects are visible on the work surface?,"Pottery wheel, clay vessels, ceramic tools, and white work plates",pottery wheel; finished clay forms; tools in holder; white plates,useful,Describes the tools and materials essential to understanding the pottery process
3ufJNSez5Is_000008_000018,How-to & Instructional,claude-haiku-4-5-20251001,8,3,How many people are actively participating in the demonstration?,Two people; one instructing and one working at the wheel,two sets of hands; person in purple shirt at wheel; person in dark shirt assisting,useful,Clarifies whether this is solo work or collaborative instruction
3ufJNSez5Is_000008_000018,How-to & Instructional,claude-haiku-4-5-20251001,8,4,What is the main clay form being shaped on the pottery wheel?,A cone or bell-shaped vessel with a wide base,clay form on wheel; cone/bell shape; hands shaping the clay,useful,Describes the specific pottery piece being created during the demonstration
_oAKCHh_Av4_000003_000013,People & Vlogs,claude-haiku-4-5-20251001,8,0,What is the main subject doing throughout these frames?,A man is speaking while holding a microphone to his mouth.,man holding microphone; microphone near mouth; speaking gesture,critical,The primary action defines the entire scene and is essential to understanding the clip.
_oAKCHh_Av4_000003_000013,People & Vlogs,claude-haiku-4-5-20251001,8,1,Where is this scene taking place?,Indoors on a couch or seating area with a red and white wall backdrop.,couch/seating furniture; red wall panel; white wall; indoor setting,critical,Setting context is fundamental for listeners to visualize the environment and scene type.
_oAKCHh_Av4_000003_000013,People & Vlogs,claude-haiku-4-5-20251001,8,2,What object is the main subject holding?,A microphone with a dark handle or grip.,microphone; dark handle; held in hand,critical,The microphone is a key prop that defines the activity and should be described in AD.
_oAKCHh_Av4_000003_000013,People & Vlogs,claude-haiku-4-5-20251001,8,3,"Is anyone else visible in the scene, and if so, where are they positioned?","Yes, another person is seated on the right side of the couch.",second person; right side; seated; couch,useful,Secondary subjects provide context about whether this is a solo or group activity.
_oAKCHh_Av4_000003_000013,People & Vlogs,claude-haiku-4-5-20251001,8,4,What is the approximate positioning of the main subject on the furniture?,The man is seated on the left side of the couch.,seated position; left side; couch,useful,Spatial positioning helps listeners understand the layout and composition of the scene.
BHxn3qfPAl4_000018_000028,Health & Wellness,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this clip?,A person is lying on their back on a bed or couch.,person in profile view; horizontal reclined position; brown/tan fabric surface,critical,Establishes the primary action and body position central to the scene.
BHxn3qfPAl4_000018_000028,Health & Wellness,claude-haiku-4-5-20251001,8,1,What type of furniture is the person on?,A bed or couch with brown/tan colored fabric or upholstery.,brown fabric; horizontal surface; ridged/textured upholstery,critical,Identifies the setting and main object the subject interacts with.
BHxn3qfPAl4_000018_000028,Health & Wellness,claude-haiku-4-5-20251001,8,2,What is the camera angle or perspective in this scene?,A side profile view showing the person from the side while lying down.,profile orientation; person's face visible from side; consistent angle across frames,useful,Helps listener understand spatial orientation and how the scene is framed.
BHxn3qfPAl4_000018_000028,Health & Wellness,claude-haiku-4-5-20251001,8,3,What is visible in the background of the scene?,A wooden headboard or wall paneling with horizontal ridges or grooves.,wood texture; horizontal lines/ridges; brown wood color,useful,Provides context about the indoor setting and room furnishings.
