clip_idx,video_id,category,question_model,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,gpt-4o,0,What is the main subject doing?,Holding and pointing with a small object.,holding object; pointing gesture,critical,Describes the main action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,gpt-4o,1,What is the setting of the scene?,A kitchen with industrial equipment.,kitchen equipment; industrial setting,critical,Identifies the location.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,gpt-4o,2,What key objects are visible in the background?,Mixers and trays.,mixers; trays,useful,Provides context about the setting.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,gpt-4o,3,What is the main subject wearing?,A white chef's coat.,chef's coat,useful,Indicates the subject's role.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,gpt-4o,4,What text is visible on the subject's coat?,Logo and text on the left side.,logo; text on coat,useful,Identifies branding or affiliation.
1,058y9xGmmTQ_000206_000216,Food & Cooking,gpt-4o,0,What is the main subject doing?,Eating a burger.,subject eating; burger in hand,critical,Describes the main action.
1,058y9xGmmTQ_000206_000216,Food & Cooking,gpt-4o,1,Where is the main subject located?,Inside a Burger King.,Burger King logo; fast food setting,critical,Identifies the setting.
1,058y9xGmmTQ_000206_000216,Food & Cooking,gpt-4o,2,What is the main subject wearing?,A gray hoodie.,gray hoodie,useful,Describes the subject's appearance.
1,058y9xGmmTQ_000206_000216,Food & Cooking,gpt-4o,3,What key object is the subject holding?,A Burger King cup.,cup in hand; Burger King logo,useful,Identifies a key object.
1,058y9xGmmTQ_000206_000216,Food & Cooking,gpt-4o,4,What text is visible on the tray?,BURGER EATING,text on tray,critical,Conveys visible on-screen text.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,gpt-4o,0,What is the main subject doing?,Cooking in a pan on a stove.,holding a pan; stove visible,critical,Describes the main action.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,gpt-4o,1,What is the setting of the scene?,A kitchen with a stove and countertop.,stove; countertop,critical,Identifies the location.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,gpt-4o,2,What key objects are involved in the cooking?,"A pan, fork, and cooking ingredients.",pan; fork,useful,Highlights main objects used.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,gpt-4o,3,What visible text is on the container?,Morton Salt.,Morton Salt container,useful,Identifies on-screen text.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,gpt-4o,4,What is the main subject using to stir the food?,A fork.,holding a fork,critical,Describes the tool used.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,gpt-4o,0,What is the main subject doing?,Cooking scrambled eggs in a pan.,holding a spatula; scrambled eggs in a pan,critical,Describes the main action.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,gpt-4o,1,Where is the main subject located?,In a kitchen.,kitchen counter; stove,critical,Identifies the setting.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,gpt-4o,2,What key object is the main subject using?,A spatula.,holding a spatula,useful,Identifies a key object involved.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,gpt-4o,3,What is on the counter next to the stove?,A pink bowl and a plate.,pink bowl; plate,useful,Describes key objects in the setting.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,gpt-4o,4,What is visible on the subject's shirt?,A graphic with text.,graphic on shirt,useful,Describes visible on-screen text.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,gpt-4o,0,What is the main subject doing?,Mixing spinach leaves in a bowl.,hands mixing; spinach leaves,critical,Describes the main action.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,gpt-4o,1,What is the setting of the scene?,A kitchen or dining area.,wooden bowl; cutting board,useful,Provides context for the action.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,gpt-4o,2,What key objects are involved in the action?,Spinach leaves and a wooden bowl.,spinach leaves; wooden bowl,critical,Identifies main objects in use.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,gpt-4o,3,What is on the cutting board?,A ball of mozzarella cheese.,cutting board; mozzarella cheese,useful,Highlights additional objects present.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,gpt-4o,4,How many hands are involved in the action?,Two pairs of hands.,two pairs of hands,useful,Indicates collaboration or assistance.
6,0HEi6q3bGaw_000011_000021,Travel,gpt-4o,0,What is the main subject doing?,Riding a snowmobile.,person on snowmobile; snowmobile tracks,critical,Main action performed by the subject.
6,0HEi6q3bGaw_000011_000021,Travel,gpt-4o,1,What is the setting of the scene?,Snow-covered landscape with trees.,snow on ground; trees in background,critical,Provides context for the action.
6,0HEi6q3bGaw_000011_000021,Travel,gpt-4o,2,What key objects are involved in the scene?,Snowmobiles.,multiple snowmobiles; snowmobile tracks,critical,Central to the action taking place.
6,0HEi6q3bGaw_000011_000021,Travel,gpt-4o,3,What is visible on the snowmobile?,Arctic Cat logo.,logo on snowmobile,useful,Identifies the brand of the snowmobile.
6,0HEi6q3bGaw_000011_000021,Travel,gpt-4o,4,What is the main subject wearing?,Helmet and winter gear.,helmet; winter clothing,useful,Describes the subject's appearance.
7,09dQut5GJ68_000049_000059,Travel,gpt-4o,0,What is the main subject doing?,Riding a bicycle in the snow.,bicycle; snow,critical,Main action performed by the subject.
7,09dQut5GJ68_000049_000059,Travel,gpt-4o,1,What is the setting or location?,A snowy outdoor area.,snow; outdoor,critical,Provides context for the action.
7,09dQut5GJ68_000049_000059,Travel,gpt-4o,2,What key object is involved in the action?,A bicycle.,bicycle,critical,Central to the main action.
7,09dQut5GJ68_000049_000059,Travel,gpt-4o,3,What is the main subject wearing?,Dark clothing and boots.,dark clothing; boots,useful,Describes the main subject's appearance.
7,09dQut5GJ68_000049_000059,Travel,gpt-4o,4,Is there any visible on-screen text?,No visible on-screen text.,absence of text,useful,Confirms lack of text information.
8,hOirknJr3os_000001_000011,Travel,gpt-4o,0,What is the main subject doing?,Riding horses through a wooded area.,people on horses; wooded area,critical,Main action performed by the subjects.
8,hOirknJr3os_000001_000011,Travel,gpt-4o,1,What is the setting or location?,A ranch with horses and wooded trails.,ranch sign; horses; wooded trails,critical,Describes the overall setting of the video.
8,hOirknJr3os_000001_000011,Travel,gpt-4o,2,What key objects are involved?,Horses and a ranch sign.,horses; ranch sign,useful,Identifies important objects in the scene.
8,hOirknJr3os_000001_000011,Travel,gpt-4o,3,What text is visible on the sign?,K-Hill Ranch,text on ranch sign,critical,Provides specific on-screen text information.
8,hOirknJr3os_000001_000011,Travel,gpt-4o,4,What flags are visible in the background?,"Flags of the USA, Canada, and KOA.",flags in background,useful,Adds context to the location setting.
9,TF4q9y0rJoc_000000_000010,Sports,gpt-4o,0,What is the main subject doing?,Skiing down a slope.,subject skiing; movement down slope,critical,Describes the main action.
9,TF4q9y0rJoc_000000_000010,Sports,gpt-4o,1,What is the setting of the scene?,A snowy ski slope at night.,snowy slope; nighttime lighting,critical,Establishes the location and time.
9,TF4q9y0rJoc_000000_000010,Sports,gpt-4o,2,What key objects are involved in the scene?,Ski poles and skis.,ski poles; skis,useful,Identifies important equipment.
9,TF4q9y0rJoc_000000_000010,Sports,gpt-4o,3,What is visible in the background?,Lights and distant trees.,lights; trees,useful,Provides context for the setting.
9,TF4q9y0rJoc_000000_000010,Sports,gpt-4o,4,Is there any visible on-screen text?,No visible on-screen text.,absence of text,useful,Confirms lack of text information.
11,z8Q-s8AthrA_000002_000012,Sports,gpt-4o,0,What is the main subject doing?,Running and jumping over a high jump bar.,running; jumping over bar,critical,Describes the main action performed.
