source,kind,id,category,adqa,clip_top3,word_count,sentence_count,experience_severity,anticipation_spoiler,frame_dump_list,uncertain_inference,timing_sequence,snippet
videoa11y,professional_ad,FtBS6OZSGMI_000028_000038,Food & Cooking,,,27,2,0,0,0,0,0,"A person in a black T-shirt carefully pours a drink from a bottle into a Samuel Adams glass. The liquid flows slowly, filling the tall glass."
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap0,Food & Cooking,,,11,1,0,0,0,0,0,A man is pouring some beer into a samuel adams glass.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap1,Food & Cooking,,,13,1,0,0,0,0,0,A person is seen pouring a drink into a glass from a bottle.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap2,Food & Cooking,,,23,1,0,0,0,0,0,A man dressed in a black T-shirt holds a glass and pours some highly viscous content into the glass from a bottle.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap3,Food & Cooking,,,11,1,0,0,0,0,0,A person pouring alcohol into a glass with slow framed speed.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap4,Food & Cooking,,,11,1,0,0,0,0,0,A person pours beer from a bottle into a tall glass.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap5,Food & Cooking,,,17,1,0,0,0,0,0,Someone is pouring a drink from a bottle into a wine glass using a lot of care.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap6,Food & Cooking,,,11,1,0,0,0,0,0,A man is pouring wine into a glass jug very carefully.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap7,Food & Cooking,,,11,1,0,0,0,0,0,A man slowly pours beer from a bottle into a glass
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap8,Food & Cooking,,,20,1,1,1,0,0,0,A person begins to pour a drink from a bottle into a big glass from the edge of the glass.
vatex,crowd_caption,FtBS6OZSGMI_000028_000038#cap9,Food & Cooking,,,14,1,0,0,0,0,0,A Samuel Adams glass is being filled up slowly with a bottle of bear.
videoa11y,professional_ad,3ufJNSez5Is_000008_000018,How-to & Instructional,,,62,4,0,0,0,0,0,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by s"
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap0,How-to & Instructional,,,14,1,0,0,0,0,0,A woman and a man are sitting down doing pottery on a spinning table.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap1,How-to & Instructional,,,17,1,0,0,0,0,0,A group of people in a work shop watch a woman craft some pottery on a wheel.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap2,How-to & Instructional,,,12,1,0,0,0,0,0,A woman is molding a clay vase whie using a spinning machine.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap3,How-to & Instructional,,,14,1,0,0,0,0,0,The lady is trying to do some pottery work while the man guides her.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap4,How-to & Instructional,,,12,1,0,0,0,0,0,A woman is working on a clay spinning project with a man.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap5,How-to & Instructional,,,15,1,0,0,0,0,0,A woman works on making pottery while a man picks up a ringing cell phone.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap6,How-to & Instructional,,,20,1,0,0,0,0,0,A woman is spinning clay pottery and a man is kneeling on a plank of wood to get his phone.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap7,How-to & Instructional,,,25,1,0,0,0,0,0,Someone off-camera hands a man a device as he sits and watches a woman work on a piece of pottery on a spinning wheel.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap8,How-to & Instructional,,,14,1,0,0,0,0,0,A woman sits down and uses her hands to create a piece of pottery.
vatex,crowd_caption,3ufJNSez5Is_000008_000018#cap9,How-to & Instructional,,,11,1,0,0,0,0,0,A woman works kneeling at a potter's wheel that is spinning.
videoa11y,professional_ad,0HEi6q3bGaw_000011_000021,Travel,,,40,3,1,0,0,0,1,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, l"
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap0,Travel,,,17,1,1,0,0,0,1,Two people on snowmobiles are talking to each other and then they take off and ride away.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap1,Travel,,,11,1,1,0,0,0,1,Two people outside on snow mobiles converse briefly before riding off.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap2,Travel,,,18,1,1,0,0,0,1,"A person stops on a snowmobile while another person on a snowmobile speaks, then they both start again."
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap3,Travel,,,13,1,1,0,0,0,1,Someone is talking to their friends before they take off on their snowmobiles.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap4,Travel,,,12,1,1,0,0,0,1,Several snowmobile riders stop to discuss where they are going ride next .
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap5,Travel,,,10,1,0,0,0,0,0,A couple of people recording themselves riding around on snowmobiles.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap6,Travel,,,13,1,0,0,0,0,0,Three people on snowmobiles stopping for a moment and talking to each other.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap7,Travel,,,14,1,0,0,0,0,0,a guy is getting off of snow mobile and gets on and rides off.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap8,Travel,,,15,1,1,0,0,0,1,A person in a helmet on a snowmobile shouts something out and then drives away.
vatex,crowd_caption,0HEi6q3bGaw_000011_000021#cap9,Travel,,,13,1,0,0,0,0,0,Two people are communicating about riding snow mobiles on a snow covered terrain.
