clip_idx,video_id,category,tier,gt,description,question_model,grader_model,candidate_id,q_idx,score,label,evidence_quote,grade_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,claude-haiku-4-5-20251001,A,0,1.0,yes,"chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife",Clearly states holding object and pointing/throwing gesture.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,claude-haiku-4-5-20251001,A,1,0.5,partial,In a bustling kitchen,Mentions kitchen but no industrial equipment details provided.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,claude-haiku-4-5-20251001,A,2,0.0,no,,No mention of mixers or trays in background.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,claude-haiku-4-5-20251001,A,3,0.0,no,,No description of chef's clothing provided.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",gpt-4o,claude-haiku-4-5-20251001,A,4,0.0,no,,"No mention of coat, logo, or text."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,claude-haiku-4-5-20251001,B,0,0.0,no,a skier navigates a snowy hill,"Describes skiing, not holding/pointing with object. Wrong scene entirely."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,claude-haiku-4-5-20251001,B,1,0.0,no,"At night, a skier navigates a snowy hill","Describes ski slope, not kitchen. Contradicts answer key."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,claude-haiku-4-5-20251001,B,2,0.0,no,,No mention of mixers or trays.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,claude-haiku-4-5-20251001,B,3,0.0,no,,No clothing description provided.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,claude-haiku-4-5-20251001,B,4,0.0,no,,No mention of coat or text.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,claude-haiku-4-5-20251001,C,0,0.5,partial,the other man pins a cherry tomato to the wall by throwing a knife,Describes knife throwing but unclear if main subject holds tomato or knife.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,claude-haiku-4-5-20251001,C,1,0.0,no,,No setting description provided.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,claude-haiku-4-5-20251001,C,2,0.0,no,,No background objects mentioned.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,claude-haiku-4-5-20251001,C,3,0.0,no,,No clothing description provided.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,claude-haiku-4-5-20251001,C,4,0.0,no,,"No mention of coat, logo, or text."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,claude-haiku-4-5-20251001,D,0,0.5,partial,A chef in a kitchen demonstrates his skill throwing a knife,Mentions knife throwing but no explicit holding or pointing gesture.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,claude-haiku-4-5-20251001,D,1,0.5,partial,A chef in a kitchen,Mentions kitchen but no industrial equipment details.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,claude-haiku-4-5-20251001,D,2,0.0,no,,No background objects mentioned.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,claude-haiku-4-5-20251001,D,3,0.0,no,,No clothing description provided.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,claude-haiku-4-5-20251001,D,4,0.0,no,,"No mention of coat, logo, or text."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,claude-haiku-4-5-20251001,A,0,1.0,yes,eating a hamburger,Directly states subject eating burger.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,claude-haiku-4-5-20251001,A,1,1.0,yes,at Burger King,Explicitly names Burger King location.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,claude-haiku-4-5-20251001,A,2,0.0,no,,No clothing description provided.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,claude-haiku-4-5-20251001,A,3,0.5,partial,take a drink of soda,Mentions drink but no Burger King cup identification.
