clip_idx,video_id,category,provider,model,n_frames,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,0,What is the man in the white shirt holding and demonstrating?,"A small insect or specimen, appears to be holding it between his fingers",man in white shirt; holding small object between fingers; laboratory/workspace setting,critical,Main action and object central to understanding the video's purpose and content
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,1,What type of setting or location is shown in most of the frames?,"A laboratory or scientific workspace with equipment, tanks, and workstations",laboratory equipment; workbenches; storage tanks in background; scientific apparatus,critical,Setting establishes context for the demonstration and helps orient the listener
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,2,What is visible on the wooden board or surface in one of the frames?,"Papers, documents, and sticky notes with writing or markings on them",wooden board; papers attached; sticky notes; written markings,useful,Shows documentation or record-keeping typical of scientific work environments
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,3,How many people are clearly visible as the main focus throughout the video?,"One man, the primary subject demonstrating or presenting the specimen",single man in white shirt; consistent main subject; addressing camera/audience,useful,Clarifies that this is a single-person demonstration or presentation
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,4,What is the man's apparent role or activity in this setting?,Scientist or researcher demonstrating or explaining a specimen to an audience,white lab coat; holding specimen; laboratory setting; gesturing while speaking,critical,Establishes the man's professional context and the nature of the activity
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,0,What is the man in the gray hoodie doing in the first sequence?,"Eating food, appearing to bite or chew on something",man in gray hoodie; eating/chewing motion; food in hand,critical,Main action of the primary subject across multiple frames
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,1,Where does this video take place?,Indoors in what appears to be a cafeteria or institutional setting,interior setting; fluorescent ceiling lights; windows/glass panels,critical,Setting establishes context for understanding the scene
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,2,What restaurant or brand is visible on the packaging shown?,Burger King,Burger King logo; packaging with branding,useful,Identifies the food source and brand context in the video
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,3,What text appears on the Burger King packaging?,Burger eating,text overlay on packaging; Burger King branding,useful,On-screen text provides additional context about the content
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,4,What is the man wearing?,A gray or blue-gray hoodie or sweatshirt,gray hoodie; casual clothing,useful,Describes appearance of main subject for scene comprehension
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,0,What is the person cooking in the skillet?,An omelet or egg dish with red peppers,yellow egg-based dish; red pepper pieces; black skillet on stovetop,critical,Main action and food being prepared are central to understanding the scene
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,1,What liquid is being poured into the pan?,Oil from a bottle,bottle being held; liquid pouring; skillet receiving liquid,useful,Key cooking action visible across multiple frames showing technique
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,2,Where is this cooking activity taking place?,A kitchen with a stovetop and counter,electric stovetop; kitchen counter; appliances in background,critical,Setting establishes context for the entire activity
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,3,What cooking equipment is visible on the stovetop?,Two black skillets or pans,black skillet with omelet; empty black pan; stovetop burners,useful,Key objects needed to describe the cooking setup and workspace
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic,claude-haiku-4-5-20251001,6,4,What brand of oil is being used?,Morton salt or a branded cooking product,labeled bottle on counter; visible branding on container,useful,On-screen text/branding visible on counter provides specific product detail
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,8,0,What is the child doing with the cooking pan?,Stirring or scooping food in a black pan with a spatula,child holding spatula; black pan with food; kitchen counter setting,critical,Main action and primary object are central to understanding the scene
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,8,1,Where is this activity taking place?,In a kitchen at a counter or stovetop area,kitchen counter; granite countertop; white plate; cooking pan,critical,Setting context is essential for AD comprehension of the scene
