dataset,target,feature_group,feature,n,positives,auc_high_value_bad,best_direction_auc,best_direction,random_shuffle_p_ge_auc,category_shuffle_p_ge_auc
inbench20,extended_route_label,tribe_route,mean_need,18,10,0.95,0.95,high_route,0.0005998800239952009,0.0013997200559888023
inbench20,extended_route_label,tribe_route,max_need,18,10,0.775,0.775,high_route,0.026794641071785644,0.03839232153569286
inbench20,extended_route_label,tribe_route,high_need_seconds_frac,18,10,0.94375,0.94375,high_route,0.0005998800239952009,0.0009998000399920016
inbench20,extended_route_label,tribe_route,extended_seconds_frac,18,10,1.0,1.0,high_route,0.0001999600079984003,0.0007998400319936012
inbench20,extended_route_label,tribe_route,tribe_pressure,18,10,0.9625,0.9625,high_route,0.0003999200159968006,0.0007998400319936012
inbench20,extended_route_label,tribe_route,risk_score,18,10,0.45,0.55,low_route,0.6726654669066187,0.6566686662667467
inbench20,extended_route_label,category_only,category_loo_extended_route_rate,18,10,0.15,0.85,low_route,1.0,1.0
inbench20,extended_route_label,duration_word_count,duration_s,18,10,0.525,0.525,high_route,0.46750649870025995,0.5122975404919016
inbench20,extended_route_label,duration_word_count,tier3_word_count,18,10,0.2375,0.7625,low_route,0.9752049590081984,0.9526094781043791
inbench20,extended_route_label,transcript_speech,mean_speech_density,18,10,0.575,0.575,high_route,0.2939412117576485,0.3301339732053589
