clip_idx,target_q_idx,target_type,tribe_need,target_question,hallucination_risk,source,best_generic_question,best_generic_type,target_jaccard,type_match,strict_covers_target,loose_covers_target
0,2,spatial_relation,0.5147801711429377,What is visible on the wooden board or surface shown in the later frames?,wrong location/position/direction,generic_claude,What is visible on the wooden board or surface in the background?,spatial_relation,0.75,1,1,1
1,0,action_relation,0.850572211723672,What is the man in the gray hoodie doing with his hands in the opening seconds?,wrong action/event,generic_claude,What is the man in the gray hoodie doing?,action_relation,0.5714285714285714,1,1,1
4,0,action_relation,0.5703806972135831,What is the child holding and doing with it at the kitchen counter?,wrong object or tool used in the action,generic_claude,What is the child doing in the kitchen?,action_relation,0.6,1,1,1
6,0,spatial_relation,0.7612562725764201,"What vehicles are visible on the snowy surface, and what are they doing?",wrong action/event,generic_claude,What is the terrain like where the snowmobiler is riding?,spatial_relation,0.0,1,0,0
7,0,action_relation,0.939134955406189,"What is the person doing in the snow, and what equipment are they using?",wrong object or tool used in the action,generic_claude,What is the main subject doing in these frames?,action_relation,0.16666666666666666,1,0,1
9,0,spatial_relation,0.7643380457852659,What sport or activity is the person performing on the snow-covered surface?,wrong action/event,generic_claude,What sport or activity is the person performing?,action_relation,0.5714285714285714,0,0,1
11,2,action_relation,0.5907285764954471,What is the person attempting to do with the high jump bar?,wrong action/event,generic_claude,What is the young person in the yellow shirt doing in these video clips?,action_relation,0.1,1,0,1
12,2,count,0.8593496250851108,How many players are visible on the court at the moment shown in these frames?,wrong number/count,generic_claude,What structures or barriers are visible around the court?,spatial_relation,0.14285714285714285,0,0,1
13,1,spatial_relation,0.6316933209115256,Describe the main player's position and movement during the opening seconds.,wrong location/position/direction,generic_claude,What is the setting where this activity takes place?,spatial_relation,0.0,1,0,0
14,2,action_relation,0.5349318782000374,What happens to the curler between the first and final frames shown?,wrong action/event,generic_claude,What happens to the player after releasing the stone?,action_relation,0.14285714285714285,1,0,1
15,2,spatial_relation,0.633079272327266,What is the person doing with the wooden fence as they move along the path?,wrong action/event,generic_claude,What is visible on the fence in the background?,spatial_relation,0.125,1,0,1
17,2,action_relation,0.9884878385277255,What happens to the person in the red hat during the sequence?,wrong action/event,generic_claude,What is the person wearing on their head?,who_role,0.14285714285714285,0,0,1
18,3,who_role,0.79355584785525,What is the person wearing on their upper body?,wrong person/role,generic_claude,What is the person wearing on their head and upper body?,who_role,0.8333333333333334,1,1,1
19,0,action_relation,0.5760032161779703,"What animals are visible on the wooden floor, and what are they doing?",wrong action/event,generic_claude,What is the primary action taking place in the video?,action_relation,0.0,1,0,0
0,2,spatial_relation,0.5147801711429377,What is visible on the wooden board or surface shown in the later frames?,wrong location/position/direction,generic_gpt4o,What is visible on the board?,spatial_relation,0.3333333333333333,1,1,1
1,0,action_relation,0.850572211723672,What is the man in the gray hoodie doing with his hands in the opening seconds?,wrong action/event,generic_gpt4o,What is the main subject doing?,action_relation,0.125,1,0,1
4,0,action_relation,0.5703806972135831,What is the child holding and doing with it at the kitchen counter?,wrong object or tool used in the action,generic_gpt4o,What is the main subject doing?,action_relation,0.16666666666666666,1,0,1
6,0,spatial_relation,0.7612562725764201,"What vehicles are visible on the snowy surface, and what are they doing?",wrong action/event,generic_gpt4o,What is the main subject doing?,action_relation,0.2,0,0,1
7,0,action_relation,0.939134955406189,"What is the person doing in the snow, and what equipment are they using?",wrong object or tool used in the action,generic_gpt4o,What is the main subject doing?,action_relation,0.16666666666666666,1,0,1
9,0,spatial_relation,0.7643380457852659,What sport or activity is the person performing on the snow-covered surface?,wrong action/event,generic_gpt4o,What is visible in the background?,spatial_relation,0.0,1,0,0
11,2,action_relation,0.5907285764954471,What is the person attempting to do with the high jump bar?,wrong action/event,generic_gpt4o,What is the main subject doing?,action_relation,0.0,1,0,0
12,2,count,0.8593496250851108,How many players are visible on the court at the moment shown in these frames?,wrong number/count,generic_gpt4o,How many people are visible in the frames?,count,0.4,1,1,1
13,1,spatial_relation,0.6316933209115256,Describe the main player's position and movement during the opening seconds.,wrong location/position/direction,generic_gpt4o,What is the main action happening in the images?,action_relation,0.0,0,0,0
14,2,action_relation,0.5349318782000374,What happens to the curler between the first and final frames shown?,wrong action/event,generic_gpt4o,What happens to the main subject after sliding the stone?,action_relation,0.14285714285714285,1,0,1
15,2,spatial_relation,0.633079272327266,What is the person doing with the wooden fence as they move along the path?,wrong action/event,generic_gpt4o,What is the main subject doing?,action_relation,0.125,0,0,1
17,2,action_relation,0.9884878385277255,What happens to the person in the red hat during the sequence?,wrong action/event,generic_gpt4o,What is the main subject doing?,action_relation,0.0,1,0,0
18,3,who_role,0.79355584785525,What is the person wearing on their upper body?,wrong person/role,generic_gpt4o,What is the second person doing?,action_relation,0.14285714285714285,0,0,1
19,0,action_relation,0.5760032161779703,"What animals are visible on the wooden floor, and what are they doing?",wrong action/event,generic_gpt4o,What are the two animals doing?,action_relation,0.4,1,1,1
