video_id,swap_class,slice,probe_type,swap
3ufJNSez5Is_000008_000018,object_scene,object_scene,action_relation,vase->clay jar
3ufJNSez5Is_000008_000018,object_scene,object_scene,who_role,man kneels on plank->woman stands at wheel
3ufJNSez5Is_000008_000018,object_scene,object_scene,count,phone->wooden rib tool
_oAKCHh_Av4_000003_000013,object_scene,object_scene,action_relation,vape->cigar
_oAKCHh_Av4_000003_000013,object_scene,object_scene,count,woman nearby->man alone
_oAKCHh_Av4_000003_000013,object_scene,object_scene,action_relation,exhales vapor->puffs smoke
BHxn3qfPAl4_000018_000028,object_scene,object_scene,who_role,woman->man
BHxn3qfPAl4_000018_000028,object_scene,object_scene,action_relation,neck massage->shoulder massage
BHxn3qfPAl4_000018_000028,object_scene,object_scene,action_relation,eyes closed on back->face down
BcW6Y7eufQE_000239_000249,object_scene,object_scene,action_relation,pink hoodie->green hoodie
BcW6Y7eufQE_000239_000249,object_scene,object_scene,action_relation,adjusts hair->writes in notebook
BcW6Y7eufQE_000239_000249,object_scene,object_scene,who_role,older woman short hair->younger woman ponytail
EA3HCx0yTIY_000281_000291,object_scene,object_scene,who_role,bald man->woman
EA3HCx0yTIY_000281_000291,object_scene,object_scene,action_relation,cymbal->hi-hat
EA3HCx0yTIY_000281_000291,object_scene,object_scene,action_relation,recording studio->practice room
j6CgiNeWQwM_000842_000852,object_scene,object_scene,action_relation,cake->cupcake tray
j6CgiNeWQwM_000842_000852,object_scene,object_scene,action_relation,spatula->whisk
j6CgiNeWQwM_000842_000852,object_scene,object_scene,action_relation,round pan->muffin tin
9fuIpQgnNEQ_000049_000059,object_scene,object_scene,action_relation,convention center->empty plaza
9fuIpQgnNEQ_000049_000059,object_scene,object_scene,action_relation,cosplay line->scattered tourists
9fuIpQgnNEQ_000049_000059,object_scene,object_scene,action_relation,camera on foot->photographer on bicycle
u-olDM7oGGM_000012_000022,object_scene,object_scene,who_role,boy with backpack->girl with umbrella
u-olDM7oGGM_000012_000022,object_scene,object_scene,action_relation,dog on leash->stroller
u-olDM7oGGM_000012_000022,object_scene,object_scene,action_relation,jacket over head->opens umbrella
eb-ufaFcUas_000008_000018,object_scene,object_scene,action_relation,shopping mall->indoor gymnasium
eb-ufaFcUas_000008_000018,object_scene,object_scene,action_relation,bungee trampoline->springboard
eb-ufaFcUas_000008_000018,object_scene,object_scene,action_relation,watch ad->scoreboard
heWD9j45Emw_000225_000235,object_scene,object_scene,action_relation,accordion->acoustic guitar
heWD9j45Emw_000225_000235,object_scene,object_scene,action_relation,full band->solo musician
heWD9j45Emw_000225_000235,object_scene,object_scene,count,saxophone/trumpet->none
2kJxrcNRS9w_000047_000057,object_scene,object_scene,who_role,girl->boy
2kJxrcNRS9w_000047_000057,object_scene,object_scene,action_relation,grass cartwheels->trampoline backflips
2kJxrcNRS9w_000047_000057,object_scene,object_scene,action_relation,gymnastics on lawn->trampoline in yard
N-LZPc27kjM_000229_000239,object_scene,object_scene,action_relation,blue mittens->green gloves
N-LZPc27kjM_000229_000239,object_scene,object_scene,action_relation,needle grooves->glue gun beads
N-LZPc27kjM_000229_000239,object_scene,object_scene,action_relation,clay-like->plastic
RlfVK8z5wJ0_000000_000010,object_scene,object_scene,action_relation,pink jacket->red parka
RlfVK8z5wJ0_000000_000010,object_scene,object_scene,action_relation,yellow marker->orange flag
RlfVK8z5wJ0_000000_000010,object_scene,object_scene,action_relation,lifting device->drilling auger
F-mRnL_XmJU_000000_000010,object_scene,object_scene,action_relation,bed->couch
F-mRnL_XmJU_000000_000010,object_scene,object_scene,count,paper money->confetti
F-mRnL_XmJU_000000_000010,object_scene,object_scene,action_relation,relaxed sleep->sits up laughing
g8Idd47kGqo_000037_000047,object_scene,object_scene,action_relation,tap dance->ballet
g8Idd47kGqo_000037_000047,object_scene,object_scene,action_relation,pink shirt->white tutu
g8Idd47kGqo_000037_000047,object_scene,object_scene,action_relation,wooden barre->mirror on ceiling
d7_SY48r__8_000060_000070,object_scene,object_scene,action_relation,indoor room->outdoor pen
d7_SY48r__8_000060_000070,object_scene,object_scene,action_relation,sheep lying->alpaca standing
d7_SY48r__8_000060_000070,object_scene,object_scene,action_relation,electric clippers->hand shears
iEAWgsSvJAE_000023_000033,object_scene,object_scene,action_relation,black-and-white->color
iEAWgsSvJAE_000023_000033,object_scene,object_scene,action_relation,bicycle->motorcycle
