rank,clip_key,corpus,video_id,category,case_id,priority_score,suggested_window,access_surface,surface_family,review_action,validation_target,why,adqa_fail,ensemble_fail,top_router_windows,reviewer_pass_fail_column,reviewer_notes_column
1,external_iGmGQxox43I_000000_000010,external,iGmGQxox43I_000000_000010,How-to & Instructional,moment_level_authoring,5.964753580129161,0.0-3.6s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,0.0-3.6s agent_action route=action_state_or_agent_cue peak=1.086; 6.4-9.1s scene_spatial route=static_ad_ok_low_gap peak=0.137; 3.6-6.4s scene_spatial route=static_ad_ok_low_gap peak=0.085,blank_for_manual_or_vlm_review,blank_for_evidence_notes
2,inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,moment_level_authoring,5.3599434913284565,13.4-16.4s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,,,13.4-16.4s agent_action route=action_state_or_agent_cue peak=1.079; 10.4-13.4s scene_spatial route=static_ad_ok_low_gap peak=0.256; 7.5-10.4s scene_spatial route=static_ad_ok_low_gap peak=0.176,blank_for_manual_or_vlm_review,blank_for_evidence_notes
3,external_9fuIpQgnNEQ_000049_000059,external,9fuIpQgnNEQ_000049_000059,Event,moment_level_authoring,5.249909737773455,0.0-3.6s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,0.0-3.6s scene_spatial route=layout_replay_or_scene_cue peak=0.433; 3.6-6.4s scene_spatial route=static_ad_ok_low_gap peak=0.027; 9.1-10.0s agent_action route=static_ad_ok_low_gap peak=0.017,blank_for_manual_or_vlm_review,blank_for_evidence_notes
4,inbench_clip_07_09dQut5GJ68_000049_000059,inbench,09dQut5GJ68_000049_000059,Travel,moment_level_authoring,4.92126428930703,10.4-13.4s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,,,10.4-13.4s agent_action route=action_state_or_agent_cue peak=1.163; 0.0-4.5s scene_spatial route=layout_replay_or_scene_cue peak=0.323; 13.4-16.4s scene_spatial route=static_ad_ok_low_gap peak=0.251,blank_for_manual_or_vlm_review,blank_for_evidence_notes
5,external_S-C86j0keqc_000217_000227,external,S-C86j0keqc_000217_000227,Event,moment_level_authoring,4.668160517398154,6.4-9.1s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,6.4-9.1s agent_action route=action_state_or_agent_cue peak=1.154; 3.6-6.4s scene_spatial route=static_ad_ok_low_gap peak=0.129; 0.0-3.6s scene_spatial route=static_ad_ok_low_gap peak=0.114,blank_for_manual_or_vlm_review,blank_for_evidence_notes
6,inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,0HEi6q3bGaw_000011_000021,Travel,moment_level_authoring,4.491110622917129,16.3-17.9s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,,,16.3-17.9s agent_action route=action_state_or_agent_cue peak=0.828; 0.0-3.3s scene_spatial route=layout_replay_or_scene_cue peak=0.358; 3.3-6.5s scene_spatial route=static_ad_ok_low_gap peak=0.146,blank_for_manual_or_vlm_review,blank_for_evidence_notes
7,external_dlBeUWrse3I_000019_000029,external,dlBeUWrse3I_000019_000029,How-to & Instructional,moment_level_authoring,4.246835801555369,0.0-3.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,0.0-3.0s agent_action route=action_state_or_agent_cue peak=1.378; 3.0-6.0s scene_spatial route=static_ad_ok_low_gap peak=0.216; 6.0-9.0s scene_spatial route=static_ad_ok_low_gap peak=0.142,blank_for_manual_or_vlm_review,blank_for_evidence_notes
8,external_iEAWgsSvJAE_000023_000033,external,iEAWgsSvJAE_000023_000033,Film & Animation,moment_level_authoring,4.060358103979609,6.4-9.1s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,6.4-9.1s agent_action route=action_state_or_agent_cue peak=1.304; 3.6-6.4s agent_action route=static_ad_ok_low_gap peak=0.253; 0.0-3.6s scene_spatial route=static_ad_ok_low_gap peak=0.142,blank_for_manual_or_vlm_review,blank_for_evidence_notes
9,external_F-mRnL_XmJU_000000_000010,external,F-mRnL_XmJU_000000_000010,Entertainment,moment_level_authoring,3.976979746909298,0.0-3.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,0.0-3.0s scene_spatial route=layout_replay_or_scene_cue peak=1.440; 9.0-10.0s scene_spatial route=layout_replay_or_scene_cue peak=0.381; 3.0-6.0s scene_spatial route=static_ad_ok_low_gap peak=0.265,blank_for_manual_or_vlm_review,blank_for_evidence_notes
10,external_eb-ufaFcUas_000008_000018,external,eb-ufaFcUas_000008_000018,Entertainment,moment_level_authoring,3.9288164532640506,0.0-3.6s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,0.0-3.6s scene_spatial route=static_ad_ok_low_gap peak=0.196; 6.4-9.1s scene_spatial route=static_ad_ok_low_gap peak=0.094; 3.6-6.4s scene_spatial route=static_ad_ok_low_gap peak=0.029,blank_for_manual_or_vlm_review,blank_for_evidence_notes
11,external_3su234u58DA_000172_000182,external,3su234u58DA_000172_000182,Entertainment,moment_level_authoring,3.912597614973138,9.1-10.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,9.1-10.0s agent_action route=action_state_or_agent_cue peak=0.756; 0.0-3.6s agent_action route=action_state_or_agent_cue peak=0.404; 6.4-9.1s scene_spatial route=static_ad_ok_low_gap peak=0.168,blank_for_manual_or_vlm_review,blank_for_evidence_notes
12,inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,moment_level_authoring,3.9124128892748224,0.0-4.5s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,,,0.0-4.5s agent_action route=action_state_or_agent_cue peak=0.603; 10.4-13.4s scene_spatial route=static_ad_ok_low_gap peak=0.151; 7.5-10.4s scene_spatial route=static_ad_ok_low_gap peak=0.128,blank_for_manual_or_vlm_review,blank_for_evidence_notes
13,external_v2Hr1CH-yb0_000076_000086,external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,moment_level_authoring,3.8712684110916915,9.0-10.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,9.0-10.0s agent_action route=action_state_or_agent_cue peak=1.643; 6.0-9.0s scene_spatial route=layout_replay_or_scene_cue peak=0.443; 0.0-3.0s scene_spatial route=layout_replay_or_scene_cue peak=0.398,blank_for_manual_or_vlm_review,blank_for_evidence_notes
14,external_d7_SY48r__8_000060_000070,external,d7_SY48r__8_000060_000070,How-to & Instructional,moment_level_authoring,3.841891835108596,9.0-10.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,1,1,9.0-10.0s agent_action route=action_state_or_agent_cue peak=1.290; 6.0-9.0s agent_action route=action_state_or_agent_cue peak=0.810; 0.0-3.0s scene_spatial route=static_ad_ok_low_gap peak=0.153,blank_for_manual_or_vlm_review,blank_for_evidence_notes
15,external_0m0-Q0zz_-c_000112_000122,external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,moment_level_authoring,3.7436902172210695,0.0-3.6s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,0.0-3.6s scene_spatial route=layout_replay_or_scene_cue peak=1.001; 6.4-9.1s scene_spatial route=layout_replay_or_scene_cue peak=0.321; 9.1-10.0s agent_action route=static_ad_ok_low_gap peak=0.237,blank_for_manual_or_vlm_review,blank_for_evidence_notes
