video_id,category,tier,gt,adqa_score,adqa_yes_rate,n_questions
0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier0_cross,0,0.0,0.0,5
0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier1_vatex_short,1,0.2,0.0,5
0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier2_vatex_long,2,0.2,0.0,5
0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier3_va11y,3,0.5,0.4,5
0t0DB1B1w8Y_000000_000010,Sports,tier0_cross,0,0.0,0.0,5
0t0DB1B1w8Y_000000_000010,Sports,tier1_vatex_short,1,0.3,0.0,5
0t0DB1B1w8Y_000000_000010,Sports,tier2_vatex_long,2,0.2,0.0,5
0t0DB1B1w8Y_000000_000010,Sports,tier3_va11y,3,0.8,0.6,5
1-jIze6gy0g_000026_000036,How-to & Instructional,tier0_cross,0,0.0,0.0,5
1-jIze6gy0g_000026_000036,How-to & Instructional,tier1_vatex_short,1,0.1,0.0,5
1-jIze6gy0g_000026_000036,How-to & Instructional,tier2_vatex_long,2,0.1,0.0,5
1-jIze6gy0g_000026_000036,How-to & Instructional,tier3_va11y,3,0.1,0.0,5
1HUWWCLza0w_000000_000010,Sports,tier0_cross,0,0.0,0.0,5
1HUWWCLza0w_000000_000010,Sports,tier1_vatex_short,1,0.4,0.2,5
1HUWWCLza0w_000000_000010,Sports,tier2_vatex_long,2,0.4,0.2,5
1HUWWCLza0w_000000_000010,Sports,tier3_va11y,3,0.7,0.4,5
1YemrpNBpf4_000001_000011,Entertainment,tier0_cross,0,0.0,0.0,5
1YemrpNBpf4_000001_000011,Entertainment,tier1_vatex_short,1,0.0,0.0,5
1YemrpNBpf4_000001_000011,Entertainment,tier2_vatex_long,2,0.0,0.0,5
1YemrpNBpf4_000001_000011,Entertainment,tier3_va11y,3,0.1,0.0,5
1kLhK8KfIEw_000020_000030,How-to & Instructional,tier0_cross,0,0.0,0.0,5
1kLhK8KfIEw_000020_000030,How-to & Instructional,tier1_vatex_short,1,0.0,0.0,5
1kLhK8KfIEw_000020_000030,How-to & Instructional,tier2_vatex_long,2,0.1,0.0,5
1kLhK8KfIEw_000020_000030,How-to & Instructional,tier3_va11y,3,0.4,0.2,5
21T1JDdJgsM_000047_000057,Entertainment,tier0_cross,0,0.0,0.0,5
21T1JDdJgsM_000047_000057,Entertainment,tier1_vatex_short,1,0.4,0.4,5
