target,feature_group,dataset,feature,n,positives,auc_high_value_bad,best_direction_auc,best_direction,spearman_vs_target,random_shuffle_p_ge_auc,category_shuffle_p_ge_auc
adqa_fail,tribe_gap_route,external60,accessibility_gap,60,10,0.794,0.794,high_bad,0.3796050945199444,0.0011997600479904018,0.0027994401119776045
adqa_fail,category_only,external60,category_loo_adqa_fail_rate,60,10,0.7,0.7,high_bad,0.2751714623100726,0.01779644071185763,1.0
adqa_fail,duration_word_count,external60,tier3_word_count,60,10,0.286,0.714,low_bad,-0.2766149504345923,0.9878024395120976,0.9902019596080783
adqa_fail,transcript_speech,external60,transcript_char_count,60,10,0.267,0.733,low_bad,-0.30164497749757047,0.9928014397120576,0.9952009598080384
ensemble_fail,tribe_gap_route,external60,accessibility_gap,60,2,1.0,1.0,high_bad,0.3109558264117891,0.0015996800639872025,0.007598480303939212
ensemble_fail,category_only,external60,category_loo_ensemble_fail_rate,60,2,0.2413793103448276,0.7586206896551724,low_bad,-0.1760340897595817,1.0,1.0
ensemble_fail,duration_word_count,external60,tier3_word_count,60,2,0.08189655172413793,0.9181034482758621,low_bad,-0.26030925998542565,0.9860027994401119,0.9934013197360528
ensemble_fail,transcript_speech,external60,transcript_available,60,2,0.27586206896551724,0.7241379310344828,low_bad,-0.32258958354055234,0.9974005198960207,1.0
clip_fail,tribe_gap_route,external60,scene_agent_peak_apart,60,20,0.6375,0.6375,high_bad,0.259416646850118,0.04099180163967207,0.07318536292741452
clip_fail,category_only,external60,category_loo_clip_fail_rate,60,20,0.305,0.6950000000000001,low_bad,-0.3219176042590193,0.9932013597280543,1.0
clip_fail,duration_word_count,external60,tier3_word_count,60,20,0.4475,0.5525,low_bad,-0.08583831234946629,0.739252149570086,0.7254549090181963
clip_fail,transcript_speech,external60,transcript_available,60,20,0.475,0.525,low_bad,-0.0944911182523068,0.8954209158168366,0.5860827834433113
t3_lost_any,tribe_gap_route,external60,description_loss,60,6,0.7314814814814815,0.7314814814814815,high_bad,0.2405960305985909,0.03059388122375525,0.04239152169566087
t3_lost_any,category_only,external60,category_loo_t3_lost_any_rate,60,6,0.7530864197530864,0.7530864197530864,high_bad,0.27925342608176756,0.013597280543891222,1.0
t3_lost_any,duration_word_count,external60,tier3_word_count,60,6,0.2361111111111111,0.7638888888888888,low_bad,-0.27458100052628936,0.9848030393921215,0.9634073185362927
t3_lost_any,transcript_speech,external60,transcript_char_count,60,6,0.33796296296296297,0.662037037037037,low_bad,-0.16886590569712925,0.9008198360327935,0.9578084383123375
