source,video_id,q_idx,question_type,is_scene_model_question,question
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,Q76JRCyTnSc_000007_000017,0,action_relation,1,"What object does the chef throw at the wall, and what happens to it?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,Q76JRCyTnSc_000007_000017,1,other,0,What language does the chef use when counting down before throwing?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,Q76JRCyTnSc_000007_000017,2,other,0,What does the chef's facial expression convey after the tomato is pinned?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,058y9xGmmTQ_000206_000216,0,who_role,1,"What is the man in the gray hoodie doing, and what physical signs of difficulty does he show?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,058y9xGmmTQ_000206_000216,1,who_role,1,How are the people around the man reacting to what he is doing?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,058y9xGmmTQ_000206_000216,2,object_attr,0,"What text is written on the tray liner, and what is used to write it?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,vLGOZvJ_v4Q_000285_000295,0,who_role,1,What color is the man's shirt and what type of cookware is he using?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,vLGOZvJ_v4Q_000285_000295,1,other,0,What ingredients are being cooked together in the skillet?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,vLGOZvJ_v4Q_000285_000295,2,who_role,1,"What utensil does the man use to cook, and what cooking technique does he demonstrate?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,B0EKYDSv_yQ_000002_000012,0,who_role,1,"What is the girl doing with the eggs, and what utensil is she using?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,B0EKYDSv_yQ_000002_000012,1,who_role,1,Who does the girl say the eggs are for?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,B0EKYDSv_yQ_000002_000012,2,who_role,1,Describe the kitchen setting and the girl's demeanor while cooking.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,PbGvLf7HvXQ_000063_000073,0,other,0,"What ingredient is being dropped into the bowl, and what tool is used to drop it?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,PbGvLf7HvXQ_000063_000073,1,other,0,"What type of bowl is used, and what ingredient is already in it?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,PbGvLf7HvXQ_000063_000073,2,who_role,1,How does the second person combine the garlic and spinach together?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,0HEi6q3bGaw_000011_000021,0,other,0,"What are the two people riding on, and what is the landscape like?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,0HEi6q3bGaw_000011_000021,1,other,0,What does one of the riders do while they are paused and conversing?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,0HEi6q3bGaw_000011_000021,2,action_relation,1,What happens after the riders finish their conversation?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,09dQut5GJ68_000049_000059,0,who_role,1,What is the man doing on the motorcycle?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,09dQut5GJ68_000049_000059,1,other,0,What connects the sled to the motorcycle?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,09dQut5GJ68_000049_000059,2,object_attr,0,What color is the sled being pulled?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,hOirknJr3os_000001_000011,0,object_attr,0,What animal is featured on the KOA Ranch sign?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,hOirknJr3os_000001_000011,1,action_relation,1,Describe what the horses are doing in the pasture scene.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,hOirknJr3os_000001_000011,2,action_relation,1,What activity are the people shown doing on the wooded trail?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,TF4q9y0rJoc_000000_000010,0,other,0,What type of winter sport is being performed in this clip?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,TF4q9y0rJoc_000000_000010,1,other,0,Describe the skier's movement pattern as they descend the slope.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,TF4q9y0rJoc_000000_000010,2,other,0,What time of day is this skiing event taking place?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,z8Q-s8AthrA_000002_000012,0,who_role,1,What color clothing is the girl wearing during the track and field event?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,z8Q-s8AthrA_000002_000012,1,who_role,1,What two athletic activities does the girl perform in this clip?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,z8Q-s8AthrA_000002_000012,2,who_role,1,What is the girl doing when she stands on the track speaking?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,abaLFY_GI8k_000295_000305,0,spatial_relation,1,What sport are the boys playing and where does it take place?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,abaLFY_GI8k_000295_000305,1,other,0,Describe the two main actions that occur during the game.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,abaLFY_GI8k_000295_000305,2,other,0,What is the condition of the net and what is the overall tone of the game?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,KFcH6BYZWhc_000011_000021,0,spatial_relation,1,"What sport are the players practicing, and where does this take place?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,KFcH6BYZWhc_000011_000021,1,action_relation,1,Describe what one player is doing with the puck during the scene.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,KFcH6BYZWhc_000011_000021,2,other,0,What type of drills are the other players engaged in?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,UDD6YcChywc_000000_000010,0,who_role,1,What sport is being played and what object does the man slide down the ice?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,UDD6YcChywc_000000_000010,1,who_role,1,What happens to the man after he releases the curling stone?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,UDD6YcChywc_000000_000010,2,who_role,1,How do the onlookers react to the man falling?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,OGWuj_FtaQc_000010_000020,0,who_role,1,"What is the man wearing, and what is he doing along the fence?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,OGWuj_FtaQc_000010_000020,1,who_role,1,"What animal is on the other side of the fence, and how does it respond to the man?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,OGWuj_FtaQc_000010_000020,2,who_role,1,What type of game or interaction is happening between the man and the deer?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,kOf-vl-GmVI_000115_000125,0,who_role,1,"What is the woman wearing on her head, and what color is it?"
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,kOf-vl-GmVI_000115_000125,1,who_role,1,What action does the woman perform with the horse while riding?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,kOf-vl-GmVI_000115_000125,2,spatial_relation,1,Describe the setting where this scene takes place.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,gjoZic4WjiQ_000012_000022,0,who_role,1,What happens to the first girl as she runs up the snowy hill?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,gjoZic4WjiQ_000012_000022,1,other,0,Describe the playground setting and what's between the two blue slides.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,gjoZic4WjiQ_000012_000022,2,who_role,1,What does the second girl do after the first girl's attempt?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,q2ZBVyR1k-U_000021_000031,0,who_role,1,What does the man in the beekeeper's suit do with his protective hood?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,q2ZBVyR1k-U_000021_000031,1,who_role,1,What is the casually dressed man holding and doing?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,q2ZBVyR1k-U_000021_000031,2,spatial_relation,1,Where does this scene take place and what is the beekeeper standing in?
