video_id,window,condition,dominant_type,second_type,ad_text,profile_alignment,dominant_keyword_coverage,weighted_keyword_coverage,specificity_score,word_count
0m0-Q0zz_-c_000112_000122,0,baseline,visual_form,face_character,Man in suit demonstrates tying white bow tie on knee.,0.5232631101578629,0.0,1.6815827915759138,0.2,10
0m0-Q0zz_-c_000112_000122,0,gap_targeted,visual_form,face_character,White bow tie contrasts sharply against dark suit fabric.,,0.0,0.0,0.0,9
0m0-Q0zz_-c_000112_000122,1,baseline,visual_form,face_character,Man in suit ties white bow tie against his knee.,0.5315050877945852,0.0,0.2755737204941472,0.2,10
0m0-Q0zz_-c_000112_000122,1,gap_targeted,visual_form,face_character,White bow tie contrasts sharply against dark suit fabric.,,0.0,0.0,0.0,9
0t0DB1B1w8Y_000000_000010,2,baseline,motion_action,object_body,Athlete lands gracefully on red foam pad after hurdles.,0.11553498107886707,0.0,0.20671396050606872,0.1111111111111111,9
0t0DB1B1w8Y_000000_000010,2,gap_targeted,motion_action,object_body,"She sprints forward, explosively launching over each hurdle, landing firmly on red foam.",0.2782597561475071,0.0,0.704079514212186,0.15384615384615385,13
0t0DB1B1w8Y_000000_000010,1,baseline,scene_spatial,face_character,Athlete lands gracefully on red foam pad after hurdles.,0.23802895283884878,0.0,0.021361809933281795,0.1111111111111111,9
0t0DB1B1w8Y_000000_000010,1,gap_targeted,scene_spatial,face_character,Outdoor track setting; spectators gathered in background watching the athlete.,0.7318383371749995,1.5,0.06567852891074771,0.1,10
1-jIze6gy0g_000026_000036,4,baseline,scene_spatial,visual_form,Workers seal bags on moving conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,4,gap_targeted,scene_spatial,visual_form,"Workers stationed along conveyor belt, bags moving down the line.",,0.0,0.0,0.0,10
1-jIze6gy0g_000026_000036,3,baseline,scene_spatial,visual_form,Workers seal bags on moving conveyor belt.,,0.0,0.0,0.0,7
1-jIze6gy0g_000026_000036,3,gap_targeted,scene_spatial,visual_form,"Workers positioned along conveyor belt, stacked bags nearby.",,0.0,0.0,0.0,8
1HUWWCLza0w_000000_000010,0,baseline,scene_spatial,visual_form,Young man shoots basketball from distance into hoop.,0.3916031060171917,0.0,0.3054227038091244,0.125,8
1HUWWCLza0w_000000_000010,2,baseline,visual_form,face_character,"Young man shoots basketball from distance, ball swishes through hoop.",0.15987671716449614,0.0,0.11818780649134802,0.1,10
1HUWWCLza0w_000000_000010,2,gap_targeted,visual_form,face_character,"Basketball arcs through bright air, swishes cleanly through net.",,0.0,0.0,0.0,9
