clip_idx,category,target,failed
0,Food & Cooking,all4_mean_full_order_fail,0
1,Food & Cooking,all4_mean_full_order_fail,0
3,Food & Cooking,all4_mean_full_order_fail,0
4,Food & Cooking,all4_mean_full_order_fail,0
5,Food & Cooking,all4_mean_full_order_fail,0
6,Travel,all4_mean_full_order_fail,0
7,Travel,all4_mean_full_order_fail,0
8,Travel,all4_mean_full_order_fail,0
9,Sports,all4_mean_full_order_fail,0
11,Sports,all4_mean_full_order_fail,0
12,Sports,all4_mean_full_order_fail,1
13,Sports,all4_mean_full_order_fail,0
14,Sports,all4_mean_full_order_fail,0
15,Pets & Animals,all4_mean_full_order_fail,1
16,Pets & Animals,all4_mean_full_order_fail,0
17,Pets & Animals,all4_mean_full_order_fail,0
18,Pets & Animals,all4_mean_full_order_fail,0
19,Pets & Animals,all4_mean_full_order_fail,0
0,Food & Cooking,all4_mean_low_tier3_margin_lt_0.05,0
1,Food & Cooking,all4_mean_low_tier3_margin_lt_0.05,0
3,Food & Cooking,all4_mean_low_tier3_margin_lt_0.05,0
4,Food & Cooking,all4_mean_low_tier3_margin_lt_0.05,0
5,Food & Cooking,all4_mean_low_tier3_margin_lt_0.05,0
6,Travel,all4_mean_low_tier3_margin_lt_0.05,0
7,Travel,all4_mean_low_tier3_margin_lt_0.05,0
8,Travel,all4_mean_low_tier3_margin_lt_0.05,0
9,Sports,all4_mean_low_tier3_margin_lt_0.05,0
11,Sports,all4_mean_low_tier3_margin_lt_0.05,0
12,Sports,all4_mean_low_tier3_margin_lt_0.05,0
13,Sports,all4_mean_low_tier3_margin_lt_0.05,0
14,Sports,all4_mean_low_tier3_margin_lt_0.05,0
15,Pets & Animals,all4_mean_low_tier3_margin_lt_0.05,1
16,Pets & Animals,all4_mean_low_tier3_margin_lt_0.05,0
17,Pets & Animals,all4_mean_low_tier3_margin_lt_0.05,0
18,Pets & Animals,all4_mean_low_tier3_margin_lt_0.05,0
19,Pets & Animals,all4_mean_low_tier3_margin_lt_0.05,0
0,Food & Cooking,all4_mean_tier2_tier1_inversion,0
1,Food & Cooking,all4_mean_tier2_tier1_inversion,0
3,Food & Cooking,all4_mean_tier2_tier1_inversion,0
4,Food & Cooking,all4_mean_tier2_tier1_inversion,0
5,Food & Cooking,all4_mean_tier2_tier1_inversion,0
6,Travel,all4_mean_tier2_tier1_inversion,0
7,Travel,all4_mean_tier2_tier1_inversion,0
8,Travel,all4_mean_tier2_tier1_inversion,0
9,Sports,all4_mean_tier2_tier1_inversion,0
11,Sports,all4_mean_tier2_tier1_inversion,0
12,Sports,all4_mean_tier2_tier1_inversion,1
13,Sports,all4_mean_tier2_tier1_inversion,0
14,Sports,all4_mean_tier2_tier1_inversion,0
15,Pets & Animals,all4_mean_tier2_tier1_inversion,0
