clip_idx,video_id,category,question_model,tribe_mean_need,tribe_route,q_idx,question,answer_key,required_visual_evidence,importance,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,extended/integrated AD likely needed,0,What is the man in the white shirt holding and demonstrating?,"A small mechanical or electronic device, possibly a component or tool",man holding small object in hand; gesturing toward object; white shirt,critical,High-need window (0-3s): main action is holding/presenting an object; essential for understanding the clip's purpose
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,extended/integrated AD likely needed,1,What type of setting or environment is the man in?,"A laboratory or technical workspace with equipment, computers, and machinery",aquarium/tank in background; computer monitors; industrial equipment on shelves; workbenches,critical,High-need window (0-3s): setting context helps blind listener understand the professional/technical nature of the demonstration
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,extended/integrated AD likely needed,2,What is visible on the wooden board or surface shown in the later frames?,"Documents, papers, and sticky notes with yellow and pink highlighting attached to board",wooden board/door; papers with text; yellow sticky notes; pink papers,useful,High-need window (8.9-14.9s): visual documentation of work or planning; indicates organized project management
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,extended/integrated AD likely needed,3,How many times does the man's facial expression or gesture change across the frames?,"His expression shifts from neutral/serious to smiling, showing engagement or enthusiasm",neutral expression in first frames; smile in third frame,useful,High-need window (0-3s): emotional tone conveys confidence and positive attitude toward the demonstration
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,extended/integrated AD likely needed,4,What organizational or planning materials are visible in the workspace?,"Multiple printed documents and sticky notes organized on a board, suggesting active project tracking",board with papers; sticky notes; organized layout; multiple documents,useful,High-need window (11.9-14.9s): visual evidence of systematic work process; helps blind listener understand scope of activity
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,standard AD priority,0,What is the man in the gray hoodie doing with his hands in the opening seconds?,"He is eating food, bringing it to his mouth with both hands.",man eating; hands near mouth; food item,critical,High-need window (0-3s). Main action establishes context for entire clip.
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,standard AD priority,1,What food brand or restaurant signage is visible in the final frame?,Burger King signage with text reading 'BURGER EATING',Burger King logo; text overlay; branded packaging,critical,Identifies the setting and context. Text overlay crucial for understanding the clip's purpose.
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,standard AD priority,2,Describe the man's appearance and clothing in the opening shots.,Bald man wearing a light blue or gray hoodie sweatshirt.,bald head; gray hoodie; profile view,useful,Establishes main subject identity for blind listener in high-need window.
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,standard AD priority,3,What type of setting or location is shown in the background?,Indoor institutional or commercial space with glass windows and fluorescent lighting.,glass windows; ceiling lights; interior walls,useful,Contextualizes where the eating activity is taking place.
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,standard AD priority,4,What is the man holding or consuming in the high-need opening sequence?,"An orange or yellow-colored food item, likely a burger or sandwich.",orange food item; hands holding food; eating motion,critical,High-need window (0-3s). Identifies the key object central to the action.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3732172811284784,standard AD priority,0,What is the person cooking in the black skillet?,An omelet with red peppers or tomatoes,yellow omelet; red ingredients mixed in; black skillet on stovetop,critical,Main action in high-need window; blind listener needs to know what dish is being prepared
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3732172811284784,standard AD priority,1,What cooking utensil is the person using to manipulate the omelet?,A fork or spatula,utensil in hand; touching omelet in pan,critical,Key action detail in opening seconds; essential for understanding cooking technique
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3732172811284784,standard AD priority,2,What type of cooking surface or appliance is visible in the background?,A white electric stove or cooktop,white appliance; stovetop burners; kitchen setting,useful,Establishes kitchen setting and cooking context for blind listener
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3732172811284784,standard AD priority,3,What liquid ingredient is the person pouring into the second skillet?,Oil or cooking liquid from a bottle,bottle being held; liquid pouring; second black pan,critical,Visible action in high-need window; shows preparation step blind listener cannot see
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.3732172811284784,standard AD priority,4,How many black skillets are on the stovetop during this cooking sequence?,Two black skillets,two pans visible; one with omelet; one being prepared,useful,Helps blind listener understand the spatial setup and parallel cooking tasks
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.1987337515089805,standard AD priority,0,What is the child holding and doing with it at the kitchen counter?,"Holding tongs, using them to cook or serve food from a skillet",child with tongs; black skillet with food; kitchen counter,critical,Main action in high-need window (0-3s); essential for understanding the scene
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.1987337515089805,standard AD priority,1,What type of food is visible in the skillet?,Scrambled eggs or similar yellow/white cooked food,yellow food in black skillet; cooked texture,critical,Key object in high-need window; helps blind listener visualize the cooking activity
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.1987337515089805,standard AD priority,2,Where is this scene taking place?,In a kitchen at a granite or speckled countertop,kitchen setting; granite counter; appliances in background,useful,Setting context needed for spatial understanding of the activity
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.1987337515089805,standard AD priority,3,What is on the counter next to the skillet?,A white plate and a blue container or seasoning bottle,white plate; blue container; counter items,useful,Supporting objects that contextualize the cooking/serving setup
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.1987337515089805,standard AD priority,4,What is the child's apparent emotional state during this activity?,"Happy and engaged, smiling while cooking",smiling expression; focused posture; positive body language,critical,Emotional tone in high-need window (0-6s) conveys the nature of the moment
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.6596447063981404,extended/integrated AD likely needed,0,What is being prepared in the wooden bowl?,Fresh green leafy vegetables or salad greens are being mixed by hand,wooden bowl; green leafy vegetables; hands mixing,critical,Main action across all high-need windows; establishes core activity for blind listener
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.6596447063981404,extended/integrated AD likely needed,1,Describe the hand motions being used to prepare the vegetables.,"Hands are tossing, turning, and mixing the greens together in the bowl",hands in motion; vegetables being lifted; mixing action,critical,Visible throughout high-need windows; essential for understanding the preparation technique
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.6596447063981404,extended/integrated AD likely needed,2,What container holds the vegetables being prepared?,A large round wooden bowl with handles on the sides,wooden bowl; round shape; handles,useful,Key object visible in all frames; helps blind listener visualize the workspace
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.6596447063981404,extended/integrated AD likely needed,3,What is visible on the wooden surface to the right of the bowl?,A white block of cheese or similar ingredient on a cutting board,wooden surface; white block; cutting board,useful,Secondary ingredient visible in high-need windows; indicates multi-step food preparation
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0.6596447063981404,extended/integrated AD likely needed,4,How many people are visible preparing the food in this clip?,Two people; their hands are visible working with the vegetables together,multiple hands; different arm positions; collaborative action,critical,"Visible throughout; establishes that this is a shared cooking activity, not solo"
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,0.3976061903273661,standard AD priority,0,"What vehicles are visible on the snowy surface, and what are they doing?",Multiple snowmobiles are lined up and riding across a snowy field or frozen lake.,snowmobiles; snowy terrain; riders in motion,critical,High-need window (0-3s): establishes main action and setting for entire clip.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,0.3976061903273661,standard AD priority,1,Describe the landscape and weather conditions visible in this scene.,"Open snowy field or frozen lake with bare trees lining the edges, clear blue sky, bright sunlight.",snow-covered ground; bare trees; clear sky; shadows,critical,High-need window (0-3s): visual context essential for understanding setting and safety conditions.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,0.3976061903273661,standard AD priority,2,What color are the snowmobiles visible in the foreground of the frames?,Green and orange/red snowmobiles are visible in the foreground.,green snowmobile; orange/red snowmobile; foreground position,useful,Helps listener distinguish between multiple vehicles and track spatial positioning.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,0.3976061903273661,standard AD priority,3,What is the relative position of the snowmobiles as the sequence progresses?,The black snowmobile moves away from the camera while foreground snowmobiles remain stationary or closer.,receding snowmobile; distance change; perspective shift,critical,High-need window (11.9-17.9s): motion and spatial relationships critical for understanding action.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,0.3976061903273661,standard AD priority,4,What terrain features or obstacles are visible on the snowy surface?,Tracks and grooves from previous snowmobile use are visible across the snow.,snow tracks; grooved patterns; worn paths,useful,Indicates established trail usage and helps listener understand the riding environment.
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,0.3871231532659878,standard AD priority,0,"What is the person doing in the snow, and what equipment are they using?",Person is skiing or snowboarding down a snowy slope with visible skis or board.,skis or snowboard; downward motion; snow-covered terrain,critical,High-need window 14.9–16.4s: core action defining the entire clip activity.
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,0.3871231532659878,standard AD priority,1,What color is the main equipment visible in the frames?,Blue skis or snowboard visible against white snow.,blue equipment; snow background,useful,Helps listener visualize the contrast and identify the equipment clearly.
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,0.3871231532659878,standard AD priority,2,What is the setting or terrain where this activity is taking place?,A snowy mountain slope or ski run covered in white snow.,snow-covered slope; winter terrain,critical,High-need window 11.9–14.9s: establishes location context essential for understanding scene.
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,0.3871231532659878,standard AD priority,3,What visual pattern or marks are visible on the snow surface?,Tracks or lines visible in the snow from skiing/snowboarding movement.,snow tracks; linear patterns,useful,Indicates motion and terrain texture; helps blind listener understand slope conditions.
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,0.3871231532659878,standard AD priority,4,What is the perspective or camera angle showing in these frames?,First-person or close overhead view of skier/snowboarder moving down slope.,downward angle; equipment in foreground; slope ahead,critical,High-need window 8.9–11.9s: perspective is essential for spatial understanding of action.
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,0.3789945682630365,standard AD priority,0,What type of facility or venue is shown in the video?,An equestrian center or horse ranch with riding facilities,horse ranch sign with silhouette; wooden fencing; flags; manicured grounds,critical,Establishes setting context immediately; blind listener needs to understand location type early
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,0.3789945682630365,standard AD priority,1,What animals are visible in the middle section of the video?,Two horses—one dark brown and one brown and white,horses grazing; contrasting coat colors; pasture setting,critical,Main visual subject during high-need window; essential for understanding scene content
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,0.3789945682630365,standard AD priority,2,What signage or branding appears throughout the video?,KOA logo appears in corner of frames,KOA yellow and red logo; consistent watermark,useful,Identifies video source; helps blind listener understand context and organization
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,0.3789945682630365,standard AD priority,3,What structures or infrastructure are visible at the facility?,"Wooden rail fencing, flagpoles, yellow directional markers, and covered structures",wooden fencing; multiple flags; yellow signs; overhead structures,critical,Describes physical layout; helps blind listener visualize the equestrian facility environment
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,0.3789945682630365,standard AD priority,4,What is happening in the final frames of the video?,A horse is shown in a wooded or forested area among trees and vegetation,horse in forest; dense green foliage; natural woodland setting,useful,Transition to different location; shows facility includes natural trail or wooded areas
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.5830793296168879,extended/integrated AD likely needed,0,What sport or activity is the person performing on the snow-covered surface?,Skiing down a snowy slope at night,person in dark clothing; skis on feet; white snow surface; nighttime setting with artificial lighting,critical,Main action in high-need window (0-3s); establishes core activity and setting for entire clip
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.5830793296168879,extended/integrated AD likely needed,1,Describe the lighting conditions and time of day for this skiing activity.,Nighttime skiing with artificial floodlights illuminating the slope,dark sky; artificial lights visible; lit snow surface; shadows cast by lights,critical,Essential context in high-need window (3-6s); affects how listener understands the environment and safety setup
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.5830793296168879,extended/integrated AD likely needed,2,What markers or boundary indicators are visible on the ski slope?,Tall poles or gates marking the ski run boundaries,vertical poles on slope; poles in multiple frames; spaced along the run,useful,Visible in high-need window (6-8.9s); helps listener understand slope structure and course layout
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.5830793296168879,extended/integrated AD likely needed,3,What is the skier's body position and movement direction as they descend?,"Skier moving downslope with forward-leaning posture, navigating the marked course",person leaning forward; downward movement across frames; skis pointing downslope,critical,Key visual information in high-need window (8.9-11.9s); describes active skiing technique and progression
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.5830793296168879,extended/integrated AD likely needed,4,What structures or buildings are visible in the background of the ski area?,Dark buildings and structures visible at the edges of the illuminated slope,structures in background; buildings at slope perimeter; dark silhouettes,useful,Provides spatial context in high-need window (11.9-14.9s); helps listener understand the ski facility setting
11,z8Q-s8AthrA_000002_000012,Sports,anthropic:claude-haiku-4-5-20251001,0.4782412280361204,extended/integrated AD likely needed,0,What is the young person in the yellow shirt doing at the track?,Standing and smiling at an athletic stadium or training facility,yellow shirt; athletic track; smiling at camera,critical,Establishes main subject and setting during opening high-need window (0-3s)
11,z8Q-s8AthrA_000002_000012,Sports,anthropic:claude-haiku-4-5-20251001,0.4782412280361204,extended/integrated AD likely needed,1,What athletic equipment is visible on the track field?,High jump bar and standards with a landing mat beneath,high jump apparatus; red/brown track; landing mat,critical,Key visual context for understanding the athletic activity in high-need window (6-8.9s)
11,z8Q-s8AthrA_000002_000012,Sports,anthropic:claude-haiku-4-5-20251001,0.4782412280361204,extended/integrated AD likely needed,2,What is the person attempting to do with the high jump bar?,Jump over the horizontal bar using the high jump technique,person near bar; jumping motion; bar clearance attempt,critical,Main action occurs in critical high-need window (8.9-14.9s) where visual info is most missed
11,z8Q-s8AthrA_000002_000012,Sports,anthropic:claude-haiku-4-5-20251001,0.4782412280361204,extended/integrated AD likely needed,3,Describe the location and setting where this athletic activity takes place.,"Professional or school athletic stadium with red track, field, and spectator areas",red track surface; goal posts; stadium structure; buildings,useful,Spatial context helps blind listener understand the athletic venue and environment
11,z8Q-s8AthrA_000002_000012,Sports,anthropic:claude-haiku-4-5-20251001,0.4782412280361204,extended/integrated AD likely needed,4,What color is the landing mat beneath the high jump bar?,Blue and red colored mat positioned under the jump apparatus,blue mat section; red mat section; safety padding,useful,Safety equipment detail relevant to understanding the high jump setup and sport
12,abaLFY_GI8k_000295_000305,Sports,anthropic:claude-haiku-4-5-20251001,0.5182596900896645,extended/integrated AD likely needed,0,What sport or activity are the young people playing in this outdoor setting?,Volleyball; they are playing volleyball on a dirt court.,net stretched across court; players in ready positions; dirt playing surface,critical,Core activity is invisible to blind listener; happens throughout high-need windows (8.9–23.8s).
12,abaLFY_GI8k_000295_000305,Sports,anthropic:claude-haiku-4-5-20251001,0.5182596900896645,extended/integrated AD likely needed,1,Describe the playing surface and immediate surroundings of the volleyball court.,"Red-brown dirt court with large tree, green fence, and grass field visible beyond.",dirt/clay court; large tree trunk; metal fence; green grass,critical,Setting context essential for spatial understanding; visible in frames from high-need window t=11.9–17.9s.
12,abaLFY_GI8k_000295_000305,Sports,anthropic:claude-haiku-4-5-20251001,0.5182596900896645,extended/integrated AD likely needed,2,How many players are visible on the court at the moment shown in these frames?,Four players; two on each side of the net.,player in blue shirt; player in striped shirt; opposing players,useful,Team composition and positioning critical for understanding game dynamics in high-need window t=14.9–20.9s.
12,abaLFY_GI8k_000295_000305,Sports,anthropic:claude-haiku-4-5-20251001,0.5182596900896645,extended/integrated AD likely needed,3,What color clothing are the players wearing?,Blue shirts and dark shorts; one player wears striped red and dark shirt.,blue shirt; striped shirt; dark shorts,useful,Visual distinction helps blind listener track individual players during action sequences (t=17.9–23.8s).
12,abaLFY_GI8k_000295_000305,Sports,anthropic:claude-haiku-4-5-20251001,0.5182596900896645,extended/integrated AD likely needed,4,What infrastructure or structures are visible in the background of the court?,"Metal mesh fence, green storage structure or building, and trees frame the court.",metal fence; green structure; trees,critical,Environmental context establishes location as organized sports facility; visible in high-need window t=11.9–14.9s.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic:claude-haiku-4-5-20251001,0.3757655783862,standard AD priority,0,What sport is being played in this indoor facility?,Ice hockey,ice rink; hockey sticks; puck; goal net,critical,Establishes setting and activity; essential context for understanding all subsequent action.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic:claude-haiku-4-5-20251001,0.3757655783862,standard AD priority,1,Describe the main player's position and movement during the opening seconds.,"Player in dark clothing skating forward with hockey stick, pursuing the puck.",player skating; hockey stick; puck on ice; forward motion,critical,High-need window (0–3s); captures primary action blind listener cannot see without AD.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic:claude-haiku-4-5-20251001,0.3757655783862,standard AD priority,2,What is visible on the ice surface that the player is tracking?,A small black puck,puck; ice surface; player focus,critical,The puck is the focal point of action; essential for understanding gameplay.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic:claude-haiku-4-5-20251001,0.3757655783862,standard AD priority,3,What equipment or structures are visible in the rink during the later sequence?,"Goal net, boards, penalty box, overhead lighting",goal net; boards; rink structure; lighting,useful,High-need window (8.9–11.9s); spatial context helps blind listener orient to rink layout.
