corpus,video_id,category,tier,gt,visual_fidelity,completeness,informativeness,overall,raw_text
inbench,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,65.0,30.0,35.0,45.0,
inbench,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,25.0,20.0,18.0,21.0,
inbench,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,44.0,46.0,40.0,43.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,92.0,74.0,70.0,82.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,60.0,45.0,50.0,52.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,54.0,60.0,56.0,56.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,72.0,30.0,35.0,46.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,42.0,52.0,48.0,46.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,32.0,58.0,44.0,41.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,65.0,45.0,50.0,56.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,65.0,30.0,35.0,43.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,67.0,70.0,63.0,66.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,88.0,45.0,50.0,61.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,82.0,30.0,35.0,49.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,66.0,62.0,64.0,64.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,55.0,30.0,35.0,40.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,18.0,25.0,20.0,20.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,86.0,72.0,76.0,80.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,48.0,35.0,33.0,38.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,72.0,58.0,55.0,62.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,78.0,74.0,72.0,75.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,55.0,25.0,30.0,38.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,78.0,58.0,60.0,66.0,
