video_id,expert_words,halluc_words,para_words,adqa_expert,adqa_halluc,adqa_para,clip_expert,clip_halluc,clip_para,expert_text,halluc_text,para_text
3ufJNSez5Is_000008_000018,61,61,59,0.8,0.8,0.7,0.32586464285850525,0.3236630856990814,0.33109211921691895,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.","In a pottery workshop, a woman is shaping a clay bowl on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby sits on a wooden stool, reaching for a tool handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.","A woman in a pottery workshop shapes a clay vase using a spinning wheel. Her hands meticulously sculpt the clay, concentrating on its shape. Close by, a man kneels upon a wooden board, extending his hand for a phone passed to him from off-camera. The studio abounds with ceramic implements and completed works, fostering an inventive and busy ambiance."
_oAKCHh_Av4_000003_000013,48,48,53,0.3,0.3,0.3,0.308248370885849,0.2589109241962433,0.31188490986824036,"In a cozy living room, a man sits on a couch, holding an electronic smoking device. He inhales and then exhales a cloud of vapor, smiling as he does so. A woman sits nearby, and they both share a moment of laughter. The atmosphere is relaxed and friendly.","In a cozy living room, a man sits on a couch, holding a remote control. He inhales and then sips from a cup of tea, smiling as he does so. A child plays nearby, and they both share a moment of laughter. The atmosphere is relaxed and friendly.","A man is seated on a sofa within a comfortable living room, clutching an electronic smoking apparatus. He draws in and subsequently releases a plume of vapor, a smile gracing his face. A woman is positioned close by, and the two share a burst of laughter. The ambiance feels both relaxed and amicable."
BHxn3qfPAl4_000018_000028,37,37,38,0.4,0.4,0.4,0.246989443898201,0.18920327723026276,0.23956386744976044,"A woman lies on a massage table, her eyes closed, as a massage therapist gently stretches and massages her neck. The therapist uses their arm to carefully tilt her head to the side, providing a relaxing experience.","A man lies on a massage table, his eyes closed, as a massage therapist gently stretches and massages his back. The therapist uses their hand to carefully tilt his head to the side, providing a relaxing experience.","With her eyes shut, a woman rests on a massage table while her neck is gently stretched and massaged by a therapist. Her head is carefully tilted to the side by the therapist's arm, creating a soothing sensation."
BcW6Y7eufQE_000239_000249,52,52,52,0.7,0.5,0.7,0.2819806933403015,0.2044084072113037,0.25641605257987976,"In a cozy room, a young woman in a pink hoodie sits across from an older woman with short hair. They engage in a lively conversation. The young woman adjusts her hair, prompting laughter from the older woman. Their interaction is light-hearted and filled with giggles, creating a warm and friendly atmosphere.","In a cozy room, a young woman in a blue sweater sits across from an older woman with long hair. They engage in a lively conversation. The young woman sips her coffee, prompting laughter from the older woman. Their interaction is light-hearted and filled with giggles, creating a warm and friendly atmosphere.","Within a comfortable room, a youthful female in a pink hoodie is seated opposite an elder woman with short hair. A spirited discussion unfolds between them. The younger woman tidies her hair, eliciting chuckles from the older woman. Their exchange is jovial and punctuated by giggles, fostering a welcoming and amicable ambiance."
EA3HCx0yTIY_000281_000291,37,38,38,1.0,0.6,1.0,0.3620990812778473,0.30442318320274353,0.3690602481365204,"A bearded, bald man sits at a drum set in a recording studio. He rhythmically strikes a cymbal with a drumstick, creating a steady beat. The focus remains on his deliberate and repeated motion as he plays.","A bearded, long-haired man sits at a drum set in a concert hall. He rhythmically strikes a snare drum with a drumstick, creating a steady beat. The focus remains on his deliberate and repeated motion as he plays.","Inside a recording studio, a bald, bearded man is seated at a drum set. Using a drumstick, he rhythmically hits a cymbal, producing a steady beat. His deliberate and repeated motion as he plays is the primary focus."
j6CgiNeWQwM_000842_000852,57,57,60,0.2,0.2,0.4,0.3035511076450348,0.3000715970993042,0.30487486720085144,"In a kitchen, a chef and an assistant are preparing a cake. The assistant holds a large mixing bowl filled with batter, while the chef uses a spatula to transfer the batter into a round cake pan lined with parchment paper. They work together efficiently, ensuring all the batter is scraped from the bowl into the pan.","In a kitchen, a chef and an assistant are preparing a cake. The assistant holds a small mixing bowl filled with batter, while the chef uses a spoon to transfer the batter into a square cake pan lined with parchment paper. They work together efficiently, ensuring all the batter is scraped from the bowl into the pan.","A chef and an assistant are making a cake inside a kitchen. The assistant supports a large mixing bowl containing batter, while the chef employs a spatula to move the batter into a round cake pan, which is lined with parchment paper. Efficiently collaborating, they make certain that all batter is scraped from the bowl and deposited into the pan."
9fuIpQgnNEQ_000049_000059,52,55,49,0.4,0.4,0.3,0.3004569709300995,0.2553972899913788,0.30244338512420654,"Outside a bustling convention center, a large crowd forms a line along the sidewalk. People are dressed in various outfits, some in cosplay. A man with a camera captures photos of the scene, focusing on individuals in costume. The atmosphere is lively as attendees chat and move slowly forward in the line.","Outside a bustling concert hall, a large crowd forms a line along the park path. People are dressed in various outfits, some in athletic gear. A man with a camera captures photos of the scene, focusing on individuals in athletic gear. The atmosphere is lively as attendees chat and move slowly forward in the line.","On the sidewalk outside a busy convention center, a sizable queue of people has gathered. Individuals wear diverse attire, with some in cosplay. A man holding a camera photographs the scene, specifically targeting costumed people. The mood is vibrant as those waiting converse and advance gradually in the queue."
u-olDM7oGGM_000012_000022,54,54,58,0.3,0.2,0.4,0.2955004870891571,0.2759043276309967,0.2908964455127716,"On a residential street, a young boy with a backpack walks alongside a group of people, including an adult with a dog on a leash. The boy playfully drapes a jacket over his head and runs across the road, laughing. The scene captures a lighthearted moment, but also highlights the importance of road safety.","In a busy park, a young boy carrying a skateboard walks alongside a group of people, including a child with a cat in a carrier. The boy playfully drapes a jacket over his head and runs across the road, laughing. The scene captures a lighthearted moment, but also highlights the importance of road safety.","On a residential street, a young boy with a backpack walks with a group of individuals, one of whom is an adult with a dog on a leash. The boy playfully places a jacket over his head and then runs across the road, laughing. The scene captures a lighthearted moment, but also emphasizes the importance of road safety."
eb-ufaFcUas_000008_000018,61,63,59,0.2,0.2,0.2,0.3247540593147278,0.2907807230949402,0.2910114824771881,"In a bustling shopping mall, a young boy is harnessed to elastic cords, bouncing energetically on a trampoline. The setup allows him to soar high into the air, suspended by the bungee cords. Surrounding him are various store signs, including a prominent advertisement for watches. The scene captures the lively atmosphere of the mall as the boy enjoys his thrilling jumps.","In a bustling shopping mall, a young boy is harnessed to red ropes, bouncing energetically on an inflatable bounce house. The setup allows him to soar high into the air, suspended by the bungee cords. Surrounding him are various store signs, including a prominent advertisement for shoes. The scene captures the lively atmosphere of the mall as the boy enjoys his thrilling jumps.","Within a vibrant shopping center, a small boy, secured by elastic ropes, vigorously springs on a trampoline. This arrangement enables him to launch high into the sky, held aloft by the bungee cords. Numerous shop advertisements encircle him, notably a large sign promoting watches. The scene depicts the mall's energetic ambiance as the child delights in his exciting leaps."
heWD9j45Emw_000225_000235,58,58,58,0.5,0.3,0.5,0.2960875332355499,0.22238390147686005,0.298618882894516,"On a brightly lit stage, a lively band performs a vibrant Latino music piece. At the center, a man energetically plays the accordion, surrounded by fellow musicians who dance and play various instruments, including a saxophone and trumpet. The stage is illuminated with colorful, flashing lights, enhancing the festive atmosphere as the musicians move rhythmically to the music.","On a brightly lit stage, a lively band performs a vibrant Caribbean music piece. At the center, a man energetically plays the guitar, surrounded by fellow musicians who dance and play various instruments, including a flute and clarinet. The stage is illuminated with colorful, flashing lights, enhancing the festive atmosphere as the musicians move rhythmically to the music.","A vibrant Latino music piece is performed by a lively band on a brightly lit stage. Centrally positioned, a man energetically plays the accordion, while fellow musicians encircle him, dancing and playing diverse instruments such as a saxophone and trumpet. Colorful, flashing lights illuminate the stage, intensifying the festive mood as the musicians rhythmically sway to the tune."
