clip_idx,video_id,category,tier,gt,adqa_tribe_claude_need_weighted_adqa,adqa_tribe_claude_uniform_adqa,n_questions,mean_question_need,high_need_questions,adqa_tribe_claude_high_need_adqa,n_high_need_questions
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,0.0,0.0,5.0,0.4749416830935706,5.0,0.0,5
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,0.0,0.0,5.0,0.4749416830935706,5.0,0.0,5
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,0.0,0.0,5.0,0.4749416830935706,5.0,0.0,5
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,0.09897478730983321,0.1,5.0,0.4749416830935706,5.0,0.1,5
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,0.0,0.0,2.0,0.850572211723672,2.0,0.0,2
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,0.5,0.5,2.0,0.850572211723672,2.0,0.5,2
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,1.0,1.0,2.0,0.850572211723672,2.0,1.0,2
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,1.0,1.0,2.0,0.850572211723672,2.0,1.0,2
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,0.0,0.0,2.0,0.5338508128639613,2.0,0.0,2
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,0.267106785018107,0.25,2.0,0.5338508128639613,2.0,0.25,2
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,0.267106785018107,0.25,2.0,0.5338508128639613,2.0,0.25,2
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,0.7328932149818931,0.75,2.0,0.5338508128639613,2.0,0.75,2
6,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,0.0,0.0,3.0,0.684576303264388,3.0,0.0,3
6,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,0.0,0.0,3.0,0.684576303264388,3.0,0.0,3
6,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,0.18533514061821532,0.16666666666666666,3.0,0.684576303264388,3.0,0.16666666666666666,3
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,0.37067028123643064,0.3333333333333333,3.0,0.684576303264388,3.0,0.3333333333333333,3
7,09dQut5GJ68_000049_000059,Travel,tier0_cross,0,0.0,0.0,3.0,0.7413040289014581,3.0,0.0,3
7,09dQut5GJ68_000049_000059,Travel,tier1_vatex_short,1,0.16670274740977817,0.16666666666666666,3.0,0.7413040289014581,3.0,0.16666666666666666,3
7,09dQut5GJ68_000049_000059,Travel,tier2_vatex_long,2,0.16670274740977817,0.16666666666666666,3.0,0.7413040289014581,3.0,0.16666666666666666,3
7,09dQut5GJ68_000049_000059,Travel,tier3_va11y,3,0.16670274740977817,0.16666666666666666,3.0,0.7413040289014581,3.0,0.16666666666666666,3
9,TF4q9y0rJoc_000000_000010,Sports,tier0_cross,0,0.0,0.0,5.0,0.6412098450890675,5.0,0.0,5
9,TF4q9y0rJoc_000000_000010,Sports,tier1_vatex_short,1,0.43015954776736093,0.4,5.0,0.6412098450890675,5.0,0.4,5
9,TF4q9y0rJoc_000000_000010,Sports,tier2_vatex_long,2,0.6311100303435985,0.6,5.0,0.6412098450890675,5.0,0.6,5
9,TF4q9y0rJoc_000000_000010,Sports,tier3_va11y,3,0.7285424913346986,0.7,5.0,0.6412098450890675,5.0,0.7,5
11,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,0.0,0.0,3.0,0.5085735678798203,3.0,0.0,3
11,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,0.6935900112931287,0.6666666666666666,3.0,0.5085735678798203,3.0,0.6666666666666666,3
11,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,0.3328448588157792,0.3333333333333333,3.0,0.5085735678798203,3.0,0.3333333333333333,3
11,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,0.8607451524773495,0.8333333333333334,3.0,0.5085735678798203,3.0,0.8333333333333334,3
12,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,0.0,0.0,5.0,0.812876957347348,5.0,0.0,5
12,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,0.1843693219295335,0.2,5.0,0.812876957347348,5.0,0.2,5
12,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,0.1843693219295335,0.2,5.0,0.812876957347348,5.0,0.2,5
12,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,0.49148757150867545,0.5,5.0,0.812876957347348,5.0,0.5,5
13,KFcH6BYZWhc_000011_000021,Sports,tier0_cross,0,0.0,0.0,2.0,0.5756203108716762,2.0,0.0,2
13,KFcH6BYZWhc_000011_000021,Sports,tier1_vatex_short,1,0.0,0.0,2.0,0.5756203108716762,2.0,0.0,2
13,KFcH6BYZWhc_000011_000021,Sports,tier2_vatex_long,2,0.548706594417192,0.5,2.0,0.5756203108716762,2.0,0.5,2
13,KFcH6BYZWhc_000011_000021,Sports,tier3_va11y,3,0.774353297208596,0.75,2.0,0.5756203108716762,2.0,0.75,2
14,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,0.0,0.0,2.0,0.5117517281462798,2.0,0.0,2
14,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,0.7613239236815688,0.75,2.0,0.5117517281462798,2.0,0.75,2
14,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,0.7613239236815688,0.75,2.0,0.5117517281462798,2.0,0.75,2
14,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,1.0,1.0,2.0,0.5117517281462798,2.0,1.0,2
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,0.0,0.0,3.0,0.5863134648597627,3.0,0.0,3
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,0.5,0.5,3.0,0.5863134648597627,3.0,0.5,3
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,0.46543810143183273,0.5,3.0,0.5863134648597627,3.0,0.5,3
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,0.6453985123355487,0.6666666666666666,3.0,0.5863134648597627,3.0,0.6666666666666666,3
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,0.0,0.0,1.0,0.9884878385277255,1.0,0.0,1
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,0.0,0.0,1.0,0.9884878385277255,1.0,0.0,1
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,0.5,0.5,1.0,0.9884878385277255,1.0,0.5,1
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,0.5,0.5,1.0,0.9884878385277255,1.0,0.5,1
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,0.0,0.0,4.0,0.6936028901424085,4.0,0.0,4
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,0.12625920290146692,0.125,4.0,0.6936028901424085,4.0,0.125,4
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,0.5877140737625333,0.625,4.0,0.6936028901424085,4.0,0.625,4
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,0.8569866383320001,0.875,4.0,0.6936028901424085,4.0,0.875,4
