query_vid,tier,ref_vid,cos
0m0-Q0zz_-c_000112_000122,tier0_cross,0m0-Q0zz_-c_000112_000122,0.666068256
0m0-Q0zz_-c_000112_000122,tier0_cross,0t0DB1B1w8Y_000000_000010,-0.223228186
0m0-Q0zz_-c_000112_000122,tier0_cross,1-jIze6gy0g_000026_000036,-0.122114465
0m0-Q0zz_-c_000112_000122,tier0_cross,1HUWWCLza0w_000000_000010,-0.275564641
0m0-Q0zz_-c_000112_000122,tier0_cross,1YemrpNBpf4_000001_000011,0.157000348
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,0m0-Q0zz_-c_000112_000122,0.235047668
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,0t0DB1B1w8Y_000000_000010,-0.108954303
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,1-jIze6gy0g_000026_000036,-0.144032106
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,1HUWWCLza0w_000000_000010,0.045683879
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,1YemrpNBpf4_000001_000011,0.197190881
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,0m0-Q0zz_-c_000112_000122,0.588847697
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,0t0DB1B1w8Y_000000_000010,-0.301186919
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,1-jIze6gy0g_000026_000036,-0.245977238
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,1HUWWCLza0w_000000_000010,-0.232446790
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,1YemrpNBpf4_000001_000011,0.143692628
0m0-Q0zz_-c_000112_000122,tier3_va11y,0m0-Q0zz_-c_000112_000122,0.635267437
0m0-Q0zz_-c_000112_000122,tier3_va11y,0t0DB1B1w8Y_000000_000010,-0.242230386
0m0-Q0zz_-c_000112_000122,tier3_va11y,1-jIze6gy0g_000026_000036,-0.163408533
0m0-Q0zz_-c_000112_000122,tier3_va11y,1HUWWCLza0w_000000_000010,-0.265667975
0m0-Q0zz_-c_000112_000122,tier3_va11y,1YemrpNBpf4_000001_000011,0.142904475
0t0DB1B1w8Y_000000_000010,tier0_cross,0m0-Q0zz_-c_000112_000122,0.415388227
0t0DB1B1w8Y_000000_000010,tier0_cross,0t0DB1B1w8Y_000000_000010,-0.390701652
0t0DB1B1w8Y_000000_000010,tier0_cross,1-jIze6gy0g_000026_000036,-0.354028761
0t0DB1B1w8Y_000000_000010,tier0_cross,1HUWWCLza0w_000000_000010,-0.382242829
0t0DB1B1w8Y_000000_000010,tier0_cross,1YemrpNBpf4_000001_000011,-0.063283347
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,0m0-Q0zz_-c_000112_000122,0.268080950
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,0t0DB1B1w8Y_000000_000010,-0.064690255
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,1-jIze6gy0g_000026_000036,-0.139828503
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,1HUWWCLza0w_000000_000010,0.012552901
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,1YemrpNBpf4_000001_000011,0.175669551
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,0m0-Q0zz_-c_000112_000122,0.280771106
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,0t0DB1B1w8Y_000000_000010,0.143482998
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,1-jIze6gy0g_000026_000036,0.096465327
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,1HUWWCLza0w_000000_000010,0.239540562
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,1YemrpNBpf4_000001_000011,0.479249239
0t0DB1B1w8Y_000000_000010,tier3_va11y,0m0-Q0zz_-c_000112_000122,0.666068256
0t0DB1B1w8Y_000000_000010,tier3_va11y,0t0DB1B1w8Y_000000_000010,-0.223228186
0t0DB1B1w8Y_000000_000010,tier3_va11y,1-jIze6gy0g_000026_000036,-0.122114465
0t0DB1B1w8Y_000000_000010,tier3_va11y,1HUWWCLza0w_000000_000010,-0.275564641
0t0DB1B1w8Y_000000_000010,tier3_va11y,1YemrpNBpf4_000001_000011,0.157000348
1-jIze6gy0g_000026_000036,tier0_cross,0m0-Q0zz_-c_000112_000122,0.603256702
1-jIze6gy0g_000026_000036,tier0_cross,0t0DB1B1w8Y_000000_000010,-0.222101644
1-jIze6gy0g_000026_000036,tier0_cross,1-jIze6gy0g_000026_000036,-0.174584925
1-jIze6gy0g_000026_000036,tier0_cross,1HUWWCLza0w_000000_000010,-0.263303041
1-jIze6gy0g_000026_000036,tier0_cross,1YemrpNBpf4_000001_000011,0.185016483
1-jIze6gy0g_000026_000036,tier1_vatex_short,0m0-Q0zz_-c_000112_000122,0.321446747
1-jIze6gy0g_000026_000036,tier1_vatex_short,0t0DB1B1w8Y_000000_000010,-0.258484781
1-jIze6gy0g_000026_000036,tier1_vatex_short,1-jIze6gy0g_000026_000036,-0.260345906
1-jIze6gy0g_000026_000036,tier1_vatex_short,1HUWWCLza0w_000000_000010,-0.110386990
1-jIze6gy0g_000026_000036,tier1_vatex_short,1YemrpNBpf4_000001_000011,0.070423476
1-jIze6gy0g_000026_000036,tier2_vatex_long,0m0-Q0zz_-c_000112_000122,0.283027798
1-jIze6gy0g_000026_000036,tier2_vatex_long,0t0DB1B1w8Y_000000_000010,0.080462337
1-jIze6gy0g_000026_000036,tier2_vatex_long,1-jIze6gy0g_000026_000036,-0.033603635
1-jIze6gy0g_000026_000036,tier2_vatex_long,1HUWWCLza0w_000000_000010,0.127151549
1-jIze6gy0g_000026_000036,tier2_vatex_long,1YemrpNBpf4_000001_000011,0.413474560
1-jIze6gy0g_000026_000036,tier3_va11y,0m0-Q0zz_-c_000112_000122,0.415388227
1-jIze6gy0g_000026_000036,tier3_va11y,0t0DB1B1w8Y_000000_000010,-0.390701652
1-jIze6gy0g_000026_000036,tier3_va11y,1-jIze6gy0g_000026_000036,-0.354028761
1-jIze6gy0g_000026_000036,tier3_va11y,1HUWWCLza0w_000000_000010,-0.382242829
1-jIze6gy0g_000026_000036,tier3_va11y,1YemrpNBpf4_000001_000011,-0.063283347
1HUWWCLza0w_000000_000010,tier0_cross,0m0-Q0zz_-c_000112_000122,0.475688249
1HUWWCLza0w_000000_000010,tier0_cross,0t0DB1B1w8Y_000000_000010,-0.048899010
1HUWWCLza0w_000000_000010,tier0_cross,1-jIze6gy0g_000026_000036,-0.036885984
1HUWWCLza0w_000000_000010,tier0_cross,1HUWWCLza0w_000000_000010,-0.049689706
1HUWWCLza0w_000000_000010,tier0_cross,1YemrpNBpf4_000001_000011,0.285251766
1HUWWCLza0w_000000_000010,tier1_vatex_short,0m0-Q0zz_-c_000112_000122,0.335871905
1HUWWCLza0w_000000_000010,tier1_vatex_short,0t0DB1B1w8Y_000000_000010,0.027853342
1HUWWCLza0w_000000_000010,tier1_vatex_short,1-jIze6gy0g_000026_000036,-0.035775803
1HUWWCLza0w_000000_000010,tier1_vatex_short,1HUWWCLza0w_000000_000010,0.110998452
1HUWWCLza0w_000000_000010,tier1_vatex_short,1YemrpNBpf4_000001_000011,0.394524008
1HUWWCLza0w_000000_000010,tier2_vatex_long,0m0-Q0zz_-c_000112_000122,0.339500010
1HUWWCLza0w_000000_000010,tier2_vatex_long,0t0DB1B1w8Y_000000_000010,0.149139389
1HUWWCLza0w_000000_000010,tier2_vatex_long,1-jIze6gy0g_000026_000036,0.087204576
1HUWWCLza0w_000000_000010,tier2_vatex_long,1HUWWCLza0w_000000_000010,0.197095573
1HUWWCLza0w_000000_000010,tier2_vatex_long,1YemrpNBpf4_000001_000011,0.441571355
1HUWWCLza0w_000000_000010,tier3_va11y,0m0-Q0zz_-c_000112_000122,0.603256702
1HUWWCLza0w_000000_000010,tier3_va11y,0t0DB1B1w8Y_000000_000010,-0.222101644
1HUWWCLza0w_000000_000010,tier3_va11y,1-jIze6gy0g_000026_000036,-0.174584925
1HUWWCLza0w_000000_000010,tier3_va11y,1HUWWCLza0w_000000_000010,-0.263303041
1HUWWCLza0w_000000_000010,tier3_va11y,1YemrpNBpf4_000001_000011,0.185016483
1YemrpNBpf4_000001_000011,tier0_cross,0m0-Q0zz_-c_000112_000122,0.492112130
1YemrpNBpf4_000001_000011,tier0_cross,0t0DB1B1w8Y_000000_000010,-0.088271156
1YemrpNBpf4_000001_000011,tier0_cross,1-jIze6gy0g_000026_000036,-0.075727679
1YemrpNBpf4_000001_000011,tier0_cross,1HUWWCLza0w_000000_000010,-0.057578068
1YemrpNBpf4_000001_000011,tier0_cross,1YemrpNBpf4_000001_000011,0.212408081
1YemrpNBpf4_000001_000011,tier1_vatex_short,0m0-Q0zz_-c_000112_000122,0.348057300
1YemrpNBpf4_000001_000011,tier1_vatex_short,0t0DB1B1w8Y_000000_000010,-0.110166930
1YemrpNBpf4_000001_000011,tier1_vatex_short,1-jIze6gy0g_000026_000036,-0.121576130
1YemrpNBpf4_000001_000011,tier1_vatex_short,1HUWWCLza0w_000000_000010,-0.021268889
1YemrpNBpf4_000001_000011,tier1_vatex_short,1YemrpNBpf4_000001_000011,0.144258544
1YemrpNBpf4_000001_000011,tier2_vatex_long,0m0-Q0zz_-c_000112_000122,0.469702274
1YemrpNBpf4_000001_000011,tier2_vatex_long,0t0DB1B1w8Y_000000_000010,-0.100237407
1YemrpNBpf4_000001_000011,tier2_vatex_long,1-jIze6gy0g_000026_000036,-0.057940684
1YemrpNBpf4_000001_000011,tier2_vatex_long,1HUWWCLza0w_000000_000010,-0.016516030
1YemrpNBpf4_000001_000011,tier2_vatex_long,1YemrpNBpf4_000001_000011,0.241730466
1YemrpNBpf4_000001_000011,tier3_va11y,0m0-Q0zz_-c_000112_000122,0.475688249
1YemrpNBpf4_000001_000011,tier3_va11y,0t0DB1B1w8Y_000000_000010,-0.048899010
1YemrpNBpf4_000001_000011,tier3_va11y,1-jIze6gy0g_000026_000036,-0.036885984
1YemrpNBpf4_000001_000011,tier3_va11y,1HUWWCLza0w_000000_000010,-0.049689706
1YemrpNBpf4_000001_000011,tier3_va11y,1YemrpNBpf4_000001_000011,0.285251766
