clip_idx,video_id,category,question_model,q_idx,question,answer_key,required_visual_evidence,importance,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the man in the white shirt holding and demonstrating?,"A small insect or specimen, appears to be a fly or similar bug",man holding small object in hand; gesturing while speaking; object visible in palm,critical,Main action and key object throughout frames
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,Where is this demonstration taking place?,A laboratory or research facility with scientific equipment,lab equipment in background; workbenches; storage containers; industrial machinery,critical,Setting is essential context for understanding the scene
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,What is visible on the wooden board or surface in the background?,"Papers, documents, and sticky notes posted on the board",wooden board; white and pink papers; sticky notes,useful,Notable background element visible in multiple frames
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,What is the man's apparent role or profession based on the setting?,A scientist or researcher conducting an entomology demonstration,lab setting; specimen in hand; professional attire; equipment,useful,Context helps listener understand the demonstration's purpose
0,Q76JRCyTnSc_000007_000017,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What containers or equipment are visible on the shelves behind the man?,"Glass tanks, storage containers, and industrial machinery",shelving with containers; glass tanks; green machinery; equipment,useful,Background details establish laboratory environment authenticity
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the man in the gray hoodie doing?,"Eating food, appearing to eat a burger or sandwich",man in gray hoodie; eating motion; food in hands,critical,Main action visible across multiple frames
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What fast food restaurant is referenced in the video?,Burger King,Burger King logo; Burger King text on packaging,critical,On-screen text clearly visible in frames
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,What text appears on the food packaging shown?,Burger King Burger Eating,packaging with text; Burger King branding,useful,Key on-screen text identifying the content
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,Where does this video appear to take place?,"Indoors, in an institutional or public building setting",fluorescent ceiling lights; glass windows; interior walls,useful,Setting visible in background of all frames
1,058y9xGmmTQ_000206_000216,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What is the man wearing?,A gray or blue-gray hoodie sweatshirt,gray hoodie; sweatshirt visible,useful,Main subject's clothing visible throughout
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the person cooking in the skillet?,An omelet with red peppers or tomatoes,yellow omelet; red ingredients mixed in; black skillet on stovetop,critical,Main subject and primary cooking action visible throughout frames
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What cooking ingredient is being added to the omelet?,Oil or liquid from a bottle,bottle being held; liquid pouring; stream into pan,useful,Clear pouring action shown in multiple frames with visible bottle
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,Where is this cooking taking place?,A kitchen with an electric stovetop,electric stove; kitchen counter; microwave in background,critical,Setting clearly established by visible appliances and countertop
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,What utensil is the person using to cook the omelet?,A spatula or cooking utensil,utensil in hand; stirring/flipping motion; contact with food,useful,Cooking tool visible in multiple frames during food preparation
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What beverage bottle is visible on the counter?,"A bottle with a dark label, possibly Horton brand",dark labeled bottle; left side of counter; near glass,useful,Prominent object on counter visible in most frames
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the child doing in the kitchen?,Cooking or preparing food in a skillet on the stove,child at stove; skillet with food; holding utensil,critical,Main action visible across all frames
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What type of food is being cooked in the pan?,"Eggs, appears to be scrambled eggs",yellow food in skillet; cooked appearance,useful,Key object clearly visible in multiple frames
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,Where is this scene taking place?,In a kitchen at a countertop or stove area,kitchen counter; stove; cabinets,critical,Setting essential for understanding context
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,What utensil is the child using to cook?,A spatula or cooking utensil,utensil in hand; stirring motion,useful,Key object used throughout the activity
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What is on the counter next to the stove?,A white plate and a blue container or seasoning bottle,white plate; blue container,useful,Relevant objects in immediate cooking area
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,0,What is the main subject doing?,Tossing or mixing leafy greens in a wooden bowl,hands tossing greens; wooden bowl; leafy vegetables,critical,Core action visible throughout all frames
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,1,What type of container holds the greens?,A large wooden bowl with handles,wooden bowl; handles on sides,critical,Distinctive object present in every frame
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,2,What is the primary ingredient being prepared?,"Fresh leafy greens, appearing to be salad greens or herbs",green leaves; fresh vegetables,useful,Main subject of the preparation activity
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,3,How many hands are visible performing the action?,Two hands,two hands tossing; both hands visible,useful,Consistent detail across frames showing technique
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic:claude-haiku-4-5-20251001,4,What is visible on the work surface to the right of the bowl?,A wooden cutting board with what appears to be white cheese or dairy product,cutting board; white ingredient; right side of frame,useful,Secondary ingredient visible in preparation setup
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,0,What winter sport activity is the person in the center engaged in?,Snowmobiling or riding a snowmobile across a snowy field,person on snowmobile; snow-covered terrain; winter landscape,critical,Main subject and primary action throughout all frames
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,1,What is the terrain like where the snowmobiler is riding?,"A wide, open snowy field with visible track patterns and bare trees",open snowy field; track marks in snow; bare trees along edges,critical,Setting is essential context for understanding the scene
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,2,What other snowmobiles are visible in the frames?,At least two other snowmobiles visible in the foreground on the left side,green and yellow snowmobile; orange/red snowmobile; foreground left,useful,Key objects that indicate group activity
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,3,What is visible on the left side of the frames in the foreground?,"Parts of other snowmobiles, including a green and yellow one and an orange one",green snowmobile; yellow accents; orange snowmobile,useful,Indicates perspective and group context
6,0HEi6q3bGaw_000011_000021,Travel,anthropic:claude-haiku-4-5-20251001,4,What time of day does the lighting suggest in these frames?,"Daytime with clear, bright sunlight creating distinct shadows",bright sunlight; clear shadows; blue sky; high visibility,useful,Lighting conditions affect scene atmosphere and visibility
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,0,What is the main subject doing in these frames?,A person is falling or tumbling through snow,person in dark clothing; snow-covered ground; dynamic falling motion,critical,Primary action visible across multiple frames
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,1,What is the setting or environment shown?,"A snowy outdoor location, likely a slope or mountainside",white snow covering ground; steep angle; winter conditions,critical,Setting essential for understanding context of action
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,2,What blue object is visible in the later frames?,A blue ski or snowboard equipment,blue object; frames 4-6; winter sports context,useful,Key object that clarifies the activity type
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,3,What is the person wearing that stands out visually?,Dark-colored clothing contrasting against white snow,dark silhouette; snow background; high contrast,useful,Helps listener visualize the scene composition
7,09dQut5GJ68_000049_000059,Travel,anthropic:claude-haiku-4-5-20251001,4,Is the person in control or losing control during this action?,"The person appears to be losing control, tumbling through snow",chaotic motion; body position; snow spray,critical,Conveys the nature and severity of the action
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,0,What type of facility or venue is shown in the middle frames?,An equestrian facility or horse ranch with flags and jumping obstacles,flags; wooden fences; manicured grounds; horse jumping course,critical,Main setting visible across multiple frames with distinctive features
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,1,What animals are visible in the pasture scenes?,"Horses, including a brown horse and a brown and white horse",brown horse; brown and white horse; grazing; pasture,critical,"Primary subjects in frames 3-4, essential to understanding the content"
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,2,What is displayed on the entrance sign in the first frame?,A silhouette of a horse in motion or running,entrance sign; horse silhouette; arch-shaped sign,useful,Identifies the facility and appears prominently in opening frame
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,3,What is visible in the wooded area shown in the final frames?,"A horse standing among trees, partially obscured by foliage and branches",horse in woods; dense foliage; tree trunks; forest setting,critical,Significant location change and main subject in closing frames
8,hOirknJr3os_000001_000011,Travel,anthropic:claude-haiku-4-5-20251001,4,What logo appears consistently throughout the video frames?,KOA logo in yellow and red,KOA logo; yellow and red; bottom left corner,useful,On-screen text identifying the source or sponsor of the footage
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0,What sport or activity is the person performing?,Skiing down a snowy slope at night,person in motion on snow; skis visible; nighttime setting with artificial lighting,critical,Main activity is central to understanding the video content
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,1,What type of course markers are visible on the slope?,Poles marking a ski course or gate,vertical poles; course markers; gate structure,useful,Key objects that define the skiing context and course structure
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,2,What is the lighting condition during this skiing activity?,Nighttime with artificial floodlights illuminating the slope,dark sky; artificial lighting; lit snow surface,useful,Setting detail essential for understanding the environment
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,3,What is visible on the snow surface in the early frames?,Text or markings etched or written on the snow,visible marks on snow; text-like patterns; surface markings,useful,Notable visual element that appears in multiple frames
9,TF4q9y0rJoc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,4,What color is the skier's clothing?,Dark colored jacket with yellow or neon accents,dark jacket; bright colored trim or details; visible on skier,useful,Helps identify and describe the main subject clearly
11,z8Q-s8AthrA_000002_000012,Sports,anthropic:claude-haiku-4-5-20251001,0,What is the young person in the yellow shirt doing in these video clips?,Running and practicing hurdles on a track field,yellow shirt; running motion; red track; hurdles,critical,Main action and subject clearly visible across multiple frames
