clip_idx,video_id,category,tier,gt,adqa_v4_score,n_questions,crit_w_adqa,clip_top3,story_recall,vt_consistency,duration_s,mean_speech_density,all4_mean_full_order,all4_mean_tier3_margin,tier3_va11y_words,tier1_vatex_short_words,ad_text,read_seconds,comprehension_per_second,adqa_norm,clip_norm,false_grounding_gap,visual_lexicon_purity,temporal_misalign,adqa_gain_vs_cross,word_count,saturation_ratio,speech_density,audio_leakage,rank_chaos,head_agreement_index,inversion_mass_adqa,marginal_word_value_t3,judge_full_order,judge_low_margin,ensemble_violation,gt_label_dispute,research_audit_index
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,0.0,5,0.0,0.0941344011161062,0.0,0.0,14.9,1.0,1.0,0.1845238095238096,40,11,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",10.5,0.0,0.0,0.0,0.0,0.1724137931034483,0.16291538279735907,0.0,35,0.0,1.0,0.0,0.33333333333333315,0.6666666666666666,0.1,0.0034482758620689646,1.0,0,1,0,0.6667991804977261
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,0.2,5,0.3333333333333333,0.2455333901776207,0.1666666666666666,0.357,14.9,1.0,1.0,0.1845238095238096,40,11,A chef in a kitchen demonstrates his skill throwing a knife,3.3,0.10101010101010101,0.6666666666666667,1.0,0.33333333333333326,0.2857142857142857,0.2870846172026409,0.2,11,0.018181818181818184,1.0,0.0,0.33333333333333315,0.6666666666666666,0.1,0.0034482758620689646,1.0,0,1,0,0.6667991804977261
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,0.1,5,0.16666666666666666,0.1910945243305629,0.1666666666666666,0.179,14.9,1.0,1.0,0.1845238095238096,40,11,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,7.5,0.02222222222222222,0.33333333333333337,0.6404278114106898,0.30709447807735646,0.2777777777777778,0.24541795053597426,0.1,25,0.004,1.0,0.0,0.33333333333333315,0.6666666666666666,0.1,0.0034482758620689646,1.0,0,1,0,0.6667991804977261
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,0.3,5,0.5,0.2244109925296571,0.3333333333333333,0.357,14.9,1.0,1.0,0.1845238095238096,40,11,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",12.0,0.041666666666666664,1.0,0.8604852134159139,-0.13951478658408611,0.27586206896551724,0.05311025822828197,0.3,40,0.0075,1.0,0.0,0.33333333333333315,0.6666666666666666,0.1,0.0034482758620689646,1.0,0,1,0,0.6667991804977261
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,0.0,5,0.0,0.0924091430173979,0.0,0.0,16.39,1.0,1.0,0.4361111111111111,62,13,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",10.5,0.0,0.0,0.0,0.0,0.0,0.16725455520848986,0.0,35,0.0,1.0,0.0,0.0,1.0,0.0,0.0163265306122449,1.0,0,0,0,0.5797244498958845
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,0.1,5,0.13636363636363635,0.2157943530215157,0.375,0.0,16.39,1.0,1.0,0.4361111111111111,62,13,A  man eats a lot of burgers and than starts to get sick.,3.9,0.03496503496503496,0.11111111111111112,0.676291590703866,0.5651804795927549,0.0,0.16725455520848986,0.1,13,0.007692307692307693,1.0,0.0,0.0,1.0,0.0,0.0163265306122449,1.0,0,0,0,0.5797244498958845
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,0.5,5,0.5909090909090909,0.2423654446999232,0.75,0.714,16.39,1.0,1.0,0.4361111111111111,62,13,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",5.7,0.10366826156299841,0.5555555555555556,0.8219314599988061,0.26637590444325054,0.3333333333333333,0.014476777430712073,0.5,19,0.02631578947368421,1.0,0.0,0.0,1.0,0.0,0.0163265306122449,1.0,0,0,0,0.5797244498958845
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,0.9,5,0.9545454545454546,0.2748529464006424,0.875,1.0,16.39,1.0,1.0,0.4361111111111111,62,13,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",18.599999999999998,0.05131964809384165,1.0,1.0,0.0,0.18181818181818182,0.10372996504455545,0.9,62,0.014516129032258065,1.0,0.0,0.0,1.0,0.0,0.0163265306122449,1.0,0,0,0,0.5797244498958845
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,0.0,5,0.0,0.0747132909794648,0.0,0.0,16.39,0.8181818181818181,1.0,0.0666666666666668,54,13,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",10.5,0.0,0.0,0.0,0.0,0.06896551724137931,0.34585774070185926,0.0,35,0.0,0.8181818181818181,0.0,0.08712907082472299,0.6666666666666666,0.0,0.004878048780487804,1.0,1,0,1,0.48350822497428675
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,0.5,5,0.5,0.2620121406184302,0.25,0.278,16.39,0.8181818181818181,1.0,0.0666666666666668,54,13,A man is stirring food in a cast iron skillet with a fork.,3.9,0.12820512820512822,0.7142857142857143,0.8785605081132934,0.16427479382757915,0.25,0.5419361720744084,0.5,13,0.038461538461538464,0.8181818181818181,0.0,0.08712907082472299,0.6666666666666666,0.0,0.004878048780487804,1.0,1,0,1,0.48350822497428675
