clip_key,video_path_local,ad_text_used,audio_only_ok,accessibility_gap,description_gain,alignment_cosine,P_AV_shape,P_A_shape,P_AD_shape,corpus,clip_idx,video_id,category,duration_s,all4_fail,low_tier3_margin,tier2_tier1_inversion,yt_id,start_s,end_s
inbench_clip_00_Q76JRCyTnSc_000007_000017,/content/scenetwin/workspace/vatex_clips/clip_00.mp4,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",True,0.16836341087619067,-0.17060595919423194,0.9955404388069582,"[10, 20484]","[10, 20484]","[20, 20484]",inbench,0.0,Q76JRCyTnSc_000007_000017,Food & Cooking,14.9,0.0,0.0,0.0,,,
inbench_clip_01_058y9xGmmTQ_000206_000216,/content/scenetwin/workspace/vatex_clips/clip_01.mp4,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",True,0.08463107648035506,-0.1852921302406726,0.9002979938310343,"[11, 20484]","[11, 20484]","[29, 20484]",inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,16.39,0.0,0.0,0.0,,,
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,/content/scenetwin/workspace/vatex_clips/clip_03.mp4,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",True,0.09844685606074888,-0.12907377515885177,0.9640192480894442,"[10, 20484]","[11, 20484]","[21, 20484]",inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,0.0,0.0,0.0,,,
inbench_clip_04_B0EKYDSv_yQ_000002_000012,/content/scenetwin/workspace/vatex_clips/clip_04.mp4,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",True,0.2986524298433463,-0.13870976286210657,0.9932085395363259,"[10, 20484]","[11, 20484]","[30, 20484]",inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,0.0,0.0,0.0,,,
inbench_clip_05_PbGvLf7HvXQ_000063_000073,/content/scenetwin/workspace/vatex_clips/clip_05.mp4,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",True,0.15166239091569766,-0.15426213447196913,0.9840319747479354,"[11, 20484]","[11, 20484]","[26, 20484]",inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,16.39,0.0,0.0,0.0,,,
inbench_clip_06_0HEi6q3bGaw_000011_000021,/content/scenetwin/workspace/vatex_clips/clip_06.mp4,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",True,0.15769971883021694,-0.353919165406309,0.9999999999974346,"[11, 20484]","[11, 20484]","[21, 20484]",inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,17.88,0.0,0.0,0.0,,,
inbench_clip_07_09dQut5GJ68_000049_000059,/content/scenetwin/workspace/vatex_clips/clip_07.mp4,"In a snowy landscape, a man rides a motorcycle, pulling a blue sled behind him. The sled glides over the snow, connected by a wire. The scene captures the thrill of the ride as the motorcycle moves through the wintry terrain.",True,0.1831457757375946,-0.23516921419147596,0.9970966618715914,"[11, 20484]","[11, 20484]","[18, 20484]",inbench,7.0,09dQut5GJ68_000049_000059,Travel,16.39,0.0,0.0,0.0,,,
inbench_clip_08_hOirknJr3os_000001_000011,/content/scenetwin/workspace/vatex_clips/clip_08.mp4,"The video begins with a sign for KOA Ranch, featuring a silhouette of a horse. Horses graze peacefully in a sunlit pasture. The scene shifts to a group of people riding horses along a wooded trail, accompanied by a song about camping. This advertisement highlights the scenic beauty and horse riding experiences offered at KOA campgrounds.",True,0.1798257689921754,-0.17446029667303486,0.9784949764418776,"[10, 20484]","[11, 20484]","[26, 20484]",inbench,8.0,hOirknJr3os_000001_000011,Travel,16.39,0.0,0.0,0.0,,,
inbench_clip_09_TF4q9y0rJoc_000000_000010,/content/scenetwin/workspace/vatex_clips/clip_09.mp4,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",True,0.17728451159853975,-0.5190908440372033,0.0,"[11, 20484]","[11, 20484]","[18, 20484]",inbench,9.0,TF4q9y0rJoc_000000_000010,Sports,16.39,0.0,0.0,0.0,,,
inbench_clip_11_z8Q-s8AthrA_000002_000012,/content/scenetwin/workspace/vatex_clips/clip_11.mp4,"A young girl in a yellow shirt and black pants participates in a track and field event. She energetically runs and leaps over hurdles on a track. Later, she stands on the track, speaking confidently about her experience while other children play in the background. The scene shifts to her performing a high jump, landing on a cushioned surface. The video captures her enthusiasm and skill in the sport.",True,0.10972697491725192,-0.4428179301693753,0.9010932522109787,"[10, 20484]","[11, 20484]","[30, 20484]",inbench,11.0,z8Q-s8AthrA_000002_000012,Sports,16.39,0.0,0.0,0.0,,,
inbench_clip_12_abaLFY_GI8k_000295_000305,/content/scenetwin/workspace/vatex_clips/clip_12.mp4,"A group of boys is playing volleyball on an outdoor dirt court. The net is slightly broken, and the setting is casual. One boy serves the ball, and another jumps to spike it over the net. The players are wearing shorts and are engaged in the game, communicating in a foreign language. The scene is lively, with the boys moving energetically across the court.",True,0.2719454709480146,-0.07203530430871374,0.9970966668619787,"[11, 20484]","[11, 20484]","[28, 20484]",inbench,12.0,abaLFY_GI8k_000295_000305,Sports,23.84,1.0,0.0,1.0,,,
inbench_clip_13_KFcH6BYZWhc_000011_000021,/content/scenetwin/workspace/vatex_clips/clip_13.mp4,"In an indoor ice rink, a group of young hockey players practice their skills. One player skates swiftly across the ice, controlling the puck with precision. Nearby, other players engage in drills, passing the puck back and forth. The scene is lively, with players focused on improving their techniques and aiming to score goals. The rink is bustling with activity as the team hones their hockey abilities.",True,0.09130382412366711,-0.3302402518747758,0.9974270853414056,"[10, 20484]","[10, 20484]","[31, 20484]",inbench,13.0,KFcH6BYZWhc_000011_000021,Sports,14.9,0.0,0.0,0.0,,,
inbench_clip_14_UDD6YcChywc_000000_000010,/content/scenetwin/workspace/vatex_clips/clip_14.mp4,"In an indoor curling rink, a man skillfully slides a curling stone down the ice. As he releases the stone, he loses his balance and falls onto the ice. A small group of onlookers reacts with laughter and concern, checking to see if he is okay.",True,0.3433712825438816,-0.38504831692161484,0.9999999999965444,"[10, 20484]","[11, 20484]","[20, 20484]",inbench,14.0,UDD6YcChywc_000000_000010,Sports,16.39,0.0,0.0,0.0,,,
inbench_clip_15_OGWuj_FtaQc_000010_000020,/content/scenetwin/workspace/vatex_clips/clip_15.mp4,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",True,0.19226284953845307,-0.5518449171324935,0.0,"[10, 20484]","[11, 20484]","[21, 20484]",inbench,15.0,OGWuj_FtaQc_000010_000020,Pets & Animals,16.39,1.0,1.0,0.0,,,
