clip,yt_id,start,tier,gt,clip_score,adqa_score,ad,clip_norm,adqa_norm,ensemble
video-vv2qnoUfjPU,vv2qnoUfjPU,56.93896103896103,tier0_cross,0,0.12098997086286545,0.0,Moesha and a red orange top and blue pants is skipping down the street with her best friend's one and a floral suits the other and a brown vest and white pants Lamont Bentley one of the actors name is on the screen the screen then jumps to a fountain Rimowa Isha is standing on the heightened edge of the fountain next to a man who is sitting on the edge with a guitar Moesha now has on a yellow top and blue pants the words Moesha and purple font appear on the screen with the words Moesha still on the screen Moesha is now on the other side of the guitar player now on the ground still dancing a blue car passes and the screen then jumps to another woman with curly Sandy brown hair smiling the screen goes down to Moesha who's sitting between the legs of the woman with Sandy brown hair the woman is doing her hair and Moishe has flexi-rods rolls around in her hair Moesha is now in her driveway playing a game of basketball with her mother and father and her younger brother the words starring Randy appear on the screen the letter M appears on the screen as Moishe dunks the ball and celebrates her victory Moesha is now skipping down the street again and orange top with a guy in the background the name William Allen Young appears on the screen moesha's now playing a game sport and she's wearing a yellow top the letters o appears on the screen as always just celebrates her Victory the name Countess Vaughn appears on the screen,0.0,0.0,0.0
video-vv2qnoUfjPU,vv2qnoUfjPU,56.93896103896103,tier1_min,1,0.2986708879470825,0.0,a woman covering her mouth with her hands,1.0,0.0,0.5
video-vv2qnoUfjPU,vv2qnoUfjPU,56.93896103896103,tier2_partial,2,0.2745254337787628,0.6666666666666666,a woman covering her mouth with her hands girl covering her mouth with the right hand a man within a Jeep jaw followed by a man with eyes looking down will cover entire face with his right hand a woman with closed eyes a man covering his face with his right hand a woman wiping her tears,0.8641077805959587,1.0,0.9320538902979794
video-vv2qnoUfjPU,vv2qnoUfjPU,56.93896103896103,tier3_full,3,0.2655349274476369,0.6666666666666666,a woman covering her mouth with her hands girl covering her mouth with the right hand a man within a Jeep jaw followed by a man with eyes looking down will cover entire face with his right hand a woman with closed eyes a man covering his face with his right hand a woman wiping her tears alone with squinted eyes bringing her right hand to her face a man looking down with the size a man shaking his head up and at his nose and a woman with the right hand on her brow a woman covering her entire face through hands and looking down man shaking his head and covering his face with both hands then dropping his left hand a woman covering her mouth with your left hand a man pinching instructing his chin smiling then looking down,0.8135086139625233,1.0,0.9067543069812616
video-r1AOXI0eBL8,r1AOXI0eBL8,0.0,tier0_cross,0,0.11657565832138062,0.0,the guy folds his index finger to make a fist the friend write something on a notebook and the friend turns his empty notebook to the guy the guy raises a wire the friend draws a circle with a pencil that is not sharpened the guy is all of a sudden wearing a beige brown purse and holds it up the friend shows a Siri conversation page on an iPhone the guy takes the phone from the friend in call the person named Troost the friend shakes the weight the guy she was a fine or penalty ticket,0.0,0.0,0.0
video-r1AOXI0eBL8,r1AOXI0eBL8,0.0,tier1_min,1,0.278068612019221,0.0,Moesha and a red orange top and blue pants is skipping down the street with her best friend's one and a floral suits the other and a brown vest and white pants Lamont Bentley one of the actors name is on the screen,0.8965815882581242,0.0,0.4482907941290621
video-r1AOXI0eBL8,r1AOXI0eBL8,0.0,tier2_partial,2,0.29669641455014545,0.3333333333333333,Moesha and a red orange top and blue pants is skipping down the street with her best friend's one and a floral suits the other and a brown vest and white pants Lamont Bentley one of the actors name is on the screen the screen then jumps to a fountain Rimowa Isha is standing on the heightened edge of the fountain next to a man who is sitting on the edge with a guitar Moesha now has on a yellow top and blue pants the words Moesha and purple font appear on the screen with the words Moesha still on the screen Moesha is now on the other side of the guitar player now on the ground still dancing a blue car passes and the screen then jumps to another woman with curly Sandy brown hair smiling,1.0,0.5,0.75
video-r1AOXI0eBL8,r1AOXI0eBL8,0.0,tier3_full,3,0.29669641455014545,0.6666666666666666,Moesha and a red orange top and blue pants is skipping down the street with her best friend's one and a floral suits the other and a brown vest and white pants Lamont Bentley one of the actors name is on the screen the screen then jumps to a fountain Rimowa Isha is standing on the heightened edge of the fountain next to a man who is sitting on the edge with a guitar Moesha now has on a yellow top and blue pants the words Moesha and purple font appear on the screen with the words Moesha still on the screen Moesha is now on the other side of the guitar player now on the ground still dancing a blue car passes and the screen then jumps to another woman with curly Sandy brown hair smiling the screen goes down to Moesha who's sitting between the legs of the woman with Sandy brown hair the woman is doing her hair and Moishe has flexi-rods rolls around in her hair Moesha is now in her driveway playing a game of basketball with her mother and father and her younger brother the words starring Randy appear on the screen the letter M appears on the screen as Moishe dunks the ball and celebrates her victory Moesha is now skipping down the street again and orange top with a guy in the background the name William Allen Young appears on the screen moesha's now playing a game sport and she's wearing a yellow top the letters o appears on the screen as always just celebrates her Victory the name Countess Vaughn appears on the screen,1.0,1.0,1.0
video-6tDRBb0apDg,6tDRBb0apDg,104.517,tier0_cross,0,0.2126286824544271,0.0,a tall joyful person is singing this when a person at the side of the road says after this treating the screen Zooms in on the joyful person who now suddenly looks angry after he blows up a whole is left inside the ground does a tall person a dog and a short haired woman who act unexpectedly the dog replies instead of the person and the woman is shot after the dog unexpectedly introduces his owner the owner's name tag shows up and he said a little boy is Stone asking a pregnant woman after she replies the baby pops out of the women's ripped stomach,0.0,0.0,0.0
video-6tDRBb0apDg,6tDRBb0apDg,104.517,tier1_min,1,0.26691656311353046,0.0,the guy folds his index finger to make a fist,1.0,0.0,0.5
