video_id,category,tier,gt,description,model,candidate_id,q_idx,score,label,evidence_quote,grade_rationale
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,A woman and a man are sitting down doing pottery on a spinning table.,claude-haiku-4-5-20251001,A,0,1.0,yes,doing pottery on a spinning table,Directly states pottery activity and spinning wheel.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,A woman and a man are sitting down doing pottery on a spinning table.,claude-haiku-4-5-20251001,A,1,0.0,no,,No setting or location information provided.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,A woman and a man are sitting down doing pottery on a spinning table.,claude-haiku-4-5-20251001,A,2,0.5,partial,spinning table,"Mentions wheel but no tools, vessels, or plates described."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,A woman and a man are sitting down doing pottery on a spinning table.,claude-haiku-4-5-20251001,A,3,1.0,yes,A woman and a man are sitting down,Clearly identifies two people participating.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,A woman and a man are sitting down doing pottery on a spinning table.,claude-haiku-4-5-20251001,A,4,0.0,no,,No description of the specific clay form being shaped.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.",claude-haiku-4-5-20251001,B,0,1.0,yes,woman is shaping a clay vase on a spinning wheel,Directly states pottery activity with wheel and clay shaping.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.",claude-haiku-4-5-20251001,B,1,0.5,partial,In a pottery workshop,Names workshop but omits windows and trees visible outside.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.",claude-haiku-4-5-20251001,B,2,1.0,yes,pottery tools and finished pieces,"Mentions wheel, tools, and finished pieces on work surface."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.",claude-haiku-4-5-20251001,B,3,0.5,partial,A woman...A man nearby,Identifies two people but man is not actively participating at wheel.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.",claude-haiku-4-5-20251001,B,4,1.0,yes,shaping a clay vase,Identifies vase form being shaped on wheel.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,Someone off-camera hands a man a device as he sits and watches a woman work on a piece of pottery on a spinning wheel.,claude-haiku-4-5-20251001,C,0,1.0,yes,woman work on a piece of pottery on a spinning wheel,Directly states pottery activity on spinning wheel.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,Someone off-camera hands a man a device as he sits and watches a woman work on a piece of pottery on a spinning wheel.,claude-haiku-4-5-20251001,C,1,0.0,no,,No setting or location information provided.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,Someone off-camera hands a man a device as he sits and watches a woman work on a piece of pottery on a spinning wheel.,claude-haiku-4-5-20251001,C,2,0.5,partial,spinning wheel,"Mentions wheel but no tools, vessels, or plates described."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,Someone off-camera hands a man a device as he sits and watches a woman work on a piece of pottery on a spinning wheel.,claude-haiku-4-5-20251001,C,3,1.0,yes,a man...a woman,Identifies two people present.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,Someone off-camera hands a man a device as he sits and watches a woman work on a piece of pottery on a spinning wheel.,claude-haiku-4-5-20251001,C,4,0.5,partial,a piece of pottery,Mentions pottery being worked but no form description.
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,D,0,0.0,no,skier navigates a snowy hill,"Describes skiing, not pottery. Contradicts answer key."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,D,1,0.0,no,At night...snowy hill,"Describes ski slope, not pottery workshop. Contradicts answer key."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,D,2,0.0,no,flexible poles,"Describes ski equipment, not pottery tools or vessels."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,D,3,0.0,no,The skier,"Describes one skier, not two pottery participants."
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,D,4,0.0,no,,No pottery form described. Entirely wrong content.
_oAKCHh_Av4_000003_000013,People & Vlogs,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,A,0,0.0,no,"a skier navigates a snowy hill, weaving between flexible poles","Describes skiing, not a man speaking with microphone."
_oAKCHh_Av4_000003_000013,People & Vlogs,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",claude-haiku-4-5-20251001,A,1,0.0,no,"At night, a skier navigates a snowy hill","Describes outdoor snowy slope, not indoor couch setting."
