clip_idx,video_id,category,tier,gt,description,question_model,grader_model,candidate_id,q_idx,score,label,evidence_quote,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,openai:gpt-4o,A,0,0.5,partial,throws the tomato at a wall,"Object thrown, but not at a board."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,openai:gpt-4o,A,1,1.0,yes,In a bustling kitchen,Kitchen setting described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,openai:gpt-4o,A,2,1.0,yes,holds a cherry tomato,Cherry tomato is small and red.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,openai:gpt-4o,A,3,0.0,no,,No mention of paper on board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",openai:gpt-4o,openai:gpt-4o,A,4,1.0,yes,The chef smiles,Subject smiles after action.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,openai:gpt-4o,B,0,0.0,no,,Description unrelated to question.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,openai:gpt-4o,B,1,0.0,no,,"Setting is a snowy hill, not a kitchen."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,openai:gpt-4o,B,2,0.0,no,,No object thrown by subject.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,openai:gpt-4o,B,3,0.0,no,,No board or paper mentioned.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",openai:gpt-4o,openai:gpt-4o,B,4,0.0,no,,No reaction described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,openai:gpt-4o,C,0,0.5,partial,pins a cherry tomato to the wall,"Action described, but not at a board."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,openai:gpt-4o,C,1,0.0,no,,Setting not described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,openai:gpt-4o,C,2,1.0,yes,pins a cherry tomato,Cherry tomato is small and red.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,openai:gpt-4o,C,3,0.0,no,,No mention of paper on board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,openai:gpt-4o,openai:gpt-4o,C,4,0.0,no,,No reaction described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,openai:gpt-4o,D,0,0.5,partial,demonstrates his skill throwing a knife,"Throwing action mentioned, but not object."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,openai:gpt-4o,D,1,0.5,partial,A chef in a kitchen,"Kitchen mentioned, but not industrial."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,openai:gpt-4o,D,2,0.0,no,,No object described.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,openai:gpt-4o,D,3,0.0,no,,No mention of paper on board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,openai:gpt-4o,openai:gpt-4o,D,4,0.0,no,,No reaction described.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,openai:gpt-4o,A,0,1.0,yes,eating a hamburger,Directly states eating a burger.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,openai:gpt-4o,A,1,0.5,partial,at Burger King,Implies fast-food setting.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,openai:gpt-4o,A,2,1.0,yes,at Burger King,Directly states Burger King.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,openai:gpt-4o,A,3,0.0,no,,No mention of tray liner.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",openai:gpt-4o,openai:gpt-4o,A,4,0.0,no,,No mention of clothing.
