clip_idx,video_id,category,tier,gt,description,provider,model,candidate_id,q_idx,score,label,evidence_quote,grade_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,A,0,0.0,no,a chef holds a cherry tomato,"Describes tomato, not a specimen or insect. Wrong object entirely."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,A,1,0.0,no,In a bustling kitchen,Kitchen setting contradicts laboratory workspace answer key.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,A,2,0.0,no,,"No mention of wooden board, papers, or sticky notes."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,A,3,1.0,yes,a chef holds,Single person clearly identified as main focus throughout.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic,claude-haiku-4-5-20251001,A,4,0.0,no,a chef in a kitchen,"Chef, not scientist. Kitchen, not laboratory. Wrong role entirely."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,B,0,0.0,no,a skier navigates a snowy hill,"Describes skiing, not holding specimen. Completely unrelated content."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,B,1,0.0,no,a snowy hill,Outdoor skiing setting contradicts laboratory workspace.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,B,2,0.0,no,,"No mention of wooden board, papers, or sticky notes."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,B,3,1.0,yes,a skier navigates,Single person clearly identified as main focus.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic,claude-haiku-4-5-20251001,B,4,0.0,no,a skier navigates a snowy hill,"Skier, not scientist. Skiing, not demonstrating specimen."
